Down,Distance,Yardline,EP
1,20,99,-1.13941
1,19,99,-0.69054
1,18,99,-0.438276
1,17,99,-0.749921
1,15,99,-0.319571
1,13,99,-0.372014
1,12,99,0.0514972
1,10,99,0.18513
1,9,99,0.217843
1,7,99,0.299409
1,4,99,0.220471
1,3,99,0.304627
1,2,99,0.190291
1,1,99,0.621085
2,20,99,-1.5135
2,18,99,-2.1991
2,17,99,-0.823808
2,16,99,-1.64611
2,15,99,-1.42825
2,13,99,-0.415778
2,10,99,-0.523228
2,8,99,-0.120819
2,7,99,-0.174113
2,4,99,0.321092
2,3,99,0.102731
2,2,99,0.236214
2,1,99,0.357547
3,20,99,-2.24301
3,16,99,-1.93186
3,15,99,-1.79981
3,13,99,-1.2066
3,11,99,-1.10651
3,10,99,-1.14156
3,9,99,-1.37293
3,8,99,-0.699153
3,5,99,-0.705042
3,4,99,-0.720891
3,2,99,0.326184
3,1,99,0.120328
4,17,99,-4.77615
4,16,99,-4.46223
4,15,99,-4.48598
4,14,99,-3.49644
4,13,99,-4.06836
4,12,99,-4.20931
4,9,99,-3.13828
4,8,99,-3.06003
4,7,99,-4.05807
4,5,99,-2.99538
4,3,99,-2.48523
4,1,99,-0.920344
1,20,98,-0.789996
1,19,98,-0.411044
1,18,98,-0.252173
1,17,98,-0.4989
1,15,98,0.0340308
1,13,98,-0.107536
1,12,98,-0.0340799
1,10,98,0.0429021
1,9,98,0.593558
1,7,98,0.520104
1,4,98,0.260081
1,3,98,0.378855
1,2,98,0.528344
1,1,98,0.288301
2,20,98,-1.43056
2,18,98,-1.78551
2,17,98,-0.715804
2,16,98,-1.76509
2,15,98,-1.52588
2,13,98,-0.487517
2,10,98,-0.616155
2,7,98,0.0494552
2,4,98,0.63637
2,3,98,0.344648
2,2,98,0.0416536
2,1,98,0.293678
3,20,98,-2.4874
3,16,98,-2.43708
3,15,98,-2.02056
3,13,98,-1.64704
3,11,98,-1.94164
3,10,98,-1.62121
3,9,98,-1.78948
3,8,98,-1.37067
3,5,98,-0.997711
3,4,98,-0.744627
3,2,98,-0.111704
3,1,98,0.158961
4,17,98,-4.57928
4,16,98,-4.74203
