Down,Distance,Yardline,EP
1,20,99,-1.15425
1,19,99,-0.86395
1,18,99,-0.848388
1,17,99,-1.27173
1,15,99,-0.811008
1,13,99,-0.574439
1,12,99,-0.828436
1,10,99,-0.12544
1,9,99,0.014944
1,7,99,-0.0416634
1,4,99,0.1621
1,3,99,0.171847
1,2,99,0.0667296
1,1,99,0.109644
2,20,99,-1.45331
2,18,99,-1.97187
2,17,99,-1.64858
2,16,99,-1.60155
2,15,99,-1.28663
2,13,99,-1.53181
2,10,99,-0.862037
2,8,99,-0.656349
2,7,99,-0.224829
2,4,99,0.301584
2,3,99,-0.554364
2,2,99,-0.193936
2,1,99,0.210548
3,20,99,-2.51368
3,16,99,-2.83802
3,15,99,-2.32315
3,13,99,-2.59641
3,11,99,-2.326
3,10,99,-2.24782
3,9,99,-2.24641
3,8,99,-1.78652
3,5,99,-0.746412
3,4,99,-0.271493
3,2,99,0.00728277
3,1,99,-0.312443
4,17,99,-5.10302
4,16,99,-4.89595
4,15,99,-4.60421
4,14,99,-5.22833
4,13,99,-5.14164
4,12,99,-4.74572
4,9,99,-4.75665
4,8,99,-4.5373
4,7,99,-4.41218
4,5,99,-3.77654
4,3,99,-2.51928
4,1,99,-0.944218
1,20,98,-1.10838
1,19,98,-0.714941
1,18,98,-0.70548
1,17,98,-0.353445
1,15,98,0.10707
1,13,98,-0.480678
1,12,98,-0.131845
1,10,98,0.0811197
1,9,98,0.200079
1,7,98,0.275382
1,4,98,0.615499
1,3,98,0.251846
1,2,98,0.0543391
1,1,98,0.436716
2,20,98,-1.51642
2,18,98,-1.57485
2,17,98,-1.67926
2,16,98,-1.31931
2,15,98,-1.02139
2,13,98,-1.466
2,10,98,-0.580697
2,7,98,-0.210915
2,4,98,0.607595
2,3,98,-0.0727853
2,2,98,0.143433
2,1,98,0.111207
3,20,98,-2.69869
3,16,98,-2.79
3,15,98,-2.73046
3,13,98,-2.36176
3,11,98,-2.16388
3,10,98,-1.79852
3,9,98,-1.94897
3,8,98,-1.53026
3,5,98,-0.805059
3,4,98,-0.118857
3,2,98,0.0351734
3,1,98,0.234352
4,17,98,-4.85595
4,16,98,-4.98241
4,15,98,-5.00313
4,14,98,-5.26193
4,13,98,-4.84435
4,12,98,-5.02447
4,9,98,-4.89371
4,8,98,-4.41248
4,7,98,-4.24618
4,5,98,-3.67125
4,3,98,-2.31846
4,1,98,-0.389172
1,20,97,-0.767216
1,19,97,-0.507076
1,18,97,-0.344339
1,17,97,-0.359491
1,15,97,0.136026
1,13,97,-0.0225948
1,12,97,0.203986
1,7,97,0.482885
1,4,97,0.663194
1,3,97,0.495501
1,2,97,0.616926
1,10,97,0.269283
1,1,97,0.566089
2,20,97,-1.54552
2,18,97,-1.39858
2,17,97,-1.48907
2,16,97,-1.27474
2,15,97,-0.9537
2,13,97,-1.14083
2,12,97,-0.774962
2,10,97,-0.668939
2,6,99,-0.42275
1,14,97,-0.145558
2,8,97,-0.154762
2,7,97,-0.0681595
1,14,99,-0.81879
2,6,97,0.0516002
2,4,97,0.287237
2,3,97,0.107192
2,2,97,0.503533
2,1,97,0.465574
3,20,97,-2.50422
3,16,97,-2.41303
3,15,97,-2.2438
3,13,97,-2.283
3,11,97,-2.03511
3,10,97,-2.02374
3,9,97,-1.67357
3,8,97,-1.39807
3,5,97,-0.732017
