Down,Distance,Yardline,EP
1,20,99,0.964052
1,19,99,0.860236
1,18,99,1.20717
1,17,99,0.84846
1,15,99,1.05261
1,13,99,1.17609
1,12,99,1.47527
1,10,99,1.4625
1,9,99,1.07175
1,7,99,1.43811
1,4,99,1.50517
1,3,99,1.56454
1,2,99,1.6853
1,1,99,1.17614
2,20,99,0.751493
2,18,99,0.70374
2,17,99,0.873357
2,16,99,0.871884
2,15,99,1.02598
2,13,99,0.997037
2,10,99,1.24556
2,8,99,1.23688
2,7,99,1.57672
2,4,99,1.66359
2,3,99,1.17911
2,2,99,1.32537
2,1,99,1.52364
3,20,99,0.252199
3,16,99,0.251438
3,15,99,0.34495
3,13,99,0.47481
3,11,99,0.462777
3,10,99,0.827656
3,9,99,0.846705
3,8,99,0.905047
3,5,99,1.32465
3,4,99,1.49166
3,2,99,1.18588
3,1,99,1.42507
4,17,99,-0.0867143
4,16,99,-0.00666058
4,15,99,0.0534497
4,14,99,-0.197681
4,13,99,0.0115745
4,12,99,-0.159132
4,9,99,0.221127
4,8,99,-0.0532808
4,7,99,-0.0333503
4,5,99,0.713767
4,3,99,0.715936
4,1,99,1.18132
1,20,98,1.05271
1,19,98,0.94384
1,18,98,1.1994
1,17,98,1.30296
1,15,98,1.04852
1,13,98,1.27684
1,12,98,1.36681
1,10,98,1.36625
1,9,98,1.5787
1,7,98,1.61719
1,4,98,1.39572
1,3,98,1.59788
1,2,98,1.60473
1,1,98,1.63496
2,20,98,0.946236
2,18,98,0.703615
2,17,98,0.981244
2,16,98,0.913245
2,15,98,1.14426
2,13,98,1.15061
2,10,98,1.17535
2,7,98,1.34229
2,4,98,1.67018
2,3,98,1.34927
2,2,98,1.61057
2,1,98,1.50342
3,20,98,0.410674
3,16,98,0.42891
3,15,98,0.696043
3,13,98,0.743917
3,11,98,0.552101
3,10,98,0.988541
3,9,98,0.79104
3,8,98,0.970298
3,5,98,1.43172
3,4,98,1.64223
3,2,98,1.42887
3,1,98,1.55094
4,17,98,0.0562715
4,16,98,0.117252
4,15,98,-0.21055
4,14,98,0.00741803
4,13,98,0.0876803
4,12,98,0.148158
4,9,98,0.220216
4,8,98,0.203559
4,7,98,0.239852
4,5,98,0.62653
4,3,98,0.629838
4,1,98,1.23999
1,20,97,1.17801
1,19,97,1.25849
1,18,97,1.30074
1,17,97,1.20555
1,15,97,1.40356
1,13,97,1.29809
1,12,97,1.49844
1,7,97,1.67842
1,4,97,1.64293
1,3,97,1.39648
1,2,97,1.69187
1,10,97,1.68891
1,1,97,1.63554
2,20,97,1.01538
2,18,97,0.867593
2,17,97,1.02662
2,16,97,0.873568
2,15,97,1.3455
2,13,97,1.025
2,12,97,1.13523
2,10,97,1.36967
2,6,99,1.2807
1,14,97,1.4534
2,8,97,1.36148
2,7,97,1.4856
1,14,99,1.41075
2,6,97,1.46478
