Down,Distance,Yardline,EP
1,20,99,-0.871023
1,19,99,-0.465218
1,15,99,-0.0973577
1,13,99,-0.23558
1,10,99,0.305802
1,7,99,0.465634
1,4,99,0.374849
1,3,99,0.436406
1,2,99,0.367104
1,1,99,0.778431
1,20,98,-0.547972
1,19,98,-0.166142
1,15,98,0.307151
1,13,98,0.0868194
1,10,98,0.277399
1,7,98,0.704553
1,4,98,0.769174
1,3,98,0.554819
1,2,98,0.693433
1,1,98,0.582096
2,2,99,0.332625
2,3,98,0.522416
3,2,99,0.271013
3,1,98,0.394055
4,1,98,-0.230746
1,20,97,-0.411933
1,19,97,-0.19674
1,17,97,-0.160313
1,15,97,0.321342
1,13,97,0.36626
1,7,97,0.634427
1,4,97,0.83419
1,3,97,0.634385
1,2,97,0.77578
2,4,99,0.474881
1,10,97,0.449586
1,1,97,0.691517
2,3,99,0.193929
2,2,98,0.312405
2,16,97,-0.959633
3,4,99,-0.135416
3,2,98,0.1863
4,7,99,-3.30268
3,2,97,0.345034
3,1,97,0.463973
4,3,99,-2.43256
1,20,96,-0.329085
1,19,96,-0.25321
1,17,96,0.241419
1,15,96,0.419884
1,13,96,0.0618291
2,15,98,-0.692794
1,7,96,1.02655
1,4,96,0.936057
1,3,96,0.75396
1,2,96,0.87372
2,4,98,0.796785
1,10,96,0.550422
1,1,96,0.711284
2,2,97,0.839072
3,8,97,-0.89658
3,4,98,0.104281
4,13,99,-3.20405
3,2,96,0.567367
4,5,99,-2.95603
3,1,96,0.628393
4,3,98,-1.50901
1,19,95,-0.0934063
1,17,95,0.0140701
1,15,95,0.276948
1,13,95,0.43298
2,13,98,-0.301292
1,7,95,0.737052
2,7,97,0.222747
1,4,95,1.0044
1,1,95,0.800923
2,3,97,0.517884
2,2,96,0.654816
3,15,97,-1.68981
3,5,98,-0.312674
2,1,95,0.730656
3,5,99,-0.661675
4,7,97,-2.89275
4,1,95,-0.718538
1,19,94,-0.138493
1,17,94,0.247153
1,15,94,0.255871
1,13,94,0.657633
2,17,98,-0.460363
2,15,99,-0.961408
2,7,96,0.33757
1,4,94,1.03824
2,7,99,-0.0550722
1,1,94,0.846826
2,2,95,0.672276
2,3,96,0.759626
2,4,97,0.905576
3,11,98,-1.54838
3,4,96,0.105855
3,5,97,-0.46361
2,1,94,0.872013
3,2,95,0.291989
3,4,97,0.252247
4,9,97,-2.91524
4,9,99,-3.07527
3,2,94,0.369581
4,5,97,-2.30677
4,3,95,-1.81347
3,7,98,-0.98705
3,1,94,0.600991
4,5,98,-2.85451
4,2,95,-1.40897
4,1,94,-0.606795
1,19,93,-0.0198339
1,17,93,0.179603
2,22,99,0
1,15,93,0.39133
1,13,93,0.529152
2,17,99,-0.631456
2,16,98,-0.927889
2,9,95,0.0646554
1,4,93,1.35345
2,7,98,0.297169
2,4,95,0.769468
1,1,93,0.950274
2,2,94,0.700968
2,4,96,0.940253
3,20,97,-2.062
3,16,97,-1.6752
3,1,95,0.55142
3,7,99,-1.10646
4,13,98,-3.04696
3,2,93,0.435585
4,8,99,-3.0425
4,3,94,-1.91758
4,7,98,-2.50047
4,1,93,-0.619894
1,19,92,-0.198464
2,24,98,0
1,17,92,0.221193
1,15,92,0.631096
2,18,97,-1.10588
1,4,92,0.922467
1,1,92,0.781445
2,8,99,-0.162262
1,14,99,-0.417515
2,6,97,0.235611
2,2,93,0.779291
3,16,99,-1.88161
3,13,98,-1.45531
3,1,93,0.517671
3,7,97,-0.95381
3,4,94,0.0892725
3,9,99,-1.36344
2,1,92,0.877089
3,5,96,0.803649
3,4,95,0.0174241
3,8,99,-1.25264
4,17,99,-2.89845
4,14,99,-2.91335
4,12,99,-3.21745
3,2,92,0.733207
4,3,93,-1.60974
4,5,96,0.997418
4,1,92,-0.143138
1,19,91,0.14217
2,23,95,0
1,17,91,0.678636
2,23,97,0
2,24,99,0
2,23,98,0
1,15,91,0.704568
1,13,91,0.57667
2,20,98,-1.13996
2,20,99,-1.16477
2,15,95,-0.430597
2,18,99,-1.44465
2,12,96,-0.29865
2,10,95,0.0960117
2,9,94,0.230631
1,4,91,1.04445
2,10,99,-0.547151
1,1,91,1.10877
1,14,96,0.234008
2,6,98,0.1898
2,8,98,0.30316
2,2,92,1.01525
2,4,94,1.26246
3,16,98,-1.60192
3,13,96,-0.253084
3,15,99,-1.697
3,9,95,-1.16499
3,11,99,-1.67145
3,9,98,-0.990069
3,6,95,-0.425645
3,1,92,0.7649
3,7,96,-0.0552218
3,5,95,-0.222847
3,8,98,-0.687078
4,21,99,0
4,17,98,-2.34375
4,16,98,-1.07913
4,13,97,-3.06526
4,12,97,-2.96775
4,12,98,-2.03795
3,2,91,0.709982
4,9,98,-1.73752
4,5,94,-2.11991
4,3,92,-1.69508
3,1,91,0.734962
4,8,98,-2.80131
4,5,95,-1.80062
4,1,91,-0.351198
1,19,90,0.445588
1,17,90,0.773632
1,15,90,0.713819
2,20,96,-0.736699
2,18,98,-1.26631
2,16,99,-1.2423
2,12,97,-0.500946
1,4,90,1.05161
2,4,91,1.16276
2,10,98,-0.294424
1,14,98,-0.0532169
2,6,96,0.596479
2,8,96,0.392028
1,1,90,1.11565
2,4,93,1.09167
1,14,97,0.00456333
2,6,99,0.125918
2,8,97,0.0657537
2,2,91,1.00307
3,22,97,0
3,15,98,-1.51626
3,8,92,-0.566322
3,9,94,-1.59333
3,8,95,-0.904299
3,4,92,0.134335
3,5,93,-0.264126
2,25,98,0
2,1,90,1.0847
3,5,94,-0.206298
3,4,93,0.293713
4,13,96,0.00212109
3,2,90,0.774938
4,3,91,-1.74328
4,8,96,0.693729
3,1,90,0.90231
4,7,96,0.923371
4,8,97,-2.92522
4,1,90,-0.193434
1,19,89,0.403395
2,23,94,0
2,24,95,0
1,17,89,0.504286
1,15,89,0.552512
1,13,89,0.700013
2,23,99,0
2,17,93,-0.594634
2,20,97,-0.921257
2,18,96,-0.958893
2,16,94,-0.716753
2,16,96,-0.768864
2,13,97,-0.431992
1,4,89,1.24366
2,13,99,-0.340772
2,7,94,0.383571
1,1,89,1.06853
2,2,90,1.00414
2,4,92,0.969797
3,22,99,0
3,13,95,-0.770549
3,9,93,-0.927268
3,13,99,-1.5166
3,5,92,-0.110251
2,25,99,0
2,1,89,1.1008
3,6,94,-0.574285
3,8,96,0.256209
3,9,97,-1.3196
4,16,96,0.114331
4,13,95,-2.31662
4,12,95,-2.26945
4,12,96,0.283519
4,2,92,-0.879486
4,11,97,-3.0524
4,5,91,-1.66085
4,5,92,-1.68622
4,3,90,-2.27079
4,5,93,-2.23842
4,1,89,-0.360723
1,19,88,0.353337
1,17,88,0.586283
1,15,88,0.798252
1,13,88,0.983216
2,17,94,-0.35506
2,15,93,-0.416404
2,15,94,-0.2505
2,15,96,-0.411084
2,15,97,-0.639221
2,13,96,-0.238285
1,4,88,1.2325
1,1,88,1.4244
2,2,89,1.23264
3,22,98,0
3,18,94,-1.89253
