Down,Distance,Yardline,EP
1,20,99,-0.871023
1,19,99,-0.617057
1,18,99,-0.578242
1,17,99,-0.902362
1,15,99,-0.551202
1,13,99,-0.262473
1,12,99,-0.555575
1,10,99,0.0906596
1,9,99,0.278316
1,7,99,0.167922
1,4,99,0.346453
1,3,99,0.334167
1,2,99,0.249308
1,1,99,0.276133
2,20,99,-1.16477
2,18,99,-1.44465
2,17,99,-1.21032
2,16,99,-1.2423
2,15,99,-0.961408
2,13,99,-1.02211
2,10,99,-0.547151
2,8,99,-0.424227
2,7,99,-0.0550722
2,4,99,0.474881
2,3,99,-0.35878
2,2,99,0.00521067
2,1,99,0.383376
3,20,99,-1.92588
3,16,99,-1.95301
3,15,99,-1.697
3,13,99,-1.69355
3,11,99,-1.67145
3,10,99,-1.70263
3,9,99,-1.36344
3,8,99,-1.37862
3,5,99,-0.661675
3,4,99,-0.135416
3,2,99,0.132091
3,1,99,-0.101209
4,17,99,-5.01115
4,16,99,-4.80492
4,15,99,-4.53951
4,14,99,-5.13899
4,13,99,-5.04543
4,12,99,-4.59254
4,9,99,-4.72564
4,8,99,-4.43939
4,7,99,-4.32773
4,5,99,-3.74871
4,3,99,-2.43256
4,1,99,-0.809422
1,20,98,-0.851527
1,19,98,-0.475552
1,18,98,-0.478094
1,17,98,-0.140378
1,15,98,0.307151
1,13,98,-0.218162
1,12,98,0.138927
1,10,98,0.277399
1,9,98,0.414249
1,7,98,0.438154
1,4,98,0.769174
1,3,98,0.426662
1,2,98,0.236272
1,1,98,0.582096
2,20,98,-1.18751
2,18,98,-1.26631
2,17,98,-1.25799
2,16,98,-0.927889
2,15,98,-0.692794
2,13,98,-0.998379
2,10,98,-0.294424
2,7,98,0.016599
2,4,98,0.782365
2,3,98,0.108325
2,2,98,0.312405
2,1,98,0.292621
3,20,98,-1.97481
3,16,98,-1.64738
3,15,98,-1.98498
3,13,98,-1.49906
3,11,98,-1.61848
3,10,98,-1.49002
3,9,98,-1.11075
3,8,98,-0.687078
3,5,98,-0.312674
3,4,98,0.104281
3,2,98,0.1863
3,1,98,0.394055
4,17,98,-4.79673
4,16,98,-4.90806
