Down,Distance,Yardline,EP
1,20,99,-0.92922
1,19,99,-0.566587
1,15,99,-0.1357
1,13,99,-0.0314018
1,10,99,0.533184
1,7,99,0.334335
1,4,99,0.425016
1,3,99,0.221719
1,2,99,0.423593
1,1,99,0.389022
3,2,99,-0.143968
1,20,98,-1.05266
1,19,98,-0.527149
1,15,98,-0.0449887
1,13,98,-0.0918196
1,10,98,0.400406
1,7,98,0.430891
1,4,98,0.618487
1,3,98,0.506141
1,2,98,0.29587
1,1,98,0.500846
2,2,99,0.0328542
3,2,98,0.0295488
4,3,99,-2.62216
3,1,98,0.209976
1,20,97,-0.726828
1,19,97,-0.550352
1,17,97,-0.275815
1,15,97,-0.150896
1,13,97,-0.0840888
2,15,99,-1.60184
1,7,97,0.789972
1,4,97,0.712635
1,3,97,0.74872
1,2,97,0.585276
1,10,97,0.445696
1,1,97,0.748828
2,3,99,0.00203165
2,2,98,0.298185
3,4,99,-0.349693
3,2,97,0.135825
4,3,98,-2.0665
3,1,97,0.18218
1,20,96,-0.509737
1,19,96,-0.390679
2,22,99,0
1,17,96,-0.211131
1,15,96,0.111115
2,18,99,-1.64986
1,13,96,0.120279
1,7,96,0.560555
1,4,96,0.580499
1,3,96,0.652113
1,2,96,0.491914
2,4,98,0.627442
1,10,96,0.424573
1,1,96,0.627194
2,4,99,0.515543
2,2,97,0.425998
2,3,98,0.0480584
3,8,98,-1.58681
3,5,99,-1.02903
4,7,98,-3.11066
3,2,96,0.351972
3,1,96,0.413454
1,19,95,-0.182491
1,17,95,-0.1146
1,15,95,0.0999755
1,13,95,0.231481
2,17,99,-1.32619
1,7,95,0.673312
1,4,95,0.761974
1,14,99,-0.129455
2,6,97,0.0449716
2,4,97,0.631441
1,1,95,0.622275
2,3,97,0.264683
2,2,96,0.535286
2,1,95,0.625476
3,4,98,-0.253754
4,13,98,-2.87447
4,7,97,-3.07285
4,5,97,-2.56065
4,5,98,-2.19023
3,7,99,-1.37222
3,1,95,0.461398
4,5,99,-2.83003
4,1,95,-0.925397
1,19,94,-0.00911915
1,17,94,0.153857
1,15,94,0.22858
1,13,94,0.521201
2,10,99,-0.41595
1,4,94,0.765587
2,7,99,-0.0485228
2,4,96,0.796802
1,1,94,0.703804
2,3,96,0.253823
2,2,95,0.601679
3,15,98,-2.09913
3,4,96,0.107177
3,4,97,-0.431634
3,5,98,-0.786624
3,2,95,0.271321
4,16,98,-3.03635
4,9,97,-3.06698
4,9,99,-2.77101
4,7,99,-3.08975
4,3,95,-1.32676
4,2,95,-1.07189
4,1,94,-0.504924
1,19,93,0.0342858
1,17,93,0.146039
1,15,93,0.228652
2,13,99,-0.518868
2,7,95,0.157253
1,4,93,0.888326
2,7,98,-0.268865
2,4,95,0.847199
1,1,93,1.0215
2,2,94,0.707456
3,13,98,-1.18976
3,13,99,-1.48825
3,9,97,-1.54332
3,8,99,-1.69041
2,1,93,0.776822
3,5,97,-0.59515
3,2,94,0.431517
4,13,99,-3.23518
3,2,93,0.558049
4,3,94,-2.25709
4,8,99,-3.23389
4,1,93,-0.344761
1,19,92,0.036596
2,23,97,0
1,17,92,0.038996
1,15,92,0.382719
2,16,99,-1.48426
2,12,97,-0.369738
2,9,94,-0.00628294
1,4,92,1.08484
2,10,98,-0.38665
2,7,97,-0.000443538
1,1,92,0.772415
2,8,99,-0.460545
2,2,93,0.739757
3,26,99,0
3,16,99,-2.20625
3,11,96,-1.09621
3,9,96,-1.45591
3,5,94,-0.501347
2,2,92,0.790903
2,1,92,0.732152
3,1,94,0.458745
3,7,98,-1.41475
3,4,95,-0.200737
3,5,96,-0.664975
4,14,99,-3.03763
4,12,98,-3.20501
4,12,99,-3.3586
4,5,94,-1.87435
3,2,92,0.612776
4,5,95,-1.91101
4,8,98,-3.12586
3,7,96,-0.85683
3,1,92,0.494244
4,5,96,-2.09068
4,1,92,-0.960907
1,19,91,0.0237465
2,23,95,0
1,17,91,0.251045
2,23,98,0
2,24,99,0
1,15,91,0.684943
1,13,91,0.30266
2,20,99,-1.23841
2,16,97,-1.22935
2,15,98,-0.858076
1,7,91,0.630388
2,10,95,-0.115008
1,4,91,1.10324
1,1,91,0.941999
1,14,96,-0.0188086
2,6,98,-0.0205847
2,8,98,-0.351312
2,4,94,0.745398
3,16,95,-2.12366
3,16,98,-2.25258
3,13,96,-0.720067
3,15,99,-2.28236
3,11,99,-1.99377
3,4,93,0.251352
3,9,98,-1.51444
3,4,94,-0.133489
3,5,95,-0.548368
3,9,99,-1.18975
3,1,93,0.620206
3,7,97,-1.35691
4,21,99,0
4,17,98,-2.82366
4,13,97,-2.99904
4,14,98,-3.04684
4,9,96,-2.87948
4,7,96,-2.5322
4,3,92,-1.99037
3,1,91,0.619278
4,3,93,-1.79864
4,1,91,-0.490375
1,19,90,0.00623065
1,17,90,0.303708
2,23,96,0
1,15,90,0.532844
2,22,97,0
2,20,98,-1.33084
2,15,95,-0.879831
2,18,98,-1.52973
2,17,98,-0.845256
2,15,97,-0.986774
2,12,96,-0.381983
2,13,98,-0.609568
1,4,90,1.05963
1,1,90,0.922772
2,7,96,0.283244
1,14,97,0.146634
2,6,99,-0.140529
2,8,97,-0.211543
2,4,93,0.978531
2,2,91,0.980342
3,24,95,0
3,11,94,-1.69282
3,10,95,-1.07389
3,9,94,-1.08633
3,8,96,-1.19243
3,6,94,-0.395649
2,25,98,0
2,1,90,0.908728
3,2,91,0.684768
3,8,97,-1.36289
3,6,95,-0.498323
4,21,98,0
4,17,99,-3.3227
4,13,96,-1.49477
4,12,97,-3.02496
4,5,92,-1.57854
3,2,90,0.640911
4,5,93,-2.32832
3,1,90,0.629082
4,8,97,-3.11133
4,9,98,-3.05823
4,1,90,-0.580264
1,19,89,0.325647
2,23,94,0
1,17,89,0.224018
2,1,91,0.745208
2,25,97,0
2,20,93,-0.856725
1,15,89,0.347706
1,13,89,0.608379
2,17,95,-0.915155
2,13,97,-0.692697
1,4,89,1.00608
1,1,89,1.11215
2,4,92,1.08077
1,14,98,-0.142118
2,6,96,0.0974579
2,8,96,0.0200595
2,2,90,0.862852
3,13,95,-1.42644
3,15,97,-2.21969
3,5,91,-0.197225
3,11,98,-1.84697
2,25,99,0
2,1,89,0.877493
3,5,93,-0.134898
3,4,92,-0.183217
4,21,97,0
4,12,95,-2.59015
4,12,96,-2.083
4,5,91,-1.80524
3,2,89,0.667566
4,3,90,-1.51719
3,1,89,0.854847
4,8,96,-2.42609
4,3,91,-1.60656
4,1,89,-0.0846308
1,19,88,0.207582
1,17,88,0.656618
2,24,95,0
1,15,88,0.485079
2,22,96,0
2,24,98,0
2,20,94,-0.808788
1,13,88,0.907629
2,15,93,-0.601193
2,17,96,-0.816044
2,18,97,-1.24428
2,16,98,-1.25428
2,13,96,-0.212229
1,4,88,1.08053
1,1,88,1.10122
2,7,94,0.406646
2,4,91,1.09192
2,2,89,1.02339
3,24,94,0
3,22,98,0
3,16,97,-2.07109
3,13,94,-1.47603
3,9,92,-1.33499
3,4,90,0.0123229
3,6,93,-0.615385
3,5,92,-0.178141
3,4,91,0.154741
3,8,95,-0.759957
4,17,97,-3.09018
4,16,99,-3.28513
4,2,93,-0.905388
4,11,96,-2.75613
3,2,88,0.760581
4,3,89,-1.88833
3,1,88,0.840696
4,1,88,0.00399602
1,19,87,0.465298
1,17,87,0.388356
2,20,91,-0.785677
1,15,87,0.818836
2,27,99,0
2,24,97,0
1,13,87,0.41737
2,20,97,-0.987327
2,17,94,-0.827773
2,16,95,-1.08352
2,17,97,-1.30207
2,14,95,-0.540488
1,4,87,1.07291
1,2,87,1.17538
2,4,89,1.00285
1,1,87,0.985068
2,9,95,-0.0443068
2,2,88,0.844851
2,4,90,0.907331
3,28,95,0
3,27,95,0
3,20,97,-2.15621
3,16,94,-1.97338
3,16,96,-2.11169
3,9,90,-1.14985
3,9,91,-0.471371
3,13,97,-1.90537
3,4,89,0.0321374
3,6,91,-0.380767
3,5,90,0.0674522
2,1,87,0.92653
3,9,95,-1.12275
3,8,94,-0.99188
3,6,92,-0.34246
3,11,97,-1.53613
4,5,89,-1.96156
3,2,87,0.674176
4,3,88,-1.48913
4,5,90,-1.72982
3,1,87,0.777797
4,2,92,-1.11443
4,11,97,-3.12989
4,1,87,-0.22769
1,19,86,0.122697
1,17,86,0.616312
1,15,86,0.686662
2,27,98,0
1,13,86,0.937375
2,20,95,-0.883624
2,10,90,0.341709
2,15,96,-0.753934
2,7,88,0.456809
2,13,94,-0.390378
1,4,86,1.01337
1,2,86,1.02055
2,10,94,-0.158303
2,3,87,0.900519
1,1,86,1.02618
2,2,87,0.983261
3,27,94,0
4,18,97,-3.02292
3,13,91,-0.927173
3,6,89,-0.378916
3,10,93,-0.954202
3,9,93,-1.40675
3,10,94,-1.08987
3,6,90,-0.607682
2,1,86,1.04899
3,8,93,-0.946733
4,16,97,-3.04617
4,12,93,-2.68414
4,5,88,-2.39528
3,1,86,0.868704
4,1,86,-0.32919
1,19,85,0.388755
1,17,85,0.255995
2,24,92,0
1,15,85,0.69039
2,20,90,-0.849006
2,24,94,0
1,13,85,0.746031
2,20,92,-0.784364
2,17,91,-0.677553
2,14,89,-0.191125
2,17,93,-0.508269
2,20,96,-1.07693
2,15,94,-0.494714
2,16,96,-1.00884
1,4,85,1.13634
2,13,95,-0.390153
1,2,85,1.08557
2,4,87,1.18984
2,3,86,0.9136
2,7,90,0.577612
1,1,85,1.03727
2,4,88,1.07278
2,2,86,1.00028
3,24,89,0
3,24,92,0
3,25,95,0
3,22,96,0
3,18,93,-1.85481
3,13,92,-1.23277
3,10,92,-1.09099
2,1,85,1.13551
3,8,92,-0.732249
3,11,95,-1.03943
3,5,89,-0.318922
3,2,86,0.700281
3,4,88,0.0432779
1,13,90,0.648542
4,31,98,0
4,23,96,0
4,23,97,0
4,23,98,0
4,21,96,0
4,23,99,0
4,17,96,-1.87301
4,13,92,-2.35554
4,16,95,-2.43766
4,16,96,-3.26695
3,1,85,0.754937
2,11,96,-0.387072
4,11,95,-2.08753
4,2,86,-1.18865
4,3,87,-1.58421
4,1,85,-0.486596
1,19,84,0.947986
2,24,90,0
1,17,84,0.191721
2,24,91,0
1,15,84,0.449665
2,24,93,0
2,23,92,0
2,23,93,0
1,13,84,1.06948
4,3,96,-2.04387
2,16,87,-0.501818
2,17,92,-0.629886
2,16,92,-0.638436
2,15,92,-0.314661
2,14,91,-0.343709
2,16,94,-0.95893
1,4,84,0.998559
2,10,91,0.023393
2,10,92,0.0944574
1,1,84,1.39341
2,10,93,0.0146413
2,2,85,0.996926
3,28,93,0
3,25,93,0
3,25,94,0
3,20,91,-1.75213
3,22,97,0
3,20,99,-2.36354
3,13,93,-1.43683
3,10,91,-0.586568
3,6,88,-0.688849
2,25,96,0
2,1,84,1.30866
3,5,88,0.0727592
3,2,85,0.740806
3,8,91,-0.702245
3,4,87,0.455762
1,13,93,0.483396
4,31,97,0
4,16,94,-2.76029
4,13,94,-2.76189
4,13,95,-2.2037
4,5,87,-2.20474
4,12,94,-2.81228
3,1,84,0.955981
2,11,97,-0.469242
4,2,87,-0.752017
4,11,94,-2.58899
4,3,86,-1.52444
4,1,84,-0.0168112
2,30,93,0
1,19,83,0.428396
2,27,91,0
1,17,83,0.5197
1,15,83,0.936764
2,8,95,0.278666
1,14,83,0.595179
1,13,83,0.939682
2,24,96,0
2,14,87,-0.0932258
2,13,87,-0.00833495
2,16,90,-0.551298
2,14,90,-0.192929
2,18,96,-1.36335
2,10,88,0.333282
2,9,87,0.530019
1,4,83,1.01208
2,14,94,-0.376146
1,2,83,1.52851
1,1,83,1.26684
2,2,84,0.985969
2,3,85,0.901596
2,4,86,1.03183
3,24,87,0
3,28,94,0
3,20,95,-1.9308
4,18,96,-2.91526
3,13,90,-0.660529
3,20,98,-2.1965
3,10,90,-0.632262
3,9,89,-0.901001
2,2,83,1.18532
2,1,83,1.16338
3,4,86,0.146587
3,8,90,-0.39583
3,5,87,-0.378103
3,11,93,-1.37264
3,2,84,0.587855
1,13,92,0.582015
4,31,96,0
4,29,95,0
4,16,92,-2.46924
1,3,87,1.22254
4,17,93,-2.51683
4,16,93,-2.68124
3,1,83,0.821916
4,3,85,-1.23923
4,1,83,-0.952889
2,29,91,0
1,19,82,0.413822
1,17,82,0.614322
1,15,82,0.685002
2,23,90,0
2,27,94,0
1,9,82,1.4089
2,13,86,0.200568
2,15,89,-0.08316
3,27,91,0
1,7,82,1.18244
2,16,91,-0.553792
2,15,91,-0.442213
2,16,93,-0.741732
2,10,87,0.123277
1,4,82,1.32796
2,13,91,-0.282919
1,2,82,1.13835
2,13,93,-0.285902
2,4,84,0.869452
1,1,82,1.1388
2,3,84,1.14165
2,4,85,0.836836
3,34,96,0
1,7,83,1.28474
3,27,90,0
3,28,91,0
