Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.961453,-1.07574,-1000,-3.93019,-0.961453,0
1,19,99,-4.27297,0.569263,-1000,-3.93019,0.569263,1
1,18,99,-4.27297,1.25783,-1000,-3.93019,1.25783,1
1,17,99,-1.36748,0.929501,-1000,-3.93019,0.929501,1
1,15,99,-0.87617,-0.085894,-1000,-3.93019,-0.085894,1
1,13,99,-4.27297,0.482818,-1000,-3.93019,0.482818,1
1,12,99,-4.27297,0.23086,-1000,-3.93019,0.23086,1
1,10,99,0.758669,0.949979,-1000,-3.93019,0.949979,1
1,9,99,0.879997,1.1248,-1000,-3.93019,1.1248,1
1,7,99,1.50018,1.55083,-1000,-3.93019,1.55083,1
1,4,99,1.39365,1.37559,-1000,-3.93019,1.39365,0
1,3,99,1.36862,1.61618,-1000,-3.93019,1.61618,1
1,2,99,1.42544,0.0912203,-1000,-3.93019,1.42544,0
1,1,99,1.1539,1.91786,-1000,-3.93019,1.91786,1
2,20,99,-1.69164,-1.49785,-1000,-3.93019,-1.49785,1
2,18,99,-2.39033,-1.91637,-1000,-3.93019,-1.91637,1
2,17,99,-0.551792,-0.610957,-1000,-3.93019,-0.551792,0
2,16,99,-0.660405,-2.77703,-1000,-3.93019,-0.660405,0
2,15,99,-0.767888,-1.24968,-1000,-3.93019,-0.767888,0
2,13,99,-0.503407,-1.38527,-1000,-3.93019,-0.503407,0
2,10,99,0.131266,0.172485,-1000,-3.93019,0.172485,1
2,8,99,-0.0274656,0.517755,-1000,-3.93019,0.517755,1
2,7,99,1.12949,0.339635,-1000,-3.93019,1.12949,0
2,4,99,1.10961,1.46907,-1000,-3.93019,1.46907,1
2,3,99,1.34005,1.34357,-1000,-3.93019,1.34357,1
2,2,99,0.874211,0.881636,-1000,-3.93019,0.881636,1
2,1,99,1.11459,1.21586,-1000,-3.93019,1.21586,1
3,20,99,-3.05084,-3.38699,-1000,-3.93019,-3.05084,0
3,16,99,-3.43969,-2.85752,-1000,-3.93019,-2.85752,1
3,15,99,-2.47639,-3.86749,-1000,-3.93019,-2.47639,0
3,13,99,-2.95846,-1.27239,-1000,-3.93019,-1.27239,1
3,11,99,-3.99764,-1.09407,-1000,-3.93019,-1.09407,1
3,10,99,-4.27297,-1.40878,-1000,-3.93019,-1.40878,1
3,9,99,-0.496299,-0.986964,-1000,-3.93019,-0.496299,0
3,8,99,-4.27297,-0.426108,-1000,-3.93019,-0.426108,1
3,5,99,0.177737,0.110232,-1000,-3.93019,0.177737,0
3,4,99,0.449839,0.742666,-1000,-3.93019,0.742666,1
3,2,99,0.881636,0.103299,-1000,-3.93019,0.881636,0
3,1,99,1.21586,0.520212,-1000,-3.93019,1.21586,0
4,17,99,-5.32868,-6.4281,-1000,-3.93019,-3.93019,3
4,16,99,-5.97065,-6.4281,-1000,-3.93019,-3.93019,3
4,15,99,-5.84434,-6.4281,-1000,-3.93019,-3.93019,3
4,14,99,-5.34782,-6.4281,-1000,-3.93019,-3.93019,3
4,13,99,-5.82118,-6.4281,-1000,-3.93019,-3.93019,3
4,12,99,-4.9282,-6.4281,-1000,-3.93019,-3.93019,3
4,9,99,-4.10651,-6.4281,-1000,-3.93019,-3.93019,3
4,8,99,-4.35535,-6.4281,-1000,-3.93019,-3.93019,3
4,7,99,-4.26248,-2.16334,-1000,-3.93019,-2.16334,1
4,5,99,-1.50657,-3.25638,-1000,-3.93019,-1.50657,0
4,3,99,-1.71309,0.0608526,-1000,-3.93019,0.0608526,1
4,1,99,0.193579,-0.921406,-1000,-3.93019,0.193579,0
1,20,98,-0.971741,-1.11925,-1000,-3.67665,-0.971741,0
1,19,98,0,0.570858,-1000,-3.67665,0.570858,1
1,18,98,0,1.22169,-1000,-3.67665,1.22169,1
1,17,98,-1.36414,0.954829,-1000,-3.67665,0.954829,1
1,15,98,0.520859,0.1005,-1000,-3.67665,0.520859,0
1,13,98,-2.56378,0.48593,-1000,-3.67665,0.48593,1
1,12,98,0,0.278171,-1000,-3.67665,0.278171,1
1,10,98,0.974785,1.08208,-1000,-3.67665,1.08208,1
1,9,98,1.06544,1.16113,-1000,-3.67665,1.16113,1
1,7,98,1.51698,1.56842,-1000,-3.67665,1.56842,1
1,4,98,1.434,1.50224,-1000,-3.67665,1.50224,1
1,3,98,1.48019,1.66956,-1000,-3.67665,1.66956,1
1,2,98,1.45672,0.139055,-1000,-3.67665,1.45672,0
1,1,98,1.20577,1.95852,-1000,-3.67665,1.95852,1
2,20,98,-1.64454,-1.47087,-1000,-3.67665,-1.47087,1
2,18,98,-2.31766,-2.30972,-1000,-3.67665,-2.30972,1
2,17,98,-0.780572,-0.744724,-1000,-3.67665,-0.744724,1
2,16,98,-0.590257,-2.83573,-1000,-3.67665,-0.590257,0
2,15,98,-0.462166,-1.03707,-1000,-3.67665,-0.462166,0
2,13,98,-0.108109,-1.37166,-1000,-3.67665,-0.108109,0
2,10,98,0.453938,0.540567,-1000,-3.67665,0.540567,1
2,7,98,1.28251,0.868289,-1000,-3.67665,1.28251,0
2,4,98,1.14428,1.50781,-1000,-3.67665,1.50781,1
2,3,98,1.4326,1.36233,-1000,-3.67665,1.4326,0
2,2,98,0.915257,0.971033,-1000,-3.67665,0.971033,1
2,1,98,1.1672,1.29532,-1000,-3.67665,1.29532,1
3,20,98,-2.97454,-3.33072,-1000,-3.67665,-2.97454,0
3,16,98,-3.37211,-2.73691,-1000,-3.67665,-2.73691,1
3,15,98,-2.36994,-3.83044,-1000,-3.67665,-2.36994,0
3,13,98,-2.93009,-1.25184,-1000,-3.67665,-1.25184,1
3,11,98,-1.388,-0.990169,-1000,-3.67665,-0.990169,1
3,10,98,0,-1.26054,-1000,-3.67665,0,0
3,9,98,-0.487984,-0.85861,-1000,-3.67665,-0.487984,0
3,8,98,0,-0.337342,-1000,-3.67665,0,0
3,5,98,0.251496,0.0440221,-1000,-3.67665,0.251496,0
3,4,98,0.462999,0.793269,-1000,-3.67665,0.793269,1
3,2,98,0.971033,0.143503,-1000,-3.67665,0.971033,0
3,1,98,1.29532,0.38475,-1000,-3.67665,1.29532,0
4,17,98,-5.08563,-6.4668,-1000,-3.67665,-3.67665,3
4,16,98,-6.19851,-6.4668,-1000,-3.67665,-3.67665,3
4,15,98,-5.78984,-6.4668,-1000,-3.67665,-3.67665,3
4,14,98,-5.50375,-6.4668,-1000,-3.67665,-3.67665,3
4,13,98,-5.68205,-6.4668,-1000,-3.67665,-3.67665,3
4,12,98,-4.95465,-6.4668,-1000,-3.67665,-3.67665,3
4,9,98,-3.97212,-6.4668,-1000,-3.67665,-3.67665,3
4,8,98,-4.08907,-6.4668,-1000,-3.67665,-3.67665,3
4,7,98,-4.2564,-2.1653,-1000,-3.67665,-2.1653,1
4,5,98,-1.81547,-3.24214,-1000,-3.67665,-1.81547,0
4,3,98,-1.54634,0.110933,-1000,-3.67665,0.110933,1
4,1,98,0.0456252,-0.881657,-1000,-3.67665,0.0456252,0
1,20,97,-0.910491,-1.07491,-1000,-3.48151,-0.910491,0
1,19,97,0,0.591438,-1000,-3.48151,0.591438,1
1,18,97,0,1.28412,-1000,-3.48151,1.28412,1
1,17,97,-0.516789,0.952757,-1000,-3.48151,0.952757,1
1,15,97,0.490771,0.0589699,-1000,-3.48151,0.490771,0
1,13,97,-2.56378,0.791095,-1000,-3.48151,0.791095,1
1,12,97,0,0.31011,-1000,-3.48151,0.31011,1
1,7,97,1.53432,1.57933,-1000,-3.48151,1.57933,1
1,4,97,1.48583,1.6174,-1000,-3.48151,1.6174,1
1,3,97,1.54792,1.72023,-1000,-3.48151,1.72023,1
1,2,97,1.51895,0.242968,-1000,-3.48151,1.51895,0
1,10,97,1.07181,1.14468,-1000,-3.48151,1.14468,1
1,1,97,1.22901,1.96345,-1000,-3.48151,1.96345,1
2,20,97,-1.62096,-1.43384,-1000,-3.48151,-1.43384,1
2,18,97,-2.26244,-2.21232,-1000,-3.48151,-2.21232,1
2,17,97,-0.902638,-0.751617,-1000,-3.48151,-0.751617,1
2,16,97,-0.538956,-0.698951,-1000,-3.48151,-0.538956,0
2,15,97,-0.503178,-0.649733,-1000,-3.48151,-0.503178,0
2,13,97,0.0609245,-0.410253,-1000,-3.48151,0.0609245,0
2,12,97,-0.145691,0.134742,-1000,-3.48151,0.134742,1
2,10,97,0.450735,0.544877,-1000,-3.48151,0.544877,1
2,6,99,0.686446,0.922581,-1000,-3.93019,0.922581,1
1,14,97,-4.27297,0.192821,-1000,-3.48151,0.192821,1
2,8,97,0.378509,0.69692,-1000,-3.48151,0.69692,1
2,7,97,1.31304,0.876758,-1000,-3.48151,1.31304,0
1,14,99,-4.27297,-0.0655733,-1000,-3.93019,-0.0655733,1
2,6,97,0.787348,0.988886,-1000,-3.48151,0.988886,1
2,4,97,1.19766,1.5173,-1000,-3.48151,1.5173,1
2,3,97,1.45206,1.41113,-1000,-3.48151,1.45206,0
2,2,97,1.42312,1.02438,-1000,-3.48151,1.42312,0
2,1,97,1.23378,1.30847,-1000,-3.48151,1.30847,1
3,20,97,-2.92647,-3.18891,-1000,-3.48151,-2.92647,0
3,16,97,-3.2604,-2.80134,-1000,-3.48151,-2.80134,1
3,15,97,-2.15232,-3.63012,-1000,-3.48151,-2.15232,0
3,13,97,-2.71319,-1.11617,-1000,-3.48151,-1.11617,1
3,11,97,-1.29113,-0.535703,-1000,-3.48151,-0.535703,1
3,10,97,0,-1.13866,-1000,-3.48151,0,0
3,9,97,-0.540532,-0.753626,-1000,-3.48151,-0.540532,0
3,8,97,0,-0.244941,-1000,-3.48151,0,0
3,5,97,0.273119,0.307747,-1000,-3.48151,0.307747,1
3,4,97,0.530144,0.819422,-1000,-3.48151,0.819422,1
3,2,97,1.02438,0.0538122,-1000,-3.48151,1.02438,0
3,1,97,1.30847,0.387991,-1000,-3.48151,1.30847,0
4,17,97,-4.94407,-6.43626,-1000,-3.48151,-3.48151,3
4,16,97,-6.05957,-6.43626,-1000,-3.48151,-3.48151,3
4,15,97,-5.76333,-6.43626,-1000,-3.48151,-3.48151,3
4,13,97,-5.82448,-6.43626,-1000,-3.48151,-3.48151,3
4,12,97,-5.01958,-6.43626,-1000,-3.48151,-3.48151,3
4,9,97,-4.0406,-6.43626,-1000,-3.48151,-3.48151,3
4,8,97,-4.25388,-6.43626,-1000,-3.48151,-3.48151,3
4,7,97,-4.36902,-2.11316,-1000,-3.48151,-2.11316,1
4,5,97,-1.80259,-3.22964,-1000,-3.48151,-1.80259,0
4,1,97,0.0714706,-0.857459,-1000,-3.48151,0.0714706,0
1,20,96,-0.862089,-1.00567,-1000,-3.58465,-0.862089,0
1,19,96,0,0.669974,-1000,-3.58465,0.669974,1
1,18,96,0,1.37784,-1000,-3.58465,1.37784,1
1,17,96,0.315887,0.895614,-1000,-3.58465,0.895614,1
1,15,96,0.481287,-0.0895994,-1000,-3.58465,0.481287,0
2,8,98,0.366193,0.700732,-1000,-3.67665,0.700732,1
2,6,98,0.716795,0.977717,-1000,-3.67665,0.977717,1
1,14,96,0,0.0805934,-1000,-3.58465,0.0805934,1
1,13,96,0,0.990355,-1000,-3.58465,0.990355,1
1,12,96,0,0.531208,-1000,-3.58465,0.531208,1
1,9,96,1.18736,1.26451,-1000,-3.58465,1.26451,1
1,7,96,1.5739,1.61772,-1000,-3.58465,1.61772,1
1,4,96,1.50023,1.60901,-1000,-3.58465,1.60901,1
1,3,96,1.58977,1.75586,-1000,-3.58465,1.75586,1
1,2,96,1.56303,0.33468,-1000,-3.58465,1.56303,0
1,10,96,1.08616,1.18206,-1000,-3.58465,1.18206,1
1,1,96,1.30655,2.02515,-1000,-3.58465,2.02515,1
2,20,96,-1.57795,-1.3708,-1000,-3.58465,-1.3708,1
2,18,96,-2.33918,-2.22379,-1000,-3.58465,-2.22379,1
2,17,96,-0.844434,-0.711176,-1000,-3.58465,-0.711176,1
2,16,96,-0.529279,-0.727183,-1000,-3.58465,-0.529279,0
2,15,96,-0.998584,-1.06387,-1000,-3.58465,-0.998584,0
2,13,96,0.254486,-0.342462,-1000,-3.58465,0.254486,0
2,12,96,0.34872,0.264153,-1000,-3.58465,0.34872,0
2,10,96,0.498725,0.569516,-1000,-3.58465,0.569516,1
2,7,96,1.35035,0.917523,-1000,-3.58465,1.35035,0
1,14,98,-4.27297,0.0308919,-1000,-3.67665,0.0308919,1
2,8,96,0.435558,0.714599,-1000,-3.58465,0.714599,1
2,6,96,1.13763,1.05043,-1000,-3.58465,1.13763,0
2,4,96,1.20123,1.53303,-1000,-3.58465,1.53303,1
2,3,96,1.49091,1.47721,-1000,-3.58465,1.49091,0
2,2,96,1.42395,1.04211,-1000,-3.58465,1.42395,0
2,1,96,1.32692,1.42802,-1000,-3.58465,1.42802,1
3,20,96,-2.84109,-3.2463,-1000,-3.58465,-2.84109,0
3,16,96,-3.22029,-2.69543,-1000,-3.58465,-2.69543,1
3,13,96,-2.64666,-1.10487,-1000,-3.58465,-1.10487,1
3,11,96,-1.26488,-0.56141,-1000,-3.58465,-0.56141,1
3,10,96,0,-1.19434,-1000,-3.58465,0,0
3,9,96,-0.548389,-0.79421,-1000,-3.58465,-0.548389,0
3,8,96,0,-0.238353,-1000,-3.58465,0,0
3,5,96,0.350636,0.546357,-1000,-3.58465,0.546357,1
3,4,96,0.54044,0.861695,-1000,-3.58465,0.861695,1
3,2,96,1.04211,0.166462,-1000,-3.58465,1.04211,0
3,1,96,1.42802,0.442018,-1000,-3.58465,1.42802,0
4,17,96,-4.70529,-5.87411,-1000,-3.58465,-3.58465,3
4,16,96,-5.62673,-5.87411,-1000,-3.58465,-3.58465,3
4,15,96,-5.65769,-5.87411,-1000,-3.58465,-3.58465,3
4,13,96,-5.75147,-5.87411,-1000,-3.58465,-3.58465,3
4,12,96,-4.69537,-5.87411,-1000,-3.58465,-3.58465,3
4,9,96,-3.90123,-5.87411,-1000,-3.58465,-3.58465,3
4,8,96,-4.18424,-5.87411,-1000,-3.58465,-3.58465,3
4,7,96,-4.23441,-1.87051,-1000,-3.58465,-1.87051,1
4,5,96,-1.85839,-2.88049,-1000,-3.58465,-1.85839,0
4,1,96,0.12818,-0.667841,-1000,-3.58465,0.12818,0
1,19,95,0,0.804501,-1000,-3.47,0.804501,1
1,17,95,0.325062,0.858003,-1000,-3.47,0.858003,1
1,15,95,0.468634,-0.144336,-1000,-3.47,0.468634,0
1,13,95,0,0.942841,-1000,-3.47,0.942841,1
1,7,95,1.56548,1.63932,-1000,-3.47,1.63932,1
1,4,95,1.51765,1.63966,-1000,-3.47,1.63966,1
1,2,95,1.59408,0.307496,-1000,-3.47,1.59408,0
1,1,95,1.76782,2.10326,-1000,-3.47,2.10326,1
2,20,95,-1.63426,-1.36511,-1000,-3.47,-1.36511,1
2,17,95,-1.00064,-0.870508,-1000,-3.47,-0.870508,1
2,16,95,-1.0738,-0.74266,-1000,-3.47,-0.74266,1
2,15,95,-1.19083,-1.11357,-1000,-3.47,-1.11357,1
2,14,95,-1.54409,-0.392795,-1000,-3.47,-0.392795,1
2,13,95,0.111521,-0.31968,-1000,-3.47,0.111521,0
2,10,95,0.479889,0.573162,-1000,-3.47,0.573162,1
2,9,95,0.454121,0.776645,-1000,-3.47,0.776645,1
2,7,95,1.37549,0.935907,-1000,-3.47,1.37549,0
2,4,95,1.23,1.52253,-1000,-3.47,1.52253,1
