Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.899748,-1.01879,-1000,-3.83959,-0.899748,0
1,19,99,-4.15293,0.612041,-1000,-3.83959,0.612041,1
1,18,99,-4.15293,1.2834,-1000,-3.83959,1.2834,1
1,17,99,-1.30653,0.951967,-1000,-3.83959,0.951967,1
1,15,99,-0.820481,-0.044422,-1000,-3.83959,-0.044422,1
1,13,99,-4.15293,0.510296,-1000,-3.83959,0.510296,1
1,12,99,-4.15293,0.261209,-1000,-3.83959,0.261209,1
1,10,99,0.789118,0.979515,-1000,-3.83959,0.979515,1
1,9,99,0.909069,1.1512,-1000,-3.83959,1.1512,1
1,7,99,1.52275,1.57292,-1000,-3.83959,1.57292,1
1,4,99,1.41362,1.3971,-1000,-3.83959,1.41362,0
1,3,99,1.39054,1.63791,-1000,-3.83959,1.63791,1
1,2,99,1.44716,0.125652,-1000,-3.83959,1.44716,0
1,1,99,1.18524,1.9378,-1000,-3.83959,1.9378,1
2,20,99,-1.63251,-1.43143,-1000,-3.83959,-1.43143,1
2,18,99,-2.31109,-1.84888,-1000,-3.83959,-1.84888,1
2,17,99,-0.508858,-0.573518,-1000,-3.83959,-0.508858,0
2,16,99,-0.605924,-2.68673,-1000,-3.83959,-0.605924,0
2,15,99,-0.720091,-1.19551,-1000,-3.83959,-0.720091,0
2,13,99,-0.463516,-1.3259,-1000,-3.83959,-0.463516,0
2,10,99,0.164586,0.209545,-1000,-3.83959,0.209545,1
2,8,99,0.00522878,0.551552,-1000,-3.83959,0.551552,1
2,7,99,1.15506,0.378472,-1000,-3.83959,1.15506,0
2,4,99,1.13246,1.48963,-1000,-3.83959,1.48963,1
2,3,99,1.36186,1.36557,-1000,-3.83959,1.36557,1
2,2,99,0.906227,0.907146,-1000,-3.83959,0.907146,1
2,1,99,1.13885,1.23858,-1000,-3.83959,1.23858,1
3,20,99,-2.93952,-3.28434,-1000,-3.83959,-2.93952,0
3,16,99,-3.33214,-2.78385,-1000,-3.83959,-2.78385,1
3,15,99,-2.40725,-3.79428,-1000,-3.83959,-2.40725,0
3,13,99,-2.87301,-1.22123,-1000,-3.83959,-1.22123,1
3,11,99,-3.88446,-1.03811,-1000,-3.83959,-1.03811,1
3,10,99,-4.15293,-1.34516,-1000,-3.83959,-1.34516,1
3,9,99,-0.461237,-0.931069,-1000,-3.83959,-0.461237,0
3,8,99,-4.15293,-0.384725,-1000,-3.83959,-0.384725,1
3,5,99,0.202253,0.14877,-1000,-3.83959,0.202253,0
3,4,99,0.476671,0.764835,-1000,-3.83959,0.764835,1
3,2,99,0.907146,0.134695,-1000,-3.83959,0.907146,0
3,1,99,1.23858,0.557652,-1000,-3.83959,1.23858,0
4,17,99,-5.29528,-6.39093,-1000,-3.83959,-3.83959,3
4,16,99,-5.92418,-6.39093,-1000,-3.83959,-3.83959,3
4,15,99,-5.79448,-6.39093,-1000,-3.83959,-3.83959,3
4,14,99,-5.27344,-6.39093,-1000,-3.83959,-3.83959,3
4,13,99,-5.77586,-6.39093,-1000,-3.83959,-3.83959,3
4,12,99,-4.87712,-6.39093,-1000,-3.83959,-3.83959,3
4,9,99,-4.05203,-6.39093,-1000,-3.83959,-3.83959,3
4,8,99,-4.31553,-6.39093,-1000,-3.83959,-3.83959,3
4,7,99,-4.21351,-2.12906,-1000,-3.83959,-2.12906,1
4,5,99,-1.46288,-3.22576,-1000,-3.83959,-1.46288,0
4,3,99,-1.69087,0.0856469,-1000,-3.83959,0.0856469,1
4,1,99,0.235432,-0.894979,-1000,-3.83959,0.235432,0
1,20,98,-0.906965,-1.05627,-1000,-3.57562,-0.906965,0
1,19,98,0,0.614535,-1000,-3.57562,0.614535,1
1,18,98,0,1.24966,-1000,-3.57562,1.24966,1
1,17,98,-1.29236,0.977321,-1000,-3.57562,0.977321,1
1,15,98,0.541999,0.141644,-1000,-3.57562,0.541999,0
1,13,98,-2.49176,0.512286,-1000,-3.57562,0.512286,1
1,12,98,0,0.310727,-1000,-3.57562,0.310727,1
1,10,98,0.99894,1.10702,-1000,-3.57562,1.10702,1
1,9,98,1.08964,1.18662,-1000,-3.57562,1.18662,1
1,7,98,1.53891,1.58974,-1000,-3.57562,1.58974,1
1,4,98,1.45339,1.52279,-1000,-3.57562,1.52279,1
1,3,98,1.50143,1.69093,-1000,-3.57562,1.69093,1
1,2,98,1.47839,0.173501,-1000,-3.57562,1.47839,0
1,1,98,1.23598,1.97827,-1000,-3.57562,1.97827,1
2,20,98,-1.5861,-1.40187,-1000,-3.57562,-1.40187,1
2,18,98,-2.23455,-2.21583,-1000,-3.57562,-2.21583,1
2,17,98,-0.733306,-0.70148,-1000,-3.57562,-0.70148,1
2,16,98,-0.534301,-2.74429,-1000,-3.57562,-0.534301,0
2,15,98,-0.414808,-0.982695,-1000,-3.57562,-0.414808,0
2,13,98,-0.0796679,-1.31322,-1000,-3.57562,-0.0796679,0
2,10,98,0.473261,0.562983,-1000,-3.57562,0.562983,1
2,7,98,1.30484,0.893621,-1000,-3.57562,1.30484,0
2,4,98,1.16612,1.52858,-1000,-3.57562,1.52858,1
2,3,98,1.45368,1.38423,-1000,-3.57562,1.45368,0
2,2,98,0.946784,0.995689,-1000,-3.57562,0.995689,1
2,1,98,1.19022,1.31754,-1000,-3.57562,1.31754,1
3,20,98,-2.86267,-3.22372,-1000,-3.57562,-2.86267,0
3,16,98,-3.26495,-2.66095,-1000,-3.57562,-2.66095,1
3,15,98,-2.29746,-3.75743,-1000,-3.57562,-2.29746,0
3,13,98,-2.84304,-1.2016,-1000,-3.57562,-1.2016,1
3,11,98,-1.34418,-0.931497,-1000,-3.57562,-0.931497,1
3,10,98,0,-1.19186,-1000,-3.57562,0,0
3,9,98,-0.45512,-0.798255,-1000,-3.57562,-0.45512,0
3,8,98,0,-0.292185,-1000,-3.57562,0,0
3,5,98,0.276511,0.0803696,-1000,-3.57562,0.276511,0
3,4,98,0.486246,0.815548,-1000,-3.57562,0.815548,1
3,2,98,0.995689,0.174357,-1000,-3.57562,0.995689,0
3,1,98,1.31754,0.415752,-1000,-3.57562,1.31754,0
4,17,98,-5.04233,-6.4411,-1000,-3.57562,-3.57562,3
4,16,98,-6.16109,-6.4411,-1000,-3.57562,-3.57562,3
4,15,98,-5.7421,-6.4411,-1000,-3.57562,-3.57562,3
4,14,98,-5.44398,-6.4411,-1000,-3.57562,-3.57562,3
4,13,98,-5.62641,-6.4411,-1000,-3.57562,-3.57562,3
4,12,98,-4.89827,-6.4411,-1000,-3.57562,-3.57562,3
4,9,98,-3.91306,-6.4411,-1000,-3.57562,-3.57562,3
4,8,98,-4.03448,-6.4411,-1000,-3.57562,-3.57562,3
4,7,98,-4.20551,-2.13623,-1000,-3.57562,-2.13623,1
4,5,98,-1.78035,-3.21857,-1000,-3.57562,-1.78035,0
4,3,98,-1.5211,0.133157,-1000,-3.57562,0.133157,1
4,1,98,0.0788027,-0.858926,-1000,-3.57562,0.0788027,0
1,20,97,-0.845517,-1.01128,-1000,-3.37357,-0.845517,0
1,19,97,0,0.636847,-1000,-3.37357,0.636847,1
1,18,97,0,1.31267,-1000,-3.37357,1.31267,1
1,17,97,-0.469224,0.976646,-1000,-3.37357,0.976646,1
1,15,97,0.510557,0.101559,-1000,-3.37357,0.510557,0
1,13,97,-2.49176,0.811345,-1000,-3.37357,0.811345,1
1,12,97,0,0.342249,-1000,-3.37357,0.342249,1
1,7,97,1.5566,1.60109,-1000,-3.37357,1.60109,1
1,4,97,1.50491,1.63748,-1000,-3.37357,1.63748,1
1,3,97,1.56881,1.74169,-1000,-3.37357,1.74169,1
1,2,97,1.54036,0.272116,-1000,-3.37357,1.54036,0
1,10,97,1.0929,1.16797,-1000,-3.37357,1.16797,1
1,1,97,1.25949,1.98303,-1000,-3.37357,1.98303,1
2,20,97,-1.56345,-1.36424,-1000,-3.37357,-1.36424,1
2,18,97,-2.18334,-2.11664,-1000,-3.37357,-2.11664,1
2,17,97,-0.844436,-0.705514,-1000,-3.37357,-0.705514,1
2,16,97,-0.484111,-0.669073,-1000,-3.37357,-0.484111,0
2,15,97,-0.452686,-0.602648,-1000,-3.37357,-0.452686,0
2,13,97,0.0894466,-0.375337,-1000,-3.37357,0.0894466,0
2,12,97,-0.129233,0.174315,-1000,-3.37357,0.174315,1
2,10,97,0.468162,0.565941,-1000,-3.37357,0.565941,1
2,6,99,0.716286,0.946015,-1000,-3.83959,0.946015,1
1,14,97,-4.15293,0.231361,-1000,-3.37357,0.231361,1
2,8,97,0.397459,0.714565,-1000,-3.37357,0.714565,1
2,7,97,1.33552,0.901386,-1000,-3.37357,1.33552,0
1,14,99,-4.15293,-0.0280421,-1000,-3.83959,-0.0280421,1
2,6,97,0.816986,1.01198,-1000,-3.37357,1.01198,1
2,4,97,1.21979,1.5385,-1000,-3.37357,1.5385,1
2,3,97,1.47291,1.43279,-1000,-3.37357,1.47291,0
2,2,97,1.44223,1.04849,-1000,-3.37357,1.44223,0
2,1,97,1.25625,1.33019,-1000,-3.37357,1.33019,1
3,20,97,-2.81323,-3.07879,-1000,-3.37357,-2.81323,0
3,16,97,-3.15273,-2.72982,-1000,-3.37357,-2.72982,1
3,15,97,-2.07483,-3.54466,-1000,-3.37357,-2.07483,0
3,13,97,-2.62518,-1.06575,-1000,-3.37357,-1.06575,1
3,11,97,-1.24595,-0.48438,-1000,-3.37357,-0.48438,1
3,10,97,0,-1.06621,-1000,-3.37357,0,0
3,9,97,-0.511491,-0.690344,-1000,-3.37357,-0.511491,0
3,8,97,0,-0.197503,-1000,-3.37357,0,0
3,5,97,0.29842,0.33714,-1000,-3.37357,0.33714,1
3,4,97,0.554575,0.842572,-1000,-3.37357,0.842572,1
3,2,97,1.04849,0.0782862,-1000,-3.37357,1.04849,0
3,1,97,1.33019,0.41818,-1000,-3.37357,1.33019,0
4,17,97,-4.88846,-6.4137,-1000,-3.37357,-3.37357,3
4,16,97,-6.02391,-6.4137,-1000,-3.37357,-3.37357,3
4,15,97,-5.712,-6.4137,-1000,-3.37357,-3.37357,3
4,13,97,-5.7814,-6.4137,-1000,-3.37357,-3.37357,3
4,12,97,-4.97373,-6.4137,-1000,-3.37357,-3.37357,3
4,9,97,-3.98706,-6.4137,-1000,-3.37357,-3.37357,3
4,8,97,-4.2109,-6.4137,-1000,-3.37357,-3.37357,3
4,7,97,-4.32825,-2.08255,-1000,-3.37357,-2.08255,1
4,5,97,-1.76778,-3.20774,-1000,-3.37357,-1.76778,0
