Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.75116,-0.767306,-3.42317,-3.35411,-0,1
1,19,99,-3.42317,-0.620527,-3.42317,-3.35411,-0,1
1,18,99,-3.42317,0.309936,-3.42317,-3.35411,0,1
1,17,99,-1.61611,-0.49858,-3.42317,-3.35411,-0,1
1,15,99,-1.47446,-0.691947,-3.42317,-3.35411,-0,1
1,13,99,-3.42317,-0.747621,-3.42317,-3.35411,-0,1
1,12,99,-3.42317,-1.14198,-3.42317,-3.35411,-3.42317,1
1,10,99,-0.47679,-0.15183,-3.42317,-3.35411,-0.392263,1
1,9,99,-0.143764,0.121775,-3.42317,-3.35411,0,1
1,7,99,0.0759949,0.143427,-3.42317,-3.35411,0,1
1,4,99,0.0342432,0.179973,-3.42317,-3.35411,0,1
1,3,99,0.161073,0.447081,-3.42317,-3.35411,0,1
1,2,99,0.172104,-0.629995,-3.42317,-3.35411,0,0
1,1,99,0.206659,0.803161,-3.42317,-3.35411,0,1
1,20,98,-1.23037,-1.33952,-3.42317,-3.13132,-0,0
1,19,98,0,-0.730616,-3.42317,-3.13132,0,0
1,18,98,-3.42078,0.201454,-3.42317,-3.13132,0,1
1,17,98,-1.56292,-0.566957,-3.42317,-3.13132,-0,1
1,15,98,-0.208143,-0.816354,-3.42317,-3.13132,-0,0
1,13,98,-2.58973,-0.779884,-3.42317,-3.13132,-2.58973,1
1,12,98,-1.76263,-0.751385,-3.42317,-3.13132,-1.15588,1
1,9,98,-0.233487,-0.0777486,-3.42317,-3.13132,-0,1
1,7,98,0.0873859,0.162718,-3.42317,-3.13132,0,1
1,4,98,0.0520986,0.242174,-3.42317,-3.13132,0,1
1,3,98,0.196817,0.4916,-3.42317,-3.13132,0,1
1,2,98,0.229998,-0.576046,-3.42317,-3.13132,0,0
1,1,98,0.261648,0.826449,-3.42317,-3.13132,0,1
1,20,97,-1.92275,-0.959776,-3.42317,-2.8162,-1.92275,1
1,19,97,-1.34498,-0.295924,-3.42317,-2.8162,-0,1
1,18,97,-4.13725,0.414741,-3.42317,-2.8162,0,1
1,17,97,-1.53325,-0.473233,-3.42317,-2.8162,-0,1
1,15,97,-0.578328,-0.981489,-3.42317,-2.8162,-0,0
1,13,97,-2.64385,-0.792001,-3.42317,-2.8162,-2.27348,1
1,12,97,-1.98416,-0.761231,-3.42317,-2.8162,-1.16888,1
1,7,97,0.0989991,0.194121,-3.42317,-2.8162,0,1
1,4,97,0.0986755,0.406356,-3.42317,-2.8162,0,1
1,3,97,0.221788,0.547012,-3.42317,-2.8162,0,1
1,2,97,0.275808,-0.553075,-3.42317,-2.8162,0,0
1,20,96,-0.15449,-0.538455,-3.42317,-2.99947,-0,0
1,19,96,-0.712148,-0.599616,-3.42317,-2.99947,-0.599616,1
1,18,96,-2.22352,0.446548,-3.42317,-2.99947,0,1
1,17,96,-0.939882,-0.402196,-3.42317,-2.99947,-0,1
1,15,96,-0.860128,-1.05471,-3.42317,-2.99947,-1.05471,0
1,13,96,-0.233577,-0.493091,-3.42317,-2.99947,-0.233577,0
1,12,96,-0.999877,-0.533088,-3.42317,-2.99947,-0,1
1,9,96,-0.198707,-0.0108936,-3.42317,-2.99947,-0.0108936,1
1,7,96,0.291107,0.398626,-3.42317,-2.99947,0,1
1,4,96,0.118667,0.473504,-3.42317,-2.99947,0,1
1,3,96,0.269465,0.566093,-3.42317,-2.99947,0,1
1,2,96,0.303254,-0.491892,-3.42317,-2.99947,0,0
1,19,95,0,0.144575,-3.42317,-2.85809,0,1
1,17,95,-0.733469,-0.345134,-3.42317,-2.85809,-0,1
1,15,95,-0.959536,-1.10853,-3.42317,-2.85809,-1.05532,0
1,13,95,-1.08479,-0.415131,-3.42317,-2.85809,-0,1
1,7,95,0.326427,0.464171,-3.42317,-2.85809,0,1
1,4,95,0.112207,0.49712,-3.42317,-2.85809,0,1
1,2,95,0.348003,-0.458363,-3.42317,-2.85809,0,0
1,1,95,0.735247,0.903079,-3.42317,-2.85809,0,1
1,19,94,0,-0.317059,-3.42317,-2.5603,0,0
1,17,94,-0.909848,-0.342139,-3.42317,-2.5603,-0,1
1,15,94,-0.520259,-0.505315,-3.42317,-2.5603,-0.512787,1
1,13,94,-1.64763,-0.450893,-3.42317,-2.5603,-0,1
1,7,94,0.322765,0.462071,-3.42317,-2.5603,0,1
1,4,94,0.117699,0.512551,-3.42317,-2.5603,0,1
1,2,94,0.38,-0.375039,-3.42317,-2.5603,0,0
1,1,94,0.856138,0.932949,-3.42317,-2.5603,0,1
1,19,93,-1.15644,-0.434229,-3.42317,-2.52161,-0,1
1,17,93,0.101008,-0.163932,-3.42317,-2.52161,-0.00496835,0
1,15,93,-0.5547,-0.644403,-3.42317,-2.52161,-0.588339,0
1,13,93,-1.84837,-0.378134,-3.42317,-2.52161,-0,1
1,7,93,0.492093,0.604339,-3.42317,-2.52161,0,1
1,4,93,0.460884,0.574867,-3.42317,-2.52161,0,1
1,2,93,0.417289,-0.383467,-3.42317,-2.52161,0,0
1,1,93,0.880479,0.962543,-3.42317,-2.52161,0,1
1,19,92,0,-0.387653,-6.43837,-2.40412,0,0
1,17,92,-0.504767,-0.218107,-6.43837,-2.40412,-0.270227,1
1,15,92,-0.598237,-0.476514,-6.43837,-2.40412,-0.542908,1
1,13,92,-1.00081,-0.319807,-6.43837,-2.40412,-0,1
1,7,92,0.476588,0.585325,-6.43837,-2.40412,0,1
