Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.74616,-0.764091,-3.37946,-3.35828,-0,1
1,19,99,-3.37946,-0.613947,-3.37946,-3.35828,-0,1
1,18,99,-3.37946,0.315502,-3.37946,-3.35828,0,1
1,17,99,-1.59608,-0.493353,-3.37946,-3.35828,-0,1
1,15,99,-1.45836,-0.684713,-3.37946,-3.35828,-0,1
1,13,99,-3.37946,-0.743799,-3.37946,-3.35828,-0,1
1,12,99,-3.37946,-1.13564,-3.37946,-3.35828,-3.37946,1
1,10,99,-0.468824,-0.145107,-3.37946,-3.35828,-0.38462,1
1,9,99,-0.139696,0.125199,-3.37946,-3.35828,0,1
1,7,99,0.0772557,0.145484,-3.37946,-3.35828,0,1
1,4,99,0.036044,0.186227,-3.37946,-3.35828,0,1
1,3,99,0.16416,0.451409,-3.37946,-3.35828,0,1
1,2,99,0.176938,-0.622786,-3.37946,-3.35828,0,0
1,1,99,0.21596,0.806267,-3.37946,-3.35828,0,1
1,20,98,-1.22426,-1.33344,-3.37946,-3.13826,-0,0
1,19,98,0,-0.723525,-3.37946,-3.13826,0,0
1,18,98,-3.4144,0.207239,-3.37946,-3.13826,0,1
1,17,98,-1.54295,-0.562048,-3.37946,-3.13826,-0,1
1,15,98,-0.205443,-0.808233,-3.37946,-3.13826,-0,0
1,13,98,-2.56297,-0.775174,-3.37946,-3.13826,-2.56297,1
1,12,98,-1.75185,-0.747705,-3.37946,-3.13826,-1.14936,1
1,9,98,-0.226974,-0.0717224,-3.37946,-3.13826,-0,1
1,7,98,0.0886489,0.164751,-3.37946,-3.13826,0,1
1,4,98,0.0538842,0.248347,-3.37946,-3.13826,0,1
1,3,98,0.199904,0.496057,-3.37946,-3.13826,0,1
1,2,98,0.234902,-0.568838,-3.37946,-3.13826,0,0
1,1,98,0.27083,0.829539,-3.37946,-3.13826,0,1
1,20,97,-1.91552,-0.953758,-3.37946,-2.81824,-1.91552,1
1,19,97,-1.34024,-0.289334,-3.37946,-2.81824,-0,1
1,18,97,-4.12945,0.420768,-3.37946,-2.81824,0,1
1,17,97,-1.52064,-0.467612,-3.37946,-2.81824,-0,1
1,15,97,-0.573702,-0.972425,-3.37946,-2.81824,-0,0
1,13,97,-2.61692,-0.787838,-3.37946,-2.81824,-2.25111,1
1,12,97,-1.97735,-0.757161,-3.37946,-2.81824,-1.16389,1
1,7,97,0.100315,0.195985,-3.37946,-2.81824,0,1
1,4,97,0.100442,0.412167,-3.37946,-2.81824,0,1
1,3,97,0.224858,0.551406,-3.37946,-2.81824,0,1
1,2,97,0.28073,-0.545889,-3.37946,-2.81824,0,0
1,20,96,-0.150751,-0.534261,-3.37946,-3.00465,-0,0
1,19,96,-0.707277,-0.592097,-3.37946,-3.00465,-0.592097,1
1,18,96,-2.21717,0.452993,-3.37946,-3.00465,0,1
1,17,96,-0.935656,-0.396328,-3.37946,-3.00465,-0,1
1,15,96,-0.854282,-1.04571,-3.37946,-3.00465,-1.04571,0
1,13,96,-0.233255,-0.48908,-3.37946,-3.00465,-0.233255,0
1,12,96,-0.996692,-0.528778,-3.37946,-3.00465,-0,1
1,9,96,-0.192481,-0.00497365,-3.37946,-3.00465,-0.00497365,1
1,7,96,0.296753,0.404346,-3.37946,-3.00465,0,1
1,4,96,0.120516,0.479607,-3.37946,-3.00465,0,1
1,3,96,0.272494,0.570467,-3.37946,-3.00465,0,1
1,2,96,0.308301,-0.484629,-3.37946,-3.00465,0,0
1,19,95,0,0.150263,-3.37946,-2.86108,0,1
1,17,95,-0.728895,-0.338725,-3.37946,-2.86108,-0,1
1,15,95,-0.954109,-1.09911,-3.37946,-2.86108,-1.04732,0
1,13,95,-1.08109,-0.410037,-3.37946,-2.86108,-0,1
1,7,95,0.332293,0.470058,-3.37946,-2.86108,0,1
1,4,95,0.114095,0.503277,-3.37946,-2.86108,0,1
1,2,95,0.353087,-0.451023,-3.37946,-2.86108,0,0
1,1,95,0.740052,0.906183,-3.37946,-2.86108,0,1
1,19,94,0,-0.308306,-3.37946,-2.56037,0,0
1,17,94,-0.904538,-0.335927,-3.37946,-2.56037,-0,1
1,15,94,-0.515293,-0.500135,-3.37946,-2.56037,-0.507714,1
1,13,94,-1.64174,-0.445921,-3.37946,-2.56037,-0,1
1,7,94,0.328682,0.468098,-3.37946,-2.56037,0,1
1,4,94,0.119611,0.518909,-3.37946,-2.56037,0,1
1,2,94,0.385138,-0.367618,-3.37946,-2.56037,0,0
1,1,94,0.860939,0.936101,-3.37946,-2.56037,0,1
1,19,93,-1.14862,-0.425854,-3.37946,-2.52177,-0,1
1,17,93,0.103595,-0.157362,-3.37946,-2.52177,-0.000787494,0
