Down,Distance,Yardline,EP
1,20,99,-1.49421
1,19,99,-1.0222
1,15,99,-0.0699894
1,13,99,-0.458135
1,10,99,0.0247679
1,7,99,0.0848684
1,4,99,0.279592
1,3,99,-0.103097
1,2,99,-0.0111978
1,1,99,0.332029
3,2,99,-0.0820133
1,20,98,-0.966654
1,19,98,-0.581946
1,15,98,-0.106016
1,13,98,-0.125817
1,10,98,0.146143
1,7,98,0.29521
1,4,98,0.358937
1,3,98,0.309786
1,2,98,0.420803
2,3,99,-0.421204
1,1,98,0.3896
2,2,99,-0.0897951
3,1,98,0.202832
4,1,98,-0.879453
1,20,97,-0.984369
1,19,97,-0.351222
1,17,97,0.0314685
1,15,97,-0.0973574
1,13,97,0.110811
1,7,97,0.550614
1,4,97,0.391799
1,3,97,0.562056
1,2,97,0.401188
2,4,99,0.758232
2,3,98,-0.147385
1,10,97,0.0715819
1,1,97,0.538275
2,2,98,0.249942
3,4,99,-0.486943
3,2,98,0.239485
4,7,99,-2.98406
4,3,98,-2.37594
3,1,97,0.247774
4,3,99,-2.09423
1,20,96,-0.746821
2,23,99,0
1,19,96,-0.441053
1,17,96,-0.101198
1,15,96,0.0642493
1,13,96,-0.0854045
2,15,98,-1.03072
1,7,96,0.596001
1,4,96,0.730485
1,3,96,0.880186
1,2,96,0.917135
1,10,96,0.475278
1,1,96,0.669033
2,2,97,0.38137
3,4,98,-0.256626
3,2,97,-0.0135599
4,7,98,-2.7
3,2,96,0.32549
3,1,96,0.380045
4,1,96,-1.00651
1,19,95,-0.382582
1,17,95,-0.0220468
2,20,99,-1.638
1,15,95,0.142274
1,13,95,0.278323
2,17,99,-1.09526
2,16,99,-1.60484
2,7,97,-0.0441289
1,4,95,0.752006
2,4,97,0.592936
1,1,95,0.724043
2,2,96,0.629609
2,3,97,0.294922
2,4,98,0.543884
3,20,99,-2.78804
3,16,99,-2.53828
3,4,97,-0.145972
3,5,98,-0.703079
3,5,99,-0.779184
4,7,97,-3.05055
4,5,97,-2.70483
4,5,99,-2.44678
4,1,95,-0.366183
1,19,94,-0.191408
1,17,94,-0.351644
1,15,94,0.0490907
1,13,94,0.276654
2,13,95,-0.480848
2,13,99,-0.67398
2,7,96,-0.0932908
1,4,94,0.97201
2,7,98,-0.313349
2,8,99,-0.619173
2,4,96,0.565634
2,7,99,-0.337701
1,1,94,0.960392
2,2,95,0.491467
2,3,96,0.479346
3,20,96,-2.09245
3,20,97,-2.05263
3,20,98,-2.09699
3,16,98,-2.32448
3,15,98,-2.38896
3,6,95,-0.53158
3,5,97,-0.916344
3,1,95,0.484149
3,7,99,-1.60902
3,2,95,0.471002
4,9,97,-3.19969
4,7,96,-2.75262
4,3,95,-2.65376
4,2,95,-1.25929
4,5,98,-2.19174
4,1,94,-0.749051
1,19,93,-0.397955
1,17,93,-0.143423
