Down,Distance,Yardline,EP
1,20,99,-1.5484
1,19,99,-1.0222
1,18,99,-0.904458
1,17,99,-0.537078
1,15,99,-0.0699894
1,13,99,-0.458135
1,12,99,-0.0959234
1,10,99,-0.214754
1,9,99,-0.225065
1,7,99,0.0848684
1,4,99,0.279592
1,3,99,-0.418663
1,2,99,-0.0111978
1,1,99,0.332029
2,20,99,-1.638
2,18,99,-2.01594
2,17,99,-1.09526
2,16,99,-1.99894
2,15,99,-1.1851
2,13,99,-0.67398
2,10,99,-0.707917
2,8,99,-0.619173
2,7,99,-0.337701
2,4,99,0.758232
2,3,99,-0.421204
2,2,99,-0.0897951
2,1,99,0.0964028
3,20,99,-2.78804
3,16,99,-2.53828
3,15,99,-2.45649
3,13,99,-1.68626
3,11,99,-1.72576
3,10,99,-2.13387
3,9,99,-1.78653
3,8,99,-1.21557
3,5,99,-0.935847
3,4,99,-0.937939
3,2,99,-0.0820133
3,1,99,0.0483305
4,17,99,-4.77234
4,16,99,-4.509
4,15,99,-4.67602
4,14,99,-4.1489
4,13,99,-3.50682
4,12,99,-3.92863
4,9,99,-3.05567
4,8,99,-4.01942
4,7,99,-2.98406
4,5,99,-2.8569
4,3,99,-2.32721
4,1,99,-0.857782
1,20,98,-1.52994
1,19,98,-0.581946
1,18,98,-0.277629
1,17,98,-0.311226
1,15,98,-0.106016
1,13,98,-0.125817
1,12,98,-0.276165
1,10,98,-0.183628
1,9,98,0.234231
1,7,98,-0.387573
1,4,98,0.349374
1,3,98,0.309786
1,2,98,0.420803
1,1,98,0.3896
2,20,98,-1.4491
2,18,98,-1.72196
2,17,98,-0.970583
2,16,98,-1.91478
2,15,98,-1.66257
2,13,98,-0.631628
2,10,98,-0.577175
2,7,98,-0.313349
2,4,98,0.516662
2,3,98,-0.244096
2,2,98,0.0975992
2,1,98,0.521276
3,20,98,-2.09699
3,16,98,-2.41042
3,15,98,-2.76332
3,13,98,-1.63914
3,11,98,-1.03347
3,10,98,-1.5637
3,9,98,-1.51872
3,8,98,-1.88877
3,5,98,-1.15965
3,4,98,-0.933425
3,2,98,-0.629341
3,1,98,0.202832
4,17,98,-4.67029
4,16,98,-4.70054
4,15,98,-4.20431
4,14,98,-4.25394
4,13,98,-3.91898
4,12,98,-4.09189
4,9,98,-3.74745
4,8,98,-3.4438
4,7,98,-3.65038
4,5,98,-2.42209
4,3,98,-2.69482
4,1,98,-1.36784
1,20,97,-1.27399
1,19,97,-0.50489
1,18,97,-0.70138
1,17,97,0.0314685
1,15,97,-0.0973574
1,13,97,0.102643
1,12,97,0.0455165
1,7,97,0.550614
1,4,97,0.0845954
1,3,97,0.562056
1,2,97,0.10928
1,10,97,0.0322443
1,1,97,0.378549
2,20,97,-1.35102
2,18,97,-1.9956
2,17,97,-1.11467
2,16,97,-1.54998
2,15,97,-1.03021
2,13,97,-0.55078
2,12,97,-0.819744
2,10,97,-0.647124
2,6,99,-0.223004
1,14,97,-0.705593
2,8,97,-0.198853
2,7,97,-0.0441289
1,14,99,-0.114065
2,6,97,-0.0800644
2,4,97,0.592936
2,3,97,0.154335
2,2,97,0.38137
2,1,97,0.44754
3,20,97,-2.05263
3,16,97,-2.44278
3,15,97,-2.47313
3,13,97,-1.43744
3,11,97,-1.88015
3,10,97,-1.90775
3,9,97,-1.5652
3,8,97,-1.65979
3,5,97,-1.30099
3,4,97,-0.503735
3,2,97,-0.102275
3,1,97,0.247774
4,17,97,-4.42247
4,16,97,-4.41719
4,15,97,-4.33411
4,13,97,-3.97281
4,12,97,-3.653
4,9,97,-3.19969
4,8,97,-3.4126
4,7,97,-3.75894
4,5,97,-2.92097
4,1,97,-1.35411
1,20,96,-0.787926
1,19,96,-0.441053
1,18,96,-0.515708
1,17,96,-0.220776
1,15,96,0.0642493
2,8,98,-0.433939
2,6,98,-0.338237
1,14,96,0.0151474
1,13,96,-0.0854045
1,12,96,-0.144174
1,9,96,0.0855521
1,7,96,0.266061
1,4,96,0.0677535
1,3,96,0.880186
1,2,96,0.917135
1,10,96,0.255035
1,1,96,0.669033
2,20,96,-1.04372
2,18,96,-1.72473
2,17,96,-1.06011
2,16,96,-1.59629
2,15,96,-1.23791
2,13,96,-0.706041
2,12,96,-0.972139
2,10,96,-0.163812
2,7,96,-0.181031
1,14,98,-0.0599096
2,8,96,-0.195986
2,6,96,0.0732074
2,4,96,0.565634
2,3,96,0.27966
2,2,96,0.629609
2,1,96,0.327516
3,20,96,-2.41133
3,16,96,-2.37098
3,13,96,-1.94288
3,11,96,-1.59549
3,10,96,-2.04645
3,9,96,-1.62624
3,8,96,-0.802226
3,5,96,-0.810896
3,4,96,-0.520251
3,2,96,0.16809
3,1,96,-0.0364348
4,17,96,-4.05551
4,16,96,-4.30298
