Down,Distance,Yardline,EP
1,20,99,-1.49421
1,19,99,-1.20865
1,18,99,-0.776727
1,17,99,-0.750667
1,15,99,-1.80391
1,13,99,-0.785249
1,12,99,-0.848261
1,10,99,0.0247679
1,9,99,-0.697517
1,7,99,-0.771142
1,4,99,-0.0572768
1,3,99,-0.103097
1,2,99,-0.222414
1,1,99,-0.354968
2,20,99,-2.00352
2,18,99,-2.19754
2,17,99,-1.78784
2,16,99,-1.60484
2,15,99,-1.39472
2,13,99,-1.59823
2,10,99,-1.03508
2,8,99,-1.0814
2,7,99,-0.452849
2,4,99,0.0611874
2,3,99,-0.592862
2,2,99,-0.322273
2,1,99,-0.132988
3,20,99,-2.8569
3,16,99,-2.71135
3,15,99,-2.75697
3,13,99,-2.64157
3,11,99,-2.27718
3,10,99,-2.27681
3,9,99,-2.06881
3,8,99,-1.76989
3,5,99,-0.779184
3,4,99,-0.486943
3,2,99,-0.300029
3,1,99,-0.727163
4,17,99,-5.26364
4,16,99,-5.26347
4,15,99,-5.27051
4,14,99,-5.12234
4,13,99,-5.33984
4,12,99,-4.89536
4,9,99,-4.8049
4,8,99,-4.32687
4,7,99,-4.12285
4,5,99,-3.71503
4,3,99,-2.09423
4,1,99,-1.21593
1,20,98,-0.966654
1,19,98,-0.924746
1,18,98,-0.924445
1,17,98,-0.870992
1,15,98,-0.146129
1,13,98,-0.205785
1,12,98,-0.184396
1,10,98,0.146143
1,9,98,-0.132216
1,7,98,0.29521
1,4,98,0.358937
1,3,98,-0.049177
1,2,98,0.0796767
1,1,98,0.0120193
2,20,98,-1.6578
2,18,98,-1.68994
2,17,98,-1.61626
2,16,98,-1.77121
2,15,98,-1.03072
2,13,98,-1.18508
2,10,98,-0.775227
2,7,98,-0.362124
2,4,98,0.543884
2,3,98,-0.147385
2,2,98,0.249942
2,1,98,0.0113747
3,20,98,-2.25026
3,16,98,-2.32448
3,15,98,-2.38896
3,13,98,-2.17693
3,11,98,-2.48169
3,10,98,-1.90704
3,9,98,-2.08774
3,8,98,-1.6717
3,5,98,-0.703079
3,4,98,-0.256626
3,2,98,0.239485
3,1,98,0.106099
4,17,98,-5.2606
4,16,98,-5.31924
4,15,98,-5.26355
4,14,98,-5.15189
4,13,98,-4.96777
4,12,98,-4.80089
4,9,98,-5.1337
4,8,98,-4.64168
4,7,98,-4.17424
4,5,98,-3.88104
4,3,98,-2.37594
4,1,98,-0.879453
1,20,97,-0.984369
1,19,97,-0.351222
1,18,97,-0.429187
1,17,97,-0.467111
1,15,97,-0.32215
1,13,97,0.110811
1,12,97,-0.153208
1,7,97,0.460007
1,4,97,0.391799
1,3,97,0.396958
1,2,97,0.401188
1,10,97,0.0715819
1,1,97,0.538275
2,20,97,-1.62957
2,18,97,-1.49739
2,17,97,-1.18944
2,16,97,-1.22089
2,15,97,-0.991695
2,13,97,-0.697074
2,12,97,-0.69647
2,10,97,-0.808495
2,6,99,-0.336244
1,14,97,-0.492483
2,8,97,-0.256226
2,7,97,-0.248796
1,14,99,-0.463329
2,6,97,-0.203448
2,4,97,0.54743
2,3,97,0.294922
2,2,97,0.248411
2,1,97,0.471748
3,20,97,-2.55961
3,16,97,-2.51317
3,15,97,-2.06962
3,13,97,-1.70108
3,11,97,-2.01037
3,10,97,-1.88166
3,9,97,-1.64033
3,8,97,-1.56622
3,5,97,-0.916344
3,4,97,-0.145972
3,2,97,-0.0135599
3,1,97,-0.194987
4,17,97,-4.85066
4,16,97,-5.25808
4,15,97,-5.04686
4,13,97,-5.0785
4,12,97,-5.04717
4,9,97,-4.79855
4,8,97,-3.9562
4,7,97,-3.95528
4,5,97,-3.2102
4,1,97,-0.471731
1,20,96,-0.746821
1,19,96,-0.882427
1,18,96,-0.557775
1,17,96,-0.101198
1,15,96,-0.0619137
2,8,98,-0.612616
2,6,98,-0.481736
1,14,96,-0.0733689
1,13,96,-0.174909
1,12,96,0.216918
1,9,96,0.559561
1,7,96,0.596001
1,4,96,0.730485
1,3,96,0.585725
1,2,96,0.573644
1,10,96,0.475278
1,1,96,0.546929
2,20,96,-1.15623
2,18,96,-1.08468
2,17,96,-1.13085
2,16,96,-0.838319
2,15,96,-0.507357
2,13,96,-0.886335
2,12,96,-0.633307
2,10,96,-0.47079
2,7,96,-0.0932908
1,14,98,-0.289061
2,8,96,-0.164677
2,6,96,0.162574
2,4,96,0.473347
2,3,96,0.479346
2,2,96,0.628957
2,1,96,0.60568
3,20,96,-2.09245
3,16,96,-2.37656
3,13,96,-1.94969
3,11,96,-1.51438
3,10,96,-1.4517
3,9,96,-1.67132
3,8,96,-1.12065
3,5,96,-0.413887
3,4,96,-0.385663
3,2,96,0.32549
3,1,96,0.380045
4,17,96,-4.85173
4,16,96,-4.73457
4,15,96,-5.16115
4,13,96,-4.72161
4,12,96,-4.68148
4,9,96,-4.51922
4,8,96,-3.8106
4,7,96,-4.15837
4,5,96,-3.28267
4,1,96,-1.18634
1,19,95,-0.382582
1,17,95,-0.415717
1,15,95,0.142274
1,13,95,0.278323
1,7,95,0.69618
1,4,95,0.680132
1,2,95,0.592468
1,1,95,0.724043
2,20,95,-1.20558
2,17,95,-1.27877
2,16,95,-0.935734
2,15,95,-0.650057
2,14,95,-0.851723
2,13,95,-0.772872
2,10,95,-0.382892
2,9,95,-0.380181
2,7,95,0.166165
2,4,95,0.504446
2,2,95,0.398182
2,1,95,0.607281
3,20,95,-2.65323
3,18,95,-2.21432
3,16,95,-2.13359
3,13,95,-1.55966
3,11,95,-1.04704
3,10,95,-1.43117
3,9,95,-1.58655
3,8,95,-1.39861
3,6,95,-0.53158
3,5,95,-0.66358
3,4,95,-0.0887111
3,2,95,0.471002
3,7,99,-1.68262
3,1,95,0.484149
4,16,95,-4.81984
4,13,95,-4.5966
4,12,95,-4.48059
4,9,95,-4.41721
4,5,95,-3.0691
4,3,95,-2.65376
4,2,95,-1.25929
4,1,95,-0.366183
1,19,94,-0.426725
1,17,94,-0.508446
1,15,94,0.0490907
1,13,94,0.241109
1,7,94,0.737331
1,4,94,0.791014
1,2,94,0.55836
1,1,94,0.502372
2,20,94,-1.65419
2,17,94,-1.05931
2,16,94,-1.04424
2,15,94,-0.497945
2,14,94,-0.798883
2,13,94,-0.668923
2,10,94,-0.209037
2,9,94,-0.277998
2,7,94,0.206831
2,4,94,0.724747
2,2,94,0.660804
2,1,94,0.612559
3,20,94,-2.4967
3,18,94,-1.81977
3,16,94,-1.98678
3,13,94,-1.73294
3,11,94,-1.92774
3,10,94,-1.34956
3,9,94,-1.41906
3,8,94,-1.09239
3,6,94,-0.693419
3,5,94,-0.372674
3,4,94,-0.165175
3,2,94,0.41037
3,7,98,-1.61909
3,1,94,0.442588
4,18,94,-4.51514
4,16,94,-4.48428
4,13,94,-4.34282
4,12,94,-4.5219
4,9,94,-3.92048
4,5,94,-3.35901
4,3,94,-2.55222
4,1,94,-0.749051
1,19,93,-0.499632
1,17,93,-0.183186
1,15,93,-0.00791437
1,13,93,0.181976
1,7,93,0.568093
1,4,93,0.627402
1,2,93,0.776747
1,1,93,0.861378
2,20,93,-1.16147
2,17,93,-0.972042
2,16,93,-1.01893
2,15,93,-0.760904
2,14,93,-0.804548
2,13,93,-0.695026
2,10,93,-0.0783076
2,7,93,0.355435
2,4,93,0.624108
2,2,93,0.708764
2,1,93,0.753323
3,20,93,-2.3821
3,18,93,-2.19811
3,16,93,-2.43414
3,13,93,-1.86575
3,11,93,-1.71285
3,10,93,-1.39022
3,9,93,-1.44403
3,8,93,-1.00965
3,6,93,-0.775798
3,5,93,-0.433709
3,4,93,-0.114195
3,2,93,0.425639
3,7,97,-1.26547
3,1,93,0.547242
4,16,93,-4.72678
4,13,93,-4.14765
4,12,93,-4.59167
4,9,93,-4.11797
4,5,93,-2.95259
4,3,93,-2.31619
4,11,96,-5.0016
4,2,93,-0.810319
4,1,93,-0.660382
1,19,92,-0.23299
1,17,92,-0.106208
1,15,92,0.145378
1,13,92,0.42739
1,7,92,0.639071
1,4,92,0.601964
1,2,92,0.727711
1,1,92,0.7475
2,20,92,-1.17548
2,17,92,-0.84354
2,16,92,-0.989871
2,15,92,-0.445588
2,14,92,-0.834723
2,13,92,-0.540052
2,10,92,-0.292782
2,7,92,0.173602
2,4,92,0.682063
2,2,92,0.660833
2,1,92,0.675364
3,20,92,-2.34999
3,18,92,-2.25872
3,16,92,-2.24823
3,13,92,-2.02751
3,11,92,-1.72173
3,10,92,-1.32427
3,9,92,-1.63268
3,8,92,-1.05634
3,6,92,-0.460087
3,5,92,-0.419773
3,4,92,0.183678
3,2,92,0.5221
3,7,96,-1.22642
3,1,92,0.530388
4,16,92,-4.67548
4,13,92,-4.41719
4,12,92,-4.29901
4,9,92,-4.12676
4,5,92,-3.16844
4,3,92,-1.98544
4,11,97,-4.80114
4,2,92,-1.00823
4,1,92,-0.315282
1,19,91,-0.523557
1,17,91,-0.486865
1,15,91,0.245884
1,13,91,0.214369
1,7,91,0.748886
1,4,91,0.775845
1,2,91,0.7224
1,1,91,0.908709
2,20,91,-1.18855
2,17,91,-1.00189
2,16,91,-1.02401
2,15,91,-0.730722
2,14,91,-0.751922
2,13,91,-0.704862
2,10,91,-0.0960234
2,7,91,0.245717
2,4,91,0.848335
2,2,91,0.770178
2,1,91,0.70312
3,20,91,-2.4305
3,18,91,-2.12351
3,16,91,-2.15445
