Down,Distance,Yardline,EPA
1,20,99,-1.93762
1,19,99,-1.37455
1,18,99,-1.23469
1,17,99,-1.25426
1,15,99,-0.952813
1,13,99,-0.824588
1,12,99,-0.906545
1,10,99,-0.703051
1,9,99,-0.430839
1,7,99,-0.60009
1,4,99,-0.279476
1,3,99,-0.545276
1,2,99,-0.456442
1,1,99,-0.29347
2,20,99,-1.99553
2,18,99,-2.48102
2,17,99,-1.5196
2,16,99,-1.95358
2,15,99,-2.25237
2,13,99,-1.27442
2,10,99,-1.1986
2,8,99,-1.05049
2,7,99,-1.2296
2,4,99,-0.396441
2,3,99,-0.783373
2,2,99,-0.487365
2,1,99,-0.618128
3,20,99,-2.9445
3,16,99,-2.62513
3,15,99,-2.9767
3,13,99,-2.13679
3,11,99,-2.75329
3,10,99,-2.33234
3,9,99,-2.1424
3,8,99,-2.07478
3,5,99,-1.7614
3,4,99,-1.44047
3,2,99,-0.855156
3,1,99,-0.989857
4,17,99,-4.36458
4,16,99,-4.92696
4,15,99,-4.7313
4,14,99,-4.06814
4,13,99,-4.14221
4,12,99,-3.88024
4,9,99,-3.43446
4,8,99,-3.54061
4,7,99,-3.95007
4,5,99,-3.5786
4,3,99,-3.11781
4,1,99,-2.11142
1,20,98,-1.67209
1,19,98,-1.22477
1,18,98,-0.938214
1,17,98,-1.35605
1,15,98,-1.33103
1,13,98,-1.2001
1,12,98,-0.625067
1,10,98,-0.2494
1,9,98,-0.516206
1,7,98,-0.536609
1,4,98,-0.385098
1,3,98,-0.267068
1,2,98,-0.250429
1,1,98,-0.336831
2,20,98,-1.78978
2,18,98,-2.13083
2,17,98,-1.50291
2,16,98,-2.08056
2,15,98,-2.05249
2,13,98,-1.25715
2,10,98,-0.860956
2,7,98,-0.748478
2,4,98,-0.19711
2,3,98,-0.454489
2,2,98,-0.654109
2,1,98,-0.234106
3,20,98,-2.53005
3,16,98,-2.79634
3,15,98,-2.90328
3,13,98,-2.2215
3,11,98,-2.23774
3,10,98,-2.65991
3,9,98,-2.17168
3,8,98,-1.96184
3,5,98,-1.60588
3,4,98,-1.77231
3,2,98,-0.872646
3,1,98,-0.397112
4,17,98,-4.21856
4,16,98,-4.63896
4,15,98,-4.33645
4,14,98,-3.84167
4,13,98,-3.61367
4,12,98,-4.31952
4,9,98,-3.67586
4,8,98,-4.23426
4,7,98,-3.89364
4,5,98,-3.08035
4,3,98,-2.6249
4,1,98,-2.6284
1,20,97,-1.55247
1,19,97,-0.799932
1,18,97,-1.0937
1,17,97,-0.765455
1,15,97,-1.0831
1,13,97,-0.773109
1,12,97,-0.476752
1,7,97,-0.458313
1,4,97,-0.216875
1,3,97,-0.459452
1,2,97,-0.332755
1,10,97,-0.44655
1,1,97,-0.517229
2,20,97,-1.48452
2,18,97,-1.93099
2,17,97,-1.4111
2,16,97,-1.89935
2,15,97,-1.87723
2,13,97,-1.07938
2,12,97,-1.57026
2,10,97,-1.05713
2,6,99,-1.13869
1,14,97,-1.00969
2,8,97,-0.646039
2,7,97,-0.839449
1,14,99,-0.895983
2,6,97,-0.730235
2,4,97,-0.177202
2,3,97,-0.465055
2,2,97,-0.20595
2,1,97,-0.161257
3,20,97,-2.58847
3,16,97,-3.18787
3,15,97,-2.99842
3,13,97,-1.85302
3,11,97,-2.01167
3,10,97,-2.45873
3,9,97,-2.13953
3,8,97,-1.7982
3,5,97,-1.71603
3,4,97,-1.22067
3,2,97,-0.737694
3,1,97,-0.533894
4,17,97,-4.14444
4,16,97,-4.4239
4,15,97,-4.77558
4,13,97,-4.3793
4,12,97,-3.92504
4,9,97,-3.2695
4,8,97,-3.49779
4,7,97,-3.36963
4,5,97,-2.22225
4,1,97,-2.00326
1,20,96,-1.36463
1,19,96,-1.19207
1,18,96,-0.797101
1,17,96,-0.70181
1,15,96,-0.545993
2,8,98,-0.591258
2,6,98,-0.811033
1,14,96,-0.825486
1,13,96,-0.640527
1,12,96,-0.387242
1,9,96,-0.492455
1,7,96,-0.573352
1,4,96,-0.322195
1,3,96,-0.27387
1,2,96,-0.286013
1,10,96,-0.480235
1,1,96,-0.276394
2,20,96,-1.5386
2,18,96,-2.17022
2,17,96,-1.57058
2,16,96,-1.89404
2,15,96,-1.87931
2,13,96,-1.145
2,12,96,-1.67856
2,10,96,-1.04808
2,7,96,-0.729092
1,14,98,-0.804038
2,8,96,-0.690525
2,6,96,-0.829431
2,4,96,-0.160984
2,3,96,-0.532248
2,2,96,-0.336772
2,1,96,-0.26451
3,20,96,-2.39238
3,16,96,-2.74293
3,13,96,-2.33862
3,11,96,-2.17952
3,10,96,-2.3336
3,9,96,-2.20859
3,8,96,-1.94349
3,5,96,-1.55525
3,4,96,-1.02968
3,2,96,-0.704011
3,1,96,-0.344153
4,17,96,-4.53681
4,16,96,-4.52051
4,15,96,-4.76431
4,13,96,-3.55251
4,12,96,-3.86185
4,9,96,-3.89465
4,8,96,-3.47955
4,7,96,-3.2185
4,5,96,-3.11827
4,1,96,-2.06375
1,19,95,-1.14339
1,17,95,-0.609365
1,15,95,-0.806101
1,13,95,-0.678873
1,7,95,-0.392946
1,4,95,-0.197058
1,2,95,0.0719155
1,1,95,-0.0502699
2,20,95,-1.28029
2,17,95,-1.59749
2,16,95,-1.70029
2,15,95,-1.55105
