Down,Distance,Yardline,EPA
1,20,99,-0.0604248
1,19,99,-0.0367287
1,18,99,0.0537395
1,17,99,0.0704415
1,15,99,0.124573
1,13,99,0.469997
1,12,99,0.173563
1,10,99,0.455353
1,9,99,0.653746
1,7,99,0.848312
1,4,99,1.78105
1,3,99,1.72661
1,2,99,2.19323
1,1,99,2.2366
2,20,99,-0.15155
2,18,99,-0.0107234
2,17,99,0.0813092
2,16,99,-0.0976923
2,15,99,-0.187022
2,13,99,0.303714
2,10,99,0.271573
2,8,99,0.670336
2,7,99,0.560452
2,4,99,1.6495
2,3,99,1.46817
2,2,99,1.92772
2,1,99,2.41064
3,20,99,-0.142417
3,16,99,0.032255
3,15,99,-0.259839
3,13,99,0.201079
3,11,99,0.141045
3,10,99,0.253081
3,9,99,0.3768
3,8,99,0.522147
3,5,99,0.836182
3,4,99,1.41937
3,2,99,1.6543
3,1,99,2.14892
4,17,99,-0.107762
4,16,99,-0.0684083
4,15,99,-0.284569
4,14,99,0.113028
4,13,99,-0.0118085
4,12,99,-0.0155268
4,9,99,0.179487
4,8,99,0.18307
4,7,99,0.255084
4,5,99,0.513294
4,3,99,0.595801
4,1,99,1.52851
1,20,98,-0.154056
1,19,98,0.0846021
1,18,98,-0.0424385
1,17,98,0.110731
1,15,98,-0.0273354
1,13,98,0.445605
1,12,98,0.272014
1,10,98,0.515708
1,9,98,0.626438
1,7,98,0.881025
1,4,98,1.6622
1,3,98,1.59544
1,2,98,2.00474
1,1,98,2.51399
2,20,98,0.00322749
2,18,98,0.0573155
2,17,98,0.0801564
2,16,98,-0.149224
2,15,98,-0.130475
2,13,98,0.353816
2,10,98,0.4074
2,7,98,0.72914
2,4,98,1.72044
2,3,98,1.63392
2,2,98,2.16462
2,1,98,2.24239
3,20,98,-0.120761
3,16,98,-0.187391
3,15,98,-0.208819
3,13,98,0.239999
3,11,98,0.339621
3,10,98,0.23592
3,9,98,0.334101
3,8,98,0.627667
3,5,98,0.986561
3,4,98,1.44601
3,2,98,2.01956
3,1,98,2.26676
4,17,98,-0.0157429
4,16,98,-0.105905
4,15,98,-0.231351
4,14,98,0.184297
4,13,98,0.00569749
4,12,98,-0.0981666
4,9,98,0.106389
4,8,98,0.0495697
4,7,98,0.0483639
4,5,98,0.651059
4,3,98,0.673539
4,1,98,1.70367
1,20,97,-0.108494
1,19,97,0.255886
1,18,97,-0.0426852
1,17,97,0.0849482
1,15,97,-0.0644295
1,13,97,0.438801
1,12,97,0.181235
1,7,97,0.859404
1,4,97,1.76427
1,3,97,1.38283
1,2,97,2.29223
1,10,97,0.456336
1,1,97,2.3015
2,20,97,0.000444848
2,18,97,0.0467707
2,17,97,0.07195
2,16,97,-0.0217866
2,15,97,-0.0403909
2,13,97,0.435951
2,12,97,0.259242
2,10,97,0.410878
2,6,99,0.906952
1,14,97,0.166789
2,8,97,0.724255
2,7,97,0.602728
1,14,99,0.189835
2,6,97,0.993963
2,4,97,1.68812
2,3,97,1.43906
2,2,97,2.13177
2,1,97,2.50497
3,20,97,-0.0976683
3,16,97,-0.109327
3,15,97,-0.267683
3,13,97,0.192489
3,11,97,0.203152
3,10,97,0.372581
3,9,97,0.427026
3,8,97,0.39991
3,5,97,0.860449
3,4,97,1.33327
3,2,97,1.82909
3,1,97,2.2076
4,17,97,-0.0246727
4,16,97,-0.0437649
4,15,97,-0.342624
4,13,97,-0.0424809
4,12,97,-0.102022
4,9,97,0.189826
4,8,97,0.261146
4,7,97,0.362426
4,5,97,0.738081
4,1,97,1.44908
1,20,96,0.0392433
1,19,96,0.0724169
1,18,96,0.000843254
1,17,96,0.0759093
1,15,96,0.11909
2,8,98,0.665973
2,6,98,0.955363
1,14,96,0.332606
1,13,96,0.318249
1,12,96,0.497426
1,9,96,0.732069
1,7,96,0.925888
1,4,96,1.74525
1,3,96,1.89807
1,2,96,2.12116
1,10,96,0.471218
1,1,96,2.05998
2,20,96,0.0664747
2,18,96,0.0684701
2,17,96,0.114809
2,16,96,-0.0637992
2,15,96,0.061596
2,13,96,0.413379
2,12,96,0.163063
2,10,96,0.37523
2,7,96,0.653712
1,14,98,0.247925
2,8,96,0.650798
2,6,96,1.01678
2,4,96,1.82531
2,3,96,1.64158
2,2,96,1.97316
2,1,96,2.49711
3,20,96,-0.0496954
3,16,96,-0.0101342
3,13,96,0.141426
3,11,96,0.463989
3,10,96,0.233991
3,9,96,0.228889
3,8,96,0.439147
3,5,96,1.1841
3,4,96,1.44288
3,2,96,1.85498
3,1,96,2.42665
4,17,96,-0.0255752
4,16,96,-0.0408951
4,15,96,-0.379696
4,13,96,-0.0293694
4,12,96,-0.223706
4,9,96,0.194112
4,8,96,0.374372
4,7,96,0.232357
4,5,96,0.848721
4,1,96,1.70203
1,19,95,-0.0443574
1,17,95,0.184807
1,15,95,0.0422669
1,13,95,0.432713
1,7,95,0.839645
1,4,95,1.95595
1,2,95,2.13273
1,1,95,2.60229
2,20,95,0.0356118
2,17,95,0.138272
2,16,95,-0.0791214
2,15,95,0.0284411
2,14,95,0.263891
2,13,95,0.454323
2,10,95,0.504113
2,9,95,0.602972
2,7,95,0.74873
2,4,95,1.88549
2,2,95,2.171
2,1,95,2.5811
3,20,95,-0.122947
3,18,95,-0.250687
3,16,95,-0.0509399
3,13,95,0.420305
3,11,95,0.327095
3,10,95,0.192766
3,9,95,0.345115
3,8,95,0.587262
3,6,95,0.617559
3,5,95,1.11821
3,4,95,1.56563
3,2,95,2.11374
3,7,99,0.443758
3,1,95,2.4963
4,16,95,-0.156021
4,13,95,0.361889
4,12,95,0.0956806
4,9,95,0.0739732
4,5,95,0.681798
4,3,95,0.90472
4,2,95,1.48423
4,1,95,1.75522
1,19,94,0.0910405
1,17,94,0.166102
1,15,94,0.159403
1,13,94,0.463226
1,7,94,0.927504
1,4,94,2.02516
1,2,94,2.21642
1,1,94,2.2784
2,20,94,0.0603457
2,17,94,0.123456
2,16,94,0.0328003
2,15,94,0.0603197
2,14,94,0.296444
2,13,94,0.465662
2,10,94,0.578164
2,9,94,0.637964
2,7,94,0.654432
2,4,94,1.96512
2,2,94,2.27525
2,1,94,2.54731
3,20,94,-0.0658524
3,18,94,-0.134936
3,16,94,0.0292032
3,13,94,0.367354
3,11,94,0.516899
3,10,94,0.414259
3,9,94,0.32691
3,8,94,0.556709
3,6,94,0.602288
3,5,94,1.13644
3,4,94,1.50549
3,2,94,1.98308
3,7,98,0.330293
3,1,94,2.36595
