Down,Distance,Yardline,EP
1,20,99,1.0341
1,19,99,1.12355
1,15,99,1.32524
1,13,99,1.40885
1,10,99,1.4625
1,7,99,1.64117
1,4,99,1.67296
1,3,99,1.56454
1,2,99,1.6853
1,1,99,1.66167
4,1,99,1.18132
1,20,98,1.33676
1,19,98,1.2138
1,15,98,1.04852
1,13,98,1.50875
1,10,98,1.57103
1,7,98,1.61719
1,4,98,1.83867
1,3,98,1.82521
1,2,98,1.67894
1,1,98,1.65187
2,2,99,1.61938
3,2,99,1.26306
4,3,99,0.806279
3,1,98,1.56286
4,1,98,1.30581
1,20,97,1.27097
1,19,97,1.25849
1,17,97,1.42592
1,15,97,1.41408
2,16,99,0.871884
1,13,97,1.52891
1,7,97,1.74333
1,4,97,1.9039
1,3,97,1.63134
1,2,97,1.81043
1,10,97,1.68891
1,1,97,1.88361
2,3,99,1.48598
2,2,98,1.61057
3,8,99,0.905047
3,4,99,1.49166
3,2,98,1.6201
4,7,99,0.584456
3,2,97,1.58453
4,3,98,1.08742
3,1,97,1.73191
1,20,96,1.20272
1,19,96,1.3041
1,17,96,1.57771
1,15,96,1.74965
1,13,96,1.67541
1,7,96,1.61562
2,8,99,1.47144
1,4,96,1.79976
1,3,96,1.84844
1,2,96,1.64268
1,10,96,1.70203
1,1,96,1.80226
2,2,97,1.63686
2,3,98,1.51249
2,4,99,1.87312
3,4,98,1.64223
4,13,98,0.556053
4,7,98,0.659223
3,1,96,1.69381
4,1,96,1.27922
1,19,95,1.41622
1,17,95,1.52727
1,15,95,1.66768
1,13,95,1.67012
2,13,99,1.3294
1,4,95,1.95938
2,4,96,1.98249
2,4,97,1.84199
1,1,95,2.0046
2,4,98,1.79602
2,2,96,1.77356
2,3,97,1.68361
3,9,98,1.08521
3,4,97,1.58209
3,5,98,1.43172
3,5,99,1.32465
3,2,96,1.63108
4,7,96,0.491095
4,7,97,0.606741
4,5,99,0.761768
4,1,95,1.54412
1,19,94,1.31502
1,17,94,1.51572
1,15,94,1.64208
1,13,94,1.67768
2,12,96,1.17007
1,4,94,1.81167
2,7,99,1.57672
1,1,94,1.70713
2,2,95,1.73382
2,3,96,1.62826
3,8,96,1.13616
3,1,95,1.71818
3,7,99,0.988986
3,4,96,1.59004
3,5,97,1.33643
3,2,95,1.62223
4,3,95,0.960741
4,5,98,0.671785
4,2,95,1.2767
4,1,94,1.56066
2,23,96,0
1,19,93,1.45718
1,17,93,1.43848
2,20,97,1.01538
1,15,93,1.61443
2,20,98,0.946236
2,15,97,1.3455
1,4,93,1.94737
2,7,97,1.4856
2,7,98,1.4559
1,14,99,1.51433
2,6,97,1.46478
1,1,93,1.86595
1,14,96,1.58219
2,8,98,1.4723
2,6,98,1.59205
2,2,94,1.82929
3,15,97,0.637224
3,13,99,1.06112
3,5,96,1.43197
3,1,94,1.76453
3,7,98,1.12704
2,1,93,1.89444
3,2,94,1.67291
4,13,99,0.27413
4,9,98,0.58582
4,3,94,0.985226
4,8,99,0.338506
4,5,96,0.908964
3,7,97,1.16418
3,1,93,1.82707
4,5,97,0.709913
4,1,93,1.41179
1,19,92,1.2486
1,17,92,1.78786
1,15,92,1.56805
2,22,99,0
2,12,97,1.29245
1,4,92,1.96281
2,10,99,1.29548
1,14,98,1.43251
2,8,96,1.59052
2,6,96,1.61798
2,4,94,1.9461
1,1,92,1.94626
2,4,95,1.94915
2,2,93,1.75698
3,16,96,0.53805
3,13,98,0.980797
3,5,95,1.47397
2,1,92,1.85125
3,2,93,1.67924
3,4,95,1.91604
4,16,99,0.225377
4,14,99,0.331062
4,12,99,0.473009
4,9,97,0.710146
4,5,94,0.864944
4,8,98,0.361826
3,7,96,1.17219
3,1,92,1.73739
4,1,92,1.53792
1,19,91,1.57863
2,23,95,0
1,17,91,1.61699
2,22,97,0
2,24,99,0
1,15,91,1.41413
2,17,93,1.12987
2,22,98,0
2,18,99,0.854039
2,17,99,1.18708
2,16,98,0.913245
2,15,99,1.02598
2,9,95,1.4742
1,4,91,1.90447
2,10,98,1.27452
2,7,95,1.48724
2,7,96,1.46285
2,4,93,1.97416
1,1,91,2.17095
2,2,92,1.90014
3,13,95,1.04991
3,13,97,1.08509
3,15,99,0.743157
3,6,94,1.34258
3,5,94,1.49618
3,4,93,1.64727
2,1,91,1.77696
3,9,99,1.11746
3,2,92,1.69944
3,4,94,1.55564
3,8,98,0.970298
4,21,96,0
4,23,99,0
4,17,98,0.318284
4,17,99,0.260389
4,13,97,0.643128
4,12,98,0.375125
4,3,92,0.993555
3,1,91,1.85553
4,3,93,1.15175
4,5,95,1.00087
4,9,99,0.648777
4,1,91,1.45539
1,19,90,1.49366
1,17,90,1.75262
2,24,98,0
1,15,90,1.74898
1,13,90,1.76668
2,18,98,0.874971
2,17,97,1.19758
2,15,98,1.14426
1,4,90,2.12648
1,1,90,1.99253
1,14,97,1.52676
2,6,99,1.45051
2,8,97,1.44943
2,2,91,1.86281
3,22,94,0
3,20,94,0.55938
3,13,96,1.29672
3,15,98,0.696043
3,16,99,0.519894
3,9,94,1.0528
3,10,95,0.912739
3,11,98,0.853924
3,5,93,1.59691
3,4,92,1.63543
2,25,98,0
2,1,90,2.00255
3,2,91,1.75676
3,8,97,1.11514
3,6,95,1.38011
4,17,97,0.286983
4,13,96,0.379584
4,12,97,0.574253
3,2,90,1.78274
4,3,91,1.08933
3,1,90,1.89816
4,8,97,0.810644
4,1,90,1.53171
1,19,89,1.32902
2,20,90,1.14202
1,17,89,1.61296
1,15,89,1.61094
1,13,89,1.56921
2,23,99,0
2,16,93,1.10894
2,18,97,0.945764
2,20,99,0.841155
2,13,92,1.50656
2,16,96,1.0226
2,16,97,0.888379
2,13,97,1.56027
1,4,89,2.20267
2,13,98,1.30812
2,4,91,1.94587
1,1,89,2.05455
2,4,92,2.03228
2,2,90,1.89471
3,22,99,0
3,16,98,0.631994
