Down,Distance,Yardline,EPA
1,20,99,0.947775
1,19,99,1.16789
1,18,99,1.2585
1,17,99,1.57749
1,15,99,1.23868
1,13,99,1.4193
1,12,99,1.16062
1,10,99,1.27402
1,9,99,1.37167
1,7,99,1.37213
1,4,99,1.58013
1,3,99,1.50028
1,2,99,1.53437
1,1,99,1.50239
2,20,99,0.690853
2,18,99,0.834585
2,17,99,1.17452
2,16,99,0.779815
2,15,99,0.640471
2,13,99,1.35232
2,10,99,1.22163
2,8,99,1.19142
2,7,99,1.27966
2,4,99,1.78802
2,3,99,1.26857
2,2,99,1.3759
2,1,99,1.52873
3,20,99,0.251988
3,16,99,0.542877
3,15,99,0.188805
3,13,99,1.09779
3,11,99,0.917445
3,10,99,0.704555
3,9,99,1.05915
3,8,99,0.95764
3,5,99,1.19841
3,4,99,1.43655
3,2,99,1.24943
3,1,99,1.4828
4,17,99,0.143301
4,16,99,0.0641887
4,15,99,-0.020169
4,14,99,0.609253
4,13,99,0.618666
4,12,99,0.519314
4,9,99,0.541959
4,8,99,0.635845
4,7,99,0.539349
4,5,99,0.926104
4,3,99,1.06514
4,1,99,1.23756
1,20,98,0.932176
1,19,98,1.39208
1,18,98,1.19046
1,17,98,1.47417
1,15,98,1.27981
1,13,98,1.28327
1,12,98,1.58126
1,10,98,1.41748
1,9,98,1.49515
1,7,98,1.59616
1,4,98,1.61183
1,3,98,1.57258
1,2,98,1.35591
1,1,98,1.49513
2,20,98,0.915389
2,18,98,1.02834
2,17,98,1.05939
2,16,98,0.835304
2,15,98,0.892139
2,13,98,1.29361
2,10,98,1.05619
2,7,98,1.38053
2,4,98,1.77826
2,3,98,1.51932
2,2,98,1.57478
2,1,98,1.57963
3,20,98,0.397941
3,16,98,0.576124
3,15,98,0.344138
3,13,98,0.816794
3,11,98,0.836538
3,10,98,0.780099
3,9,98,0.936011
3,8,98,0.914536
3,5,98,1.335
3,4,98,1.41813
3,2,98,1.36751
3,1,98,1.46062
4,17,98,0.209954
