Down,Distance,Yardline,EPA
1,20,99,0.105765
1,19,99,0.0968747
1,18,99,-0.00254144
1,17,99,0.152331
1,15,99,0.167247
1,13,99,0.192149
1,12,99,0.103902
1,10,99,0.498966
1,9,99,0.234886
1,7,99,0.773999
1,4,99,1.60951
1,3,99,1.50498
1,2,99,1.54293
1,1,99,2.2227
2,20,99,-0.00853289
2,18,99,-0.0619662
2,17,99,-0.0238459
2,16,99,-0.220734
2,15,99,0.0881188
2,13,99,0.146694
2,10,99,0.362228
2,8,99,0.214439
2,7,99,0.755817
2,4,99,1.5645
2,3,99,1.17955
2,2,99,1.65722
2,1,99,2.38579
3,20,99,-0.0371395
3,16,99,-0.116921
3,15,99,-0.0677968
3,13,99,0.127915
3,11,99,-0.0612511
3,10,99,0.172214
3,9,99,0.22918
3,8,99,0.25217
3,5,99,0.773173
3,4,99,1.6117
3,2,99,1.70749
3,1,99,2.3658
4,17,99,-0.226902
4,16,99,-0.184354
4,15,99,-0.26
4,14,99,-0.0833959
4,13,99,-0.0432377
4,12,99,-0.290827
4,9,99,0.0487217
4,8,99,-0.064784
4,7,99,0.164636
4,5,99,0.410675
4,3,99,1.02028
4,1,99,2.00943
1,20,98,4.59874e-05
1,19,98,0.106638
1,18,98,0.0802424
1,17,98,0.143078
1,15,98,0.317344
1,13,98,0.609135
1,12,98,0.020394
1,10,98,0.521639
1,9,98,0.662588
1,7,98,0.801209
1,4,98,1.79785
1,3,98,1.50849
1,2,98,2.12882
1,1,98,2.44802
2,20,98,0.0547995
2,18,98,0.0260938
2,17,98,0.0990097
2,16,98,0.0348297
2,15,98,0.209756
2,13,98,0.270538
2,10,98,0.431726
2,7,98,0.491051
2,4,98,1.89669
2,3,98,1.13922
2,2,98,1.92047
2,1,98,2.34142
3,20,98,-0.0368538
3,16,98,-0.000446366
3,15,98,0.163214
3,13,98,0.0950976
3,11,98,0.103223
3,10,98,0.203149
3,9,98,0.32791
3,8,98,0.370511
3,5,98,0.979192
3,4,98,1.6806
3,2,98,1.72927
3,1,98,2.2155
4,17,98,-0.0471502
4,16,98,-0.0573017
4,15,98,-0.05165
4,14,98,-0.0435451
4,13,98,-0.00375209
4,12,98,-0.0813425
4,9,98,0.0502956
4,8,98,0.118427
4,7,98,0.0998689
4,5,98,0.538176
4,3,98,0.810015
4,1,98,2.20284
1,20,97,0.150736
1,19,97,0.211729
1,18,97,0.108729
1,17,97,0.291769
1,15,97,0.522772
1,13,97,0.631004
1,12,97,0.378184
1,7,97,0.851488
1,4,97,1.80598
1,3,97,1.83145
1,2,97,2.11889
1,10,97,0.705401
1,1,97,2.02369
2,20,97,-0.00241971
2,18,97,0.0955843
2,17,97,0.128438
2,16,97,0.0546141
2,15,97,0.321437
2,13,97,0.430117
2,12,97,0.258216
2,10,97,0.500295
2,6,99,0.714337
1,14,97,0.49335
2,8,97,0.694395
2,7,97,0.811367
1,14,99,0.0771834
2,6,97,0.799803
2,4,97,1.77512
2,3,97,1.32298
2,2,97,1.74751
2,1,97,2.59976
3,20,97,-0.097324
3,16,97,0.0369762
3,15,97,0.246357
3,13,97,0.240526
3,11,97,0.265711
3,10,97,0.203887
3,9,97,0.357178
3,8,97,0.535348
3,5,97,0.831905
3,4,97,1.59418
3,2,97,1.76346
3,1,97,2.36661
4,17,97,-0.04
4,16,97,-0.0194207
4,15,97,0.14835
4,13,97,0.0559331
4,12,97,-0.00118552
4,9,97,0.141758
4,8,97,0.12
4,7,97,0.150512
4,5,97,0.429072
4,1,97,2.08122
1,20,96,0.139708
1,19,96,0.147508
1,18,96,0.181243
1,17,96,0.312928
1,15,96,0.466187
2,8,98,0.473954
2,6,98,0.580039
1,14,96,0.460718
1,13,96,0.565949
1,12,96,0.399927
1,9,96,0.780635
1,7,96,0.99835
1,4,96,1.77821
1,3,96,1.8547
1,2,96,2.22536
1,10,96,0.643978
1,1,96,2.58469
2,20,96,0.114149
2,18,96,0.107306
2,17,96,0.223152
2,16,96,0.117609
2,15,96,0.304362
2,13,96,0.474115
