Down,Distance,Yardline,play_type,Optimal Choice,EP
1,1,1,run,0,0.04464186830745085
1,1,33,pass,1,-0.6200079449918121
1,1,45,run,0,-0.7010111247655004
1,1,50,run,0,-0.7375291346106678
1,2,2,run,0,0.07925643582753372
1,2,14,pass,1,-0.4254428768181242
1,3,3,run,0,0.11486711049037962
1,3,35,run,0,-0.23439516173675656
1,4,4,run,0,0.14368601044822873
1,4,5,run,0,-0.5508441217825748
1,5,5,run,0,0.1113503547243465
1,5,6,run,0,-0.174179021618329
1,5,7,run,0,0.24086309345148038
1,5,8,pass,1,0.8422461717273109
1,5,9,pass,1,-0.06675538892741319
1,5,10,pass,1,1.3628442955669016
1,5,11,pass,1,0.1907397320610471
1,5,12,run,0,0.030583802921076614
1,5,13,run,0,0.28139497322263196
1,5,14,run,0,0.42010122555075213
1,5,15,pass,1,0.0506590511649847
1,5,16,run,0,-0.035195798613131046
1,5,17,pass,1,-0.4321444419911131
1,5,18,run,0,-0.012760546866856093
1,5,19,field_goal,2,0.32782793242330177
1,5,20,pass,1,0.3198314583278261
1,5,21,pass,1,0.3359725440386683
1,5,22,run,0,0.32770825346233323
1,5,23,pass,1,0.008521394716808572
1,5,24,run,0,0.818792441918049
1,5,25,pass,1,0.03650149234821476
1,5,26,pass,1,0.5737431608140469
1,5,27,pass,1,0.6165812195977196
1,5,28,pass,1,1.2018993265810423
1,5,29,run,0,0.3549860771454405
1,5,30,pass,1,1.2938659556093626
1,5,31,pass,1,0.6250042242075626
1,5,32,run,0,0.10142525908304378
1,5,33,run,0,0.14909763960167766
1,5,34,field_goal,2,1.1649477933731973
1,5,35,field_goal,2,1.346057672569044
1,5,36,pass,1,0.08702940934260066
1,5,37,run,0,-0.25264227206935175
1,5,38,run,0,0.2531725990702398
1,5,39,pass,1,0.34741345504880883
1,5,40,pass,1,-0.13028680636004236
1,5,41,field_goal,2,1.708322237412817
1,5,42,pass,1,0.8033722624725973
1,5,43,run,0,0.056568650412373245
1,5,44,run,0,0.0036128219411087166
1,5,45,pass,1,0.3381802295916714
1,5,46,pass,1,0.7482131912547629
1,5,47,pass,1,0.2345923286144777
1,5,48,run,0,1.3877262162422994
1,5,49,run,0,0.28000373573740944
1,5,50,pass,1,0.20431408111471683
1,5,51,run,0,0.17232595826499164
1,5,52,run,0,0.25476097979117185
1,5,53,run,0,0.22933693099184893
1,5,54,pass,1,0.2738502510862114
1,5,55,run,0,0.9344566410291009
1,5,56,run,0,0.8971113162115216
1,5,57,pass,1,1.1736774790333584
1,5,58,pass,1,0.2804233162508657
1,5,59,pass,1,0.031125693189096637
1,5,60,run,0,-0.43153771738676977
1,5,61,run,0,-0.34278256174487376
1,5,62,pass,1,-0.01477989461272955
1,5,63,pass,1,0.4294899327990909
1,5,64,run,0,-0.06098351618275046
1,5,65,run,0,0.35341265285387635
1,5,66,pass,1,0.17923271527979523
1,5,67,pass,1,0.11338419242141143
1,5,68,pass,1,0.11870701671189936
1,5,69,pass,1,0.10522710857912898
1,5,70,run,0,-0.03319855931761638
1,5,71,pass,1,0.6320045180618763
1,5,72,pass,1,0.964555126382038
1,5,73,pass,1,-0.05437052249908447
1,5,74,run,0,-0.06264686405969164
1,5,75,run,0,-0.44683183860033754
1,5,76,pass,1,0.11501011240761727
1,5,77,pass,1,0.3124456559307873
1,5,78,run,0,-0.5298791138920933
1,5,79,run,0,0.4606532088946551
1,5,80,run,0,0.003890343534294516
1,5,81,run,0,0.15942327305674553
1,5,82,pass,1,-0.057989571418147534
1,5,84,run,0,-1.23622502759099
1,5,86,run,0,0.08317896584048867
1,5,87,run,0,1.8703168469946831
1,5,88,run,0,0.30492952233180404
1,5,90,run,0,-0.31663857004605234
1,5,91,run,0,0.4285523798316717
1,5,93,run,0,-0.34231359767727554
1,5,94,pass,1,0.8088049644138664
1,6,6,run,0,0.024348627871236202
1,6,17,field_goal,2,0.25645934485135147
1,6,55,run,0,-0.09546333574689925
1,7,7,pass,1,0.1381805311120185
1,7,15,run,0,0.4465318263391964
1,7,72,pass,1,-5.961266833706759
1,8,8,run,0,0.01157645668648286
1,8,15,pass,1,0.061142741004005075
1,8,19,pass,1,0.23051982652395964
1,8,39,pass,1,-0.7515801505651325
1,8,51,run,0,-0.024567073909565806
1,8,56,run,0,0.2485894246492535
1,8,63,pass,1,-0.763762557413429
1,8,70,run,0,-0.6632269346155226
1,8,90,run,0,0.3374782514292747
1,9,9,pass,1,0.0026742149858070066
1,9,31,pass,1,0.12609693116974086
1,9,44,pass,1,0.9719851253321394
1,9,55,pass,1,1.8312621184741147
1,9,96,pass,1,0.5543579244986176
1,10,10,field_goal,2,0.11851579190939465
1,10,11,field_goal,2,0.12455839893584487
1,10,12,field_goal,2,0.13658287208813125
1,10,13,field_goal,2,0.15649650435571583
1,10,14,pass,1,0.08536386885099256
1,10,15,field_goal,2,0.2319302857650991
1,10,16,pass,1,0.27133360148473773
1,10,17,pass,1,0.11996743950178254
1,10,18,field_goal,2,0.28762559904713647
1,10,19,pass,1,0.21338651995565147
1,10,20,field_goal,2,0.3662677617636563
1,10,21,field_goal,2,0.41106554090925557
1,10,22,pass,1,-0.06403601588170352
1,10,23,pass,1,0.11062667478097532
1,10,24,field_goal,2,0.5335821948871065
1,10,25,pass,1,0.189073543620391
