Down,Distance,Yardline,EP
1,20,99,-1.6416
1,19,99,-0.399166
1,18,99,-0.257433
1,17,99,-0.15352
1,15,99,-0.148335
1,13,99,-0.100323
1,12,99,0.298518
1,10,99,0.114473
1,9,99,0.312761
1,7,99,0.629608
1,4,99,0.748721
1,3,99,-0.130357
1,2,99,0.320013
1,1,99,0.377053
2,20,99,-1.40022
2,18,99,-1.43367
2,17,99,-0.916048
2,16,99,-1.57919
2,15,99,-1.68683
2,13,99,-0.363377
2,10,99,-0.35146
2,8,99,0.116643
2,7,99,-0.309656
2,4,99,1.00542
2,3,99,-0.244905
2,2,99,0.339233
2,1,99,0.0952938
3,20,99,-2.46035
3,16,99,-2.08455
3,15,99,-1.83437
3,13,99,-1.46554
3,11,99,-1.65738
3,10,99,-1.5291
3,9,99,-1.56707
3,8,99,-1.13063
3,5,99,-0.844512
3,4,99,-0.0180806
3,2,99,-0.255758
3,1,99,0.198293
4,17,99,-4.13875
4,16,99,-4.47958
4,15,99,-4.15005
4,14,99,-3.56617
4,13,99,-3.09809
4,12,99,-3.60851
4,9,99,-3.12042
4,8,99,-3.06885
4,7,99,-4.25666
4,5,99,-2.00969
4,3,99,-2.45946
4,1,99,-1.10348
1,20,98,-0.420302
1,19,98,-1.01622
1,18,98,0.119594
1,17,98,-0.176413
1,15,98,-1.01764
1,13,98,0.30115
1,12,98,0.365955
1,10,98,0.517996
1,9,98,0.4267
1,7,98,0.34226
1,4,98,0.743887
1,3,98,0.22334
1,2,98,0.654036
1,1,98,0.626362
2,20,98,-0.682618
2,18,98,-1.37509
2,17,98,-0.883881
2,16,98,-1.55163
2,15,98,-1.56821
2,13,98,-0.243193
2,10,98,-0.482825
2,7,98,-0.0625262
2,4,98,0.929293
2,3,98,0.123821
2,2,98,0.434109
2,1,98,0.201251
3,20,98,-1.96364
3,16,98,-2.02764
3,15,98,-2.32433
3,13,98,-1.32158
3,11,98,-1.48394
3,10,98,-1.69705
3,9,98,-1.67513
3,8,98,-1.18347
3,5,98,-0.593273
3,4,98,-0.231759
3,2,98,-0.0955356
3,1,98,0.281588
4,17,98,-4.43035
4,16,98,-4.4073
4,15,98,-4.09019
4,14,98,-4.32097
4,13,98,-3.48816
4,12,98,-3.85809
4,9,98,-3.40232
4,8,98,-3.47742
4,7,98,-3.68405
4,5,98,-3.22003
4,3,98,-3.22377
4,1,98,-1.24796
1,20,97,-0.697552
1,19,97,-0.0197496
1,18,97,-0.379612
1,17,97,0.132458
1,15,97,0.363024
1,13,97,0.332242
1,12,97,0.368317
1,7,97,0.699866
1,4,97,0.563124
1,3,97,0.278127
1,2,97,0.834331
1,10,97,0.514783
1,1,97,0.695422
2,20,97,-0.608245
2,18,97,-1.29575
2,17,97,-0.225159
2,16,97,-1.30695
2,15,97,-1.14772
2,13,97,-0.379712
2,12,97,-1.13095
2,10,97,0.088226
2,6,99,-0.196769
1,14,97,0.114428
2,8,97,-0.180936
2,7,97,-0.0146157
1,14,99,-0.385115
2,6,97,0.282546
2,4,97,0.855879
2,3,97,0.15214
2,2,97,0.696098
2,1,97,0.526051
3,20,97,-1.67684
3,16,97,-2.04307
3,15,97,-2.69749
3,13,97,-1.10591
3,11,97,-1.81771
3,10,97,-1.76876
3,9,97,-1.42412
3,8,97,-1.38093
3,5,97,-0.885714
3,4,97,-0.55936
3,2,97,0.297612
3,1,97,0.120802
4,17,97,-4.39445
4,16,97,-4.48458
4,15,97,-4.505
4,13,97,-3.51763
4,12,97,-3.89807
4,9,97,-3.37002
4,8,97,-3.161
4,7,97,-3.2438
4,5,97,-2.71032
4,1,97,-1.56743
1,20,96,-0.955316
1,19,96,-0.0928564
1,18,96,0.0167911
1,17,96,-0.124642
1,15,96,0.0330667
2,8,98,-0.198555
2,6,98,-0.116295
1,14,96,-0.0124962
1,13,96,0.538984
1,12,96,-0.00246867
1,9,96,0.266346
1,7,96,0.308271
1,4,96,1.09236
1,3,96,0.61913
1,2,96,1.20024
1,10,96,0.128486
1,1,96,0.850281
2,20,96,-1.02687
2,18,96,-1.37567
2,17,96,-0.702283
2,16,96,-1.14081
2,15,96,-1.03459
2,13,96,-0.255844
2,12,96,-0.697546
2,10,96,0.0954106
2,7,96,0.217798
1,14,98,-0.106427
2,8,96,0.207152
2,6,96,0.144537
2,4,96,1.14249
2,3,96,0.0520446
2,2,96,0.737317
2,1,96,0.508922
3,20,96,-1.91416
3,16,96,-1.40709
3,13,96,-0.918439
3,11,96,-1.24332
3,10,96,-1.31247
3,9,96,-1.3757
3,8,96,-0.669986
3,5,96,-0.1975
3,4,96,-0.727987
3,2,96,0.0155168
3,1,96,0.131987
4,17,96,-4.15773
4,16,96,-4.08878
4,15,96,-4.32675
4,13,96,-3.64033
4,12,96,-3.64361
4,9,96,-3.1383
4,8,96,-2.63118
