Down,Distance,Yardline,EPA
1,20,99,-0.384871
1,19,99,-0.230734
1,15,99,0.0549374
1,13,99,0.479311
1,10,99,0.471463
1,7,99,0.555729
1,4,99,0.425553
1,3,99,0.489898
1,2,99,0.298901
1,1,99,0.608429
3,2,99,0.141125
4,1,99,-0.447506
1,20,98,-0.379094
1,19,98,-0.0610257
1,15,98,-0.0992413
1,13,98,0.369138
1,10,98,0.541722
1,7,98,0.461243
1,4,98,0.639688
1,3,98,0.192803
1,2,98,0.395625
1,1,98,0.639014
2,2,99,0.319855
3,1,98,0.323024
4,1,98,-0.129926
1,20,97,-0.193379
2,22,99,0
1,19,97,0.144312
1,17,97,0.31733
1,15,97,0.293163
1,13,97,0.3142
1,7,97,0.546633
1,4,97,0.598342
1,3,97,0.701217
1,2,97,0.609508
2,4,99,0.747365
1,10,97,0.45299
1,1,97,0.743331
2,2,98,0.529885
2,3,99,0.237658
3,20,99,-1.23117
3,4,99,0.0805086
3,2,98,0.235721
3,2,97,0.448862
4,3,98,-0.817508
3,1,97,0.51869
4,3,99,-0.967019
1,20,96,-0.0635413
1,19,96,0.0756247
1,17,96,0.403392
1,15,96,0.477758
1,13,96,0.348362
1,7,96,0.82919
1,4,96,0.736249
1,3,96,0.763625
1,2,96,0.71821
2,4,98,0.717855
1,10,96,0.561488
1,1,96,0.527091
2,2,97,0.702748
2,3,98,0.36979
3,22,99,0
3,11,99,-0.769085
4,7,98,-1.32459
3,2,96,0.42201
4,5,99,-1.24932
3,1,96,0.614769
1,19,95,0.212827
1,17,95,0.382926
1,15,95,0.447959
1,13,95,0.645034
2,17,99,-0.220068
1,4,95,0.887355
2,7,98,0.224937
2,7,99,0.0555308
1,1,95,0.85478
2,2,96,0.637101
2,3,97,0.499318
3,20,98,-1.08193
3,9,99,-0.709957
3,4,97,0.301884
3,4,98,0.154315
3,5,99,-0.230773
3,2,95,0.534333
4,5,98,-1.05861
3,7,99,-0.815188
3,1,95,0.458358
4,1,95,-0.102325
1,19,94,0.192943
1,17,94,0.562935
1,15,94,0.42872
1,13,94,0.546834
1,4,94,0.886258
2,8,99,0.129565
1,14,99,-0.102115
2,6,97,0.408345
1,1,94,0.758324
2,2,95,0.679977
2,4,97,0.740343
2,3,96,0.444042
3,13,97,-0.896111
3,13,99,-0.931015
3,4,96,0.411548
3,5,98,-0.0991152
4,13,99,-1.67068
4,7,96,-1.29443
4,9,99,-1.66568
3,2,94,0.594305
4,5,97,-0.899884
3,7,98,-0.513233
3,1,94,0.572513
4,2,95,-0.275221
4,1,94,-0.228549
1,19,93,0.23737
2,23,98,0
2,24,99,0
1,17,93,0.358675
1,15,93,0.501797
2,16,96,-0.419332
1,4,93,0.969738
2,7,96,0.379866
1,14,98,0.340373
2,8,96,0.334167
2,6,96,0.466824
2,7,97,0.218656
1,14,96,0.52984
2,6,98,0.158284
2,8,98,0.0319433
2,4,95,0.825907
1,1,93,0.919848
2,2,94,0.73733
2,4,96,0.855546
3,10,95,-0.560756
3,5,96,-0.0783697
3,4,95,0.266485
3,5,97,0.256479
4,16,99,-1.75076
4,12,99,-1.81994
4,5,95,-0.926401
3,2,93,0.689725
4,5,96,-1.3716
4,3,94,-0.942907
4,8,99,-1.50274
4,3,95,-0.682173
4,7,99,-1.64785
4,3,93,-0.859019
4,1,93,-0.0496582
1,19,92,0.450686
2,23,96,0
1,17,92,0.652271
1,15,92,0.545501
2,13,96,0.0181354
2,12,96,0.036332
2,9,95,0.204887
2,13,99,-0.109619
1,4,92,0.94537
2,7,95,0.498351
1,14,97,0.459345
2,6,99,0.248742
2,8,97,0.216711
2,4,94,0.917591
1,1,92,1.0285
2,2,93,0.903992
3,13,96,-0.762331
3,8,97,-0.619471
3,6,95,-0.0894258
3,1,93,0.684493
3,7,97,-0.366869
3,5,95,0.0642233
2,1,92,0.854527
3,8,99,-0.616728
4,13,98,-1.27402
4,14,99,-1.37155
4,12,98,-1.21823
4,9,97,-1.55905
4,5,94,-1.01588
4,1,92,0.158109
1,19,91,0.444516
1,17,91,0.55045
1,15,91,0.602879
2,16,92,-0.128362
1,13,91,0.588349
2,20,98,-0.51933
2,20,99,-0.627026
2,17,98,-0.260217
2,16,98,-0.485487
2,15,99,-0.455346
1,4,91,0.916932
2,4,93,0.945285
2,10,99,-0.143394
1,1,91,0.780017
2,2,92,0.796734
3,13,95,-0.484403
3,15,99,-1.23057
3,4,93,0.334175
3,8,98,-0.688735
3,4,94,0.202903
3,2,92,0.717436
4,23,99,0
4,21,99,0
4,17,99,-1.80768
4,13,97,-1.57085
4,12,96,-1.13391
3,2,91,0.684135
4,9,98,-1.47933
4,8,97,-1.49594
3,1,91,0.792554
4,7,97,-1.60738
4,8,98,-1.48357
4,1,91,0.162871
1,19,90,0.545016
1,17,90,0.539798
2,24,97,0
2,23,97,0
2,24,98,0
1,15,90,0.664348
1,13,90,0.625385
2,18,98,-0.72526
2,17,97,-0.0994504
2,15,98,-0.553311
2,16,99,-0.681233
2,12,97,-0.231352
1,4,90,1.00622
2,4,92,1.01207
1,1,90,1.09326
2,2,91,0.902106
3,15,98,-1.07031
3,16,99,-1.0296
3,11,98,-1.04056
3,6,94,0.0226297
2,1,90,0.871038
3,5,94,0.140454
3,9,98,-0.753892
4,23,98,0
4,21,98,0
4,13,96,-1.16034
4,12,97,-1.56576
4,5,93,-1.04518
3,24,96,0
3,1,90,0.801667
4,3,92,-0.741416
4,1,90,0.278322
1,19,89,0.322635
2,27,97,0
1,17,89,0.506265
2,24,96,0
