Down,Distance,Yardline,EP
1,20,99,-0.970413
1,19,99,-0.363424
1,15,99,-0.6587
1,13,99,-0.146443
1,10,99,0.254565
1,7,99,-0.66565
1,4,99,0.25909
1,3,99,0.477346
1,2,99,0.186292
1,1,99,0.423808
2,16,99,-1.58539
3,2,99,-0.519134
1,20,98,-1.02275
1,19,98,-0.93775
1,15,98,-0.430562
1,13,98,-0.140033
1,10,98,0.178222
1,7,98,0.348726
1,4,98,0.258159
1,3,98,0.300391
1,2,98,0.252689
2,3,99,-0.198287
1,1,98,0.557013
2,2,99,0.120625
4,7,99,-2.06816
3,2,98,-0.11826
3,1,98,0.140591
1,20,97,-0.807523
1,19,97,-0.33734
1,17,97,0.184624
1,15,97,-0.0396762
1,13,97,0.0711028
1,7,97,0.478592
1,4,97,0.584502
1,3,97,0.559107
1,2,97,0.41362
2,4,99,0.616386
1,10,97,0.301846
1,1,97,0.590649
2,2,98,0.217205
3,4,98,-0.415445
3,5,99,-1.03877
2,2,97,0.532707
3,4,99,-0.298562
4,3,98,-2.63174
3,1,97,0.230257
4,3,99,-2.38777
4,1,97,-0.629658
1,20,96,-0.556166
1,19,96,-0.375046
1,17,96,0.0703776
1,15,96,0.192988
1,13,96,-0.0939844
1,7,96,0.305403
1,4,96,0.407973
1,3,96,0.760334
1,2,96,0.725346
1,10,96,0.363588
1,1,96,0.628533
2,3,98,0.225431
3,2,97,0.244546
4,7,98,-2.79328
4,5,98,-3.01602
4,5,99,-2.92599
3,1,96,0.394029
4,1,96,-0.54149
1,19,95,-0.208762
1,17,95,0.0129793
1,15,95,0.156919
1,13,95,0.316062
2,16,98,-1.29199
1,7,95,0.837479
1,4,95,0.720459
2,8,99,-0.187304
2,7,98,0.166552
1,14,96,0.192353
2,8,98,-0.301379
2,6,98,-0.133169
2,4,97,0.76383
1,1,95,0.585349
2,4,98,0.644432
2,2,96,0.409344
2,3,97,0.296404
3,20,99,-2.32321
3,15,99,-2.66081
3,9,99,-1.4586
3,4,97,-0.144157
3,5,98,-1.10989
3,2,96,0.222795
4,7,97,-2.9249
4,1,95,-0.999977
1,19,94,-0.240759
2,23,98,0
1,17,94,-0.0121653
1,15,94,0.560707
2,16,96,-0.92424
1,13,94,0.34057
1,4,94,0.752695
2,4,96,0.890549
1,1,94,0.697746
2,2,95,0.738845
2,3,96,0.394409
3,20,98,-2.31107
3,13,99,-1.767
3,9,98,-1.55406
3,5,96,-0.527595
3,4,96,-0.147416
3,2,95,0.431748
4,13,97,-2.00344
4,7,96,-1.86118
4,9,99,-2.83572
3,2,94,0.39239
4,5,97,-2.74491
4,2,95,-0.919367
4,1,94,-0.550403
1,19,93,-0.000539923
2,24,99,0
1,17,93,0.143741
1,15,93,0.465548
1,13,93,0.417677
2,15,97,-0.953464
2,13,98,-0.712686
1,4,93,0.909858
2,4,95,0.711293
1,14,99,0.331016
2,6,97,-0.206164
1,1,93,0.921741
2,2,94,0.631242
2,7,99,-0.432268
3,16,97,-2.18199
3,15,98,-2.0095
3,6,94,-0.469333
3,8,99,-1.50737
3,1,94,0.393861
3,7,98,-1.42785
3,1,95,0.324146
3,7,99,-1.32563
3,5,97,-0.845289
4,13,98,-2.89261
4,13,99,-4.03898
3,2,93,0.551164
4,8,99,-2.57341
4,3,95,-2.13579
4,1,93,-0.901495
1,19,92,0.093297
2,24,98,0
1,17,92,0.154754
2,23,99,0
1,15,92,0.529619
2,20,98,-1.10139
2,17,96,-0.861443
2,15,94,-0.618622
2,14,94,-0.425327
1,4,92,0.934473
2,7,96,0.0752557
2,10,99,-0.33604
2,4,94,0.895152
2,7,97,-0.0378051
1,1,92,0.819222
2,2,93,0.732002
3,20,96,-1.98207
3,16,99,-2.41145
3,13,98,-1.86943
3,5,94,-0.560401
3,1,93,0.54725
3,7,97,-1.23335
3,4,94,-0.234094
2,1,92,0.709366
3,4,95,-0.0710731
4,14,99,-3.44494
4,12,99,-2.08921
3,2,92,0.544386
4,8,98,-2.89944
4,3,93,-1.94794
4,5,96,-2.20068
4,3,94,-2.00167
4,1,92,-0.54969
1,19,91,0.0410077
1,17,91,0.636561
2,22,96,0
1,15,91,0.804358
1,13,91,0.664554
2,18,99,-1.5541
2,15,99,-1.61807
2,13,99,-0.921349
1,4,91,1.23638
1,1,91,0.827656
2,2,92,0.927222
3,22,98,0
3,16,98,-2.10578
3,13,97,-1.65787
3,1,92,0.464534
3,7,96,-0.945581
3,4,93,-0.0477258
3,8,98,-1.30821
3,5,95,-0.496112
4,21,99,0
4,12,98,-3.09896
4,5,93,-2.08297
3,2,91,0.630242
4,5,94,-2.18718
3,1,91,0.676884
4,5,95,-1.75973
4,1,91,-0.117813
1,19,90,0.322354
1,17,90,0.362538
2,23,97,0
1,15,90,0.326027
2,20,99,-1.17954
2,18,98,-1.63206
2,14,95,-0.508026
2,17,99,-0.980397
2,9,94,-0.165893
1,4,90,1.02453
2,10,98,-0.23726
1,1,90,0.903183
2,4,93,0.936208
2,2,91,0.896502
1,14,97,-0.118983
2,6,99,-0.0684098
2,8,97,-0.113324
3,13,95,-1.5331
3,13,96,-1.35367
3,9,94,-1.38174
3,11,98,-1.85825
3,8,95,-0.928944
3,8,96,-0.7006
3,4,92,0.248474
3,11,99,-1.93895
3,9,97,-1.27783
3,5,93,-0.339569
3,8,97,-1.00823
3,6,95,-0.528418
4,16,97,-2.30662
4,17,99,-3.54116
4,13,96,-2.25439
4,12,97,-1.81181
3,2,90,0.564747
4,8,96,-1.13681
4,3,91,-2.08919
3,1,90,0.722924
4,3,92,-1.54481
4,8,97,-2.66226
4,9,98,-3.10897
4,1,90,-0.288439
1,19,89,-0.0263385
2,27,97,0
1,17,89,0.18692
2,1,91,0.975422
2,25,97,0
2,24,96,0
2,1,90,0.876498
2,25,98,0
1,15,89,0.779634
2,22,97,0
1,13,89,0.757194
2,22,99,0
2,15,93,-0.453986
2,18,97,-1.26437
2,17,97,-0.998542
2,17,98,-1.09871
2,16,97,-1.22852
1,4,89,1.17348
2,12,97,-0.669146
2,4,91,1.08477
1,1,89,0.936684
2,4,92,0.945945
1,14,98,-0.0731111
2,6,96,0.110602
2,8,96,0.174809
2,2,90,0.982811
3,22,99,0
3,15,97,-1.81845
3,10,93,-1.28232
3,8,94,-0.855264
3,4,91,0.286783
2,25,99,0
2,1,89,0.91012
4,16,96,-3.1788
4,17,98,-2.7353
4,12,96,-2.47863
4,2,92,-0.98625
4,11,97,-1.12479
3,2,89,0.769348
4,5,92,-1.89314
4,3,90,-1.98824
3,24,97,0
3,1,89,0.83358
4,9,97,-2.78732
4,1,89,-0.320151
1,19,88,0.263583
2,24,94,0
1,17,88,0.278063
1,15,88,0.933108
1,13,88,0.636778
2,16,91,-0.677271
2,16,93,-0.84943
2,15,92,-0.649697
2,18,96,-1.26893
2,15,96,-0.789273
2,10,92,-0.076118
2,13,96,-0.429452
2,10,93,-0.460168
2,15,98,-1.19805
1,4,88,0.989543
2,10,94,-0.0390905
2,13,97,-0.471532
1,1,88,1.08241
2,2,89,0.928575
3,13,94,-1.17871
3,9,91,-1.5967
3,9,92,-1.2366
3,8,93,-0.579027
3,11,96,-1.25204
3,9,95,-1.49302
3,5,91,-0.420386
3,6,92,-0.57695
3,4,90,0.521214
2,1,88,0.935817
3,5,92,-0.232351
3,9,96,-1.21666
3,6,93,-0.283673
4,21,96,0
4,17,97,-2.15618
4,16,99,-3.03669
4,12,95,-2.32556
4,2,93,-0.580817
4,11,96,-2.20615
3,2,88,0.729202
4,3,89,-1.63797
4,5,91,-1.71086
4,9,96,-2.07399
4,1,88,-0.0767679
2,23,90,0
1,19,87,0.109049
1,17,87,0.758266
2,23,94,0
2,24,95,0
1,15,87,0.623513
2,27,99,0
2,24,97,0
1,13,87,0.743746
2,20,97,-1.09698
2,17,94,-0.656932
2,16,95,-0.856791
2,13,92,-0.219891
2,15,95,-0.57292
1,4,87,1.10174
2,12,96,-0.425702
1,2,87,1.08953
2,10,95,-0.240866
1,1,87,1.13731
2,4,90,1.16694
2,2,88,1.09029
3,28,95,0
3,27,95,0
3,22,97,0
2,3,87,0.864548
3,5,89,-0.41758
3,6,91,-0.567511
3,10,95,-1.39156
3,4,89,0.275835
2,1,87,1.1505
3,11,97,-1.09527
4,16,98,-3.08
3,1,87,0.910324
4,1,87,0.0229582
2,29,95,0
1,19,86,0.388133
2,24,92,0
1,17,86,0.23243
2,27,96,0
1,15,86,0.862037
2,27,98,0
1,13,86,0.682632
2,10,89,0.358591
1,4,86,1.18894
1,2,86,1.20572
1,1,86,1.33294
2,2,87,1.07017
2,4,89,1.44401
3,27,94,0
3,9,93,-1.19745
3,6,90,-0.218717
3,10,94,-1.45853
3,8,92,-0.909375
2,1,86,1.09776
3,5,90,-0.171796
3,2,87,0.838591
4,5,89,-2.00855
3,1,86,0.778505
4,3,88,-1.63748
4,5,90,-2.4396
4,1,86,-0.296131
1,19,85,0.583716
1,17,85,0.490505
2,23,91,0
1,15,85,0.6076
2,23,93,0
1,13,85,0.700558
2,23,95,0
2,23,96,0
2,20,95,-0.894964
2,17,93,-0.551323
1,4,85,1.13889
2,13,94,-0.342867
2,10,91,0.0702324
2,13,95,-0.180074
1,2,85,1.09772
1,1,85,1.16707
2,2,86,1.10771
2,4,88,1.10933
3,24,93,0
3,25,95,0
3,16,93,-2.03967
3,16,95,-2.03574
3,16,96,-1.94698
3,8,90,-1.01629
3,10,92,-0.953602
3,6,89,-0.129373
3,5,88,-0.445807
2,1,85,1.14461
3,11,95,-1.4746
3,2,86,0.798101
3,4,88,0.451005
4,29,95,0
1,13,90,0.669086
4,31,98,0
4,23,96,0
4,23,97,0
4,21,97,0
4,23,99,0
4,21,98,0
1,3,85,1.18018
4,17,95,-2.72189
4,17,96,-2.15657
4,16,95,-2.41955
4,12,93,-2.52222
4,12,94,-2.61829
4,13,95,-2.07891
4,5,88,-2.25972
3,1,85,0.854841
4,14,98,-3.02651
4,3,87,-1.7619
2,11,96,-0.536558
4,2,86,-0.18666
4,11,95,-2.87564
4,1,85,-0.266581
2,30,94,0
2,29,93,0
1,19,84,0.364382
1,17,84,0.656665
1,15,84,0.721646
2,24,93,0
1,13,84,0.874437
2,16,88,-0.52631
2,20,94,-0.871612
2,16,92,-0.70797
2,15,91,-0.154376
2,16,94,-0.871935
2,17,95,-1.07334
1,4,84,1.16653
2,13,93,-0.160635
2,7,88,0.442934
1,1,84,1.13368
2,3,86,1.01071
2,4,87,0.841246
2,2,85,0.874519
3,24,88,0
3,28,93,0
3,26,93,0
3,25,94,0
3,20,92,-1.59581
3,18,92,-1.64927
3,22,96,0
3,18,95,-2.01205
3,8,86,-0.687124
3,16,94,-1.76636
3,13,92,-1.05688
3,13,93,-1.27726
3,10,91,-0.919738
3,9,90,-0.805069
3,8,89,-0.700784
3,6,88,-0.532876
2,25,96,0
2,1,84,1.14115
3,8,91,-0.872173
3,11,94,-1.2808
3,2,85,0.306792
3,4,87,-0.063679
4,23,98,0
4,13,94,-2.59326
4,5,87,-2.26533
3,1,84,0.731984
2,11,97,-0.439431
4,2,87,-0.176064
4,11,94,-2.37988
4,3,86,-1.36793
4,1,84,-0.444888
1,19,83,0.549851
2,29,94,0
2,27,92,0
1,17,83,0.629568
2,27,94,0
1,15,83,0.741537
2,27,95,0
2,8,95,0.0847749
1,14,83,1.02908
1,13,83,0.87466
2,15,88,-0.233513
2,17,92,-0.546239
2,20,96,-0.96018
2,8,86,0.771042
2,13,91,-0.128917
1,4,83,1.09448
2,7,86,0.66399
2,10,90,0.135862
1,2,83,1.23426
2,3,84,1.19646
1,1,83,1.18817
2,4,86,1.10251
2,3,85,0.949194
2,2,84,1.14063
3,34,97,0
3,24,90,0
3,28,94,0
3,24,91,0
3,25,93,0
3,16,91,-1.54
3,9,85,-0.616834
3,9,87,-1.01034
3,9,88,-0.420056
3,10,90,-0.825723
3,9,89,-0.409026
2,1,83,1.28757
3,11,93,-1.31488
3,5,87,-0.00548673
3,4,86,0.203762
3,2,84,0.576148
1,13,92,0.496088
4,31,96,0
4,24,95,0
4,18,94,-2.64112
4,13,91,-2.38511
4,16,94,-2.56669
4,12,92,-2.19751
4,5,85,-1.95528
3,1,83,0.961785
4,3,85,-1.39127
4,1,83,-0.361379
2,33,95,0
2,30,92,0
1,19,82,0.613476
2,27,90,0
1,17,82,0.702067
1,15,82,0.731876
2,20,87,-0.621556
1,13,82,0.693592
4,3,96,-2.16816
2,16,87,-0.480599
2,20,91,-0.607809
2,14,85,0.25234
1,9,82,1.17989
2,16,90,-0.601197
2,17,91,-0.35557
3,27,91,0
1,7,82,1.08487
2,8,84,0.597504
2,14,90,-0.216567
2,14,91,-0.168645
2,10,87,0.380311
1,4,82,1.44538
1,2,82,1.20132
2,4,84,0.845182
1,1,82,1.24762
2,2,83,1.12115
2,4,85,0.813423
3,34,96,0
3,28,91,0
1,7,83,1.25426
3,27,90,0
3,25,92,0
3,20,94,-1.92984
3,16,92,-1.70291
3,20,97,-2.02861
3,9,86,-0.787023
4,18,97,-1.96095
3,13,91,-1.14208
3,8,87,-0.5218
3,10,89,-0.232858
2,1,82,1.2212
3,4,85,0.20566
3,5,86,0.263703
3,11,92,-1.31515
3,2,83,0.765107
4,29,93,0
4,29,94,0
4,24,92,0
4,24,94,0
4,25,96,0
1,3,84,1.29268
4,17,92,-2.05621
4,16,93,-2.6897
4,13,90,-2.39872
4,12,91,-2.27104
4,13,93,-1.9339
3,1,82,0.8789
4,5,86,-1.23844
4,11,98,-2.97317
4,2,83,-1.25602
4,3,84,-1.44465
4,1,82,-0.0951795
2,33,94,0
1,19,81,0.646499
2,27,89,0
1,17,81,0.700036
1,15,81,0.956336
2,27,93,0
2,24,90,0
2,24,91,0
1,13,81,1.0216
2,20,89,-0.634828
2,23,92,0
2,15,85,-0.405005
2,20,90,-0.805404
2,15,86,-0.0199911
2,17,88,-0.387479
2,20,92,-0.938078
2,16,89,-0.656835
