Down,Distance,Yardline,EP
1,20,99,-0.970413
1,19,99,-0.909531
1,18,99,-1.36736
1,17,99,-0.692276
1,15,99,-0.921175
1,13,99,-0.778471
1,12,99,-0.631585
1,10,99,-0.333995
1,9,99,-0.294423
1,7,99,-0.724757
1,4,99,-0.398887
1,3,99,-0.58171
1,2,99,0.186292
1,1,99,-0.209843
2,20,99,-1.51831
2,18,99,-1.81592
2,17,99,-1.70512
2,16,99,-1.58539
2,15,99,-1.61807
2,13,99,-1.52226
2,10,99,-0.918322
2,8,99,-1.06329
2,7,99,-0.490813
2,4,99,0.176547
2,3,99,-0.927759
2,2,99,0.120625
2,1,99,-0.0351519
3,20,99,-2.32321
3,16,99,-2.57837
3,15,99,-2.66081
3,13,99,-2.35233
3,11,99,-2.53732
3,10,99,-2.46375
3,9,99,-2.3275
3,8,99,-1.78641
3,5,99,-1.03877
3,4,99,-0.298562
3,2,99,-0.519134
3,1,99,-0.223012
4,17,99,-5.452
4,16,99,-4.80624
4,15,99,-5.29298
4,14,99,-4.97995
4,13,99,-4.7558
4,12,99,-4.69395
4,9,99,-5.12972
4,8,99,-4.19959
4,7,99,-4.06687
4,5,99,-3.76649
4,3,99,-2.68872
4,1,99,-0.518693
1,20,98,-1.02275
1,19,98,-1.02949
1,18,98,-0.438461
1,17,98,-0.348337
1,15,98,-0.661557
1,13,98,-0.561414
1,12,98,-0.230424
1,10,98,0.178222
1,9,98,-0.0312063
1,7,98,0.348726
1,4,98,-0.0243475
1,3,98,0.117521
1,2,98,0.252689
1,1,98,0.512927
2,20,98,-1.52849
2,18,98,-1.64498
2,17,98,-1.49871
2,16,98,-1.29199
2,15,98,-1.20979
2,13,98,-1.02073
2,10,98,-0.493964
2,7,98,-0.0849722
2,4,98,0.555163
2,3,98,-0.238743
2,2,98,0.217205
2,1,98,-0.0283098
3,20,98,-2.31107
3,16,98,-2.10578
3,15,98,-2.0095
3,13,98,-2.34214
3,11,98,-1.91921
3,10,98,-1.58028
3,9,98,-1.55406
3,8,98,-1.54304
3,5,98,-1.10989
3,4,98,-0.415445
3,2,98,-0.144973
3,1,98,0.140591
4,17,98,-5.143
4,16,98,-4.79895
4,15,98,-4.90982
4,14,98,-4.85541
4,13,98,-4.99994
4,12,98,-4.75598
4,9,98,-4.76666
4,8,98,-4.4363
4,7,98,-3.85542
4,5,98,-3.91954
4,3,98,-2.87137
4,1,98,-0.557777
1,20,97,-0.807523
1,19,97,-0.696877
1,18,97,-0.416636
1,17,97,-0.290915
1,15,97,-0.211933
1,13,97,-0.03599
1,12,97,0.180495
1,7,97,0.478592
1,4,97,0.584502
1,3,97,0.422426
1,2,97,0.20241
1,10,97,0.301846
1,1,97,0.590649
2,20,97,-1.55256
2,18,97,-1.26437
2,17,97,-1.24623
2,16,97,-1.22852
2,15,97,-0.953464
2,13,97,-0.939678
2,12,97,-0.669146
2,10,97,-0.423325
2,6,99,-0.0684098
1,14,97,-0.118983
2,8,97,-0.361784
2,7,97,-0.114885
1,14,99,-0.975809
2,6,97,-0.206164
2,4,97,0.436264
2,3,97,0.272929
2,2,97,0.532707
2,1,97,0.456196
3,20,97,-2.45638
3,16,97,-2.29459
3,15,97,-1.81845
3,13,97,-2.14554
3,11,97,-1.54608
3,10,97,-1.39225
3,9,97,-1.37346
3,8,97,-1.00823
3,5,97,-0.845289
3,4,97,-0.144157
3,2,97,0.244546
3,1,97,-0.176765
4,17,97,-4.86285
4,16,97,-5.16679
4,15,97,-4.9549
4,13,97,-4.89968
4,12,97,-4.78104
4,9,97,-4.41027
4,8,97,-4.41553
4,7,97,-4.06443
4,5,97,-3.16869
4,1,97,-0.629658
1,20,96,-0.556166
1,19,96,-0.694886
1,18,96,-0.171024
1,17,96,-0.0906379
1,15,96,0.192988
2,8,98,-0.586178
2,6,98,-0.23893
1,14,96,0.0943789
1,13,96,-0.180819
1,12,96,0.21327
1,9,96,0.378027
1,7,96,0.305403
1,4,96,0.407973
1,3,96,0.461523
1,2,96,0.725346
1,10,96,0.363588
1,1,96,0.603129
2,20,96,-1.09028
2,18,96,-1.26893
2,17,96,-1.19126
2,16,96,-0.92424
2,15,96,-0.789273
2,13,96,-0.883788
2,12,96,-0.425702
2,10,96,-0.358262
2,7,96,0.0752557
1,14,98,-0.292693
2,8,96,-0.133757
2,6,96,0.110602
2,4,96,0.49901
2,3,96,0.208078
2,2,96,0.393211
2,1,96,0.480809
3,20,96,-2.06741
3,16,96,-1.94698
3,13,96,-1.82257
3,11,96,-1.47679
3,10,96,-1.47153
3,9,96,-1.36815
3,8,96,-1.04059
3,5,96,-0.527595
3,4,96,-0.147416
3,2,96,0.222795
3,1,96,0.394029
4,17,96,-5.0256
4,16,96,-4.84272
4,15,96,-4.39041
4,13,96,-4.5414
4,12,96,-4.68444
4,9,96,-4.3887
4,8,96,-4.12349
4,7,96,-4.43397
4,5,96,-3.04472
4,1,96,-0.54149
1,19,95,-0.429299
1,17,95,-0.336366
1,15,95,0.156919
1,13,95,0.254701
1,7,95,0.618785
1,4,95,0.720459
1,2,95,0.717981
1,1,95,0.585349
2,20,95,-1.09894
2,17,95,-1.27103
2,16,95,-0.856791
2,15,95,-0.57292
2,14,95,-0.667706
2,13,95,-0.773084
2,10,95,-0.240866
2,9,95,-0.204728
2,7,95,0.150268
2,4,95,0.708374
2,2,95,0.597431
2,1,95,0.526263
3,20,95,-1.85851
3,18,95,-2.01205
3,16,95,-2.08454
3,13,95,-1.92141
3,11,95,-1.99602
3,10,95,-1.50097
3,9,95,-1.49659
3,8,95,-0.928944
3,6,95,-0.71412
3,5,95,-0.496112
3,4,95,-0.0710731
3,2,95,0.431748
3,7,99,-1.75337
3,1,95,0.324146
4,16,95,-4.84737
4,13,95,-4.43913
4,12,95,-4.39883
4,9,95,-4.5539
4,5,95,-2.55235
4,3,95,-2.28473
4,2,95,-0.919367
4,1,95,-1.24403
1,19,94,-0.415209
1,17,94,-0.0121653
1,15,94,0.560707
1,13,94,0.34057
1,7,94,0.739651
1,4,94,0.752695
1,2,94,0.623707
1,1,94,0.557731
2,20,94,-0.880043
2,17,94,-1.01342
2,16,94,-0.871935
2,15,94,-0.618622
2,14,94,-0.718434
2,13,94,-0.791668
2,10,94,-0.299728
2,9,94,-0.22563
2,7,94,0.40566
2,4,94,0.772148
2,2,94,0.631242
2,1,94,0.616559
3,20,94,-1.96163
3,18,94,-1.81082
3,16,94,-1.93317
3,13,94,-1.70221
3,11,94,-1.76347
3,10,94,-1.45853
3,9,94,-1.38174
3,8,94,-0.909742
3,6,94,-0.469333
3,5,94,-0.638939
3,4,94,-0.234094
3,2,94,0.39239
3,7,98,-1.42785
3,1,94,0.393861
4,18,94,-4.45622
4,16,94,-4.70659
4,13,94,-4.66933
