Down,Distance,Yardline,EPA
1,20,99,0.551137
1,19,99,0.354566
1,18,99,0.346535
1,17,99,0.312044
1,15,99,0.2763
1,13,99,0.969318
1,12,99,0.611507
1,10,99,0.680546
1,7,99,0.847022
1,4,99,1.54106
1,3,99,1.63772
1,2,99,2.30606
1,1,99,2.42789
2,13,99,0.691583
1,20,98,0.477682
1,19,98,0.304728
1,18,98,0.49559
1,17,98,0.366622
2,16,99,0.212696
1,15,98,0.74759
1,13,98,1.01002
1,12,98,0.6708
1,10,98,0.738394
1,7,98,0.94663
1,4,98,1.80286
1,3,98,1.91708
1,2,98,2.49256
1,1,98,2.91102
2,13,98,0.668363
3,4,99,1.35928
1,20,97,0.618391
1,19,97,0.364994
1,18,97,0.324746
2,18,98,0.324705
1,17,97,0.389552
2,16,98,0.28284
1,15,97,0.628672
1,13,97,1.00681
1,12,97,0.657172
1,7,97,0.862375
1,4,97,1.79143
1,3,97,1.83081
1,2,97,2.27262
1,10,97,0.787371
1,1,97,2.76827
2,13,97,0.770012
3,13,99,0.315673
3,4,98,1.42248
3,2,99,2.21141
3,1,99,2.43841
4,17,98,0.0230586
1,20,96,0.599011
1,19,96,0.394734
1,18,96,0.407433
1,17,96,0.404804
2,17,99,0.146285
2,16,97,0.297323
1,15,96,0.670976
1,13,96,1.02659
1,12,96,0.746373
1,7,96,0.949012
1,4,96,1.81983
1,3,96,2.02483
2,3,97,1.54861
2,3,98,1.58155
1,2,96,2.28673
1,10,96,0.807001
1,1,96,2.69816
2,13,96,0.818861
3,13,98,0.682187
3,4,97,1.25174
3,2,98,2.19342
3,1,98,2.58098
1,19,95,0.375027
1,17,95,0.437229
2,17,98,0.174386
2,16,96,0.355793
1,15,95,0.559159
1,13,95,1.11371
2,12,97,0.431419
1,7,95,0.951888
1,4,95,1.90525
2,4,97,1.63906
1,2,95,2.42619
1,1,95,2.7525
3,20,98,0.710191
2,13,95,0.832789
3,13,97,0.691909
3,4,96,1.32627
3,2,97,2.15282
1,19,94,0.387148
1,17,94,0.48651
2,17,97,0.191345
2,16,95,0.355821
1,15,94,0.524131
1,13,94,1.08481
2,12,96,0.482407
1,7,94,0.982005
1,4,94,1.98626
2,3,99,1.69004
1,2,94,2.4363
1,1,94,2.86942
2,13,94,0.87113
3,13,96,0.41002
3,10,97,0.629118
3,4,95,1.48945
3,2,96,2.27219
3,1,96,2.64617
1,19,93,0.397877
2,18,99,0.204591
1,17,93,0.455592
2,17,96,0.227163
2,16,94,0.352398
1,15,93,0.666596
1,13,93,1.11823
1,7,93,0.909881
2,7,97,0.735149
1,4,93,1.87468
1,2,93,2.42213
1,1,93,2.82715
3,18,94,0.324507
2,13,93,0.939606
3,13,95,0.559651
3,4,94,1.43723
3,2,95,2.29714
4,17,99,0
1,19,92,0.454748
1,17,92,0.527205
2,17,95,0.259959
2,16,93,0.402619
1,15,92,0.501494
2,14,95,0.399754
1,13,92,1.17337
1,7,92,0.956621
2,7,99,0.584571
2,7,96,0.782859
1,14,97,0.554071
2,8,97,0.981453
2,6,99,1.21666
1,14,96,0.490296
2,8,98,0.981996
2,6,98,1.31342
1,4,92,1.75288
2,4,96,1.91869
2,4,98,1.78306
1,2,92,2.38111
2,2,96,2.50288
1,1,92,2.92943
2,1,99,2.73276
3,16,99,0.0480998
3,15,99,-0.124463
2,13,92,0.836244
3,10,99,0.252742
3,5,99,1.33
4,1,95,2.85082
1,19,91,0.421198
2,18,97,0.365631
1,17,91,0.578738
2,17,94,0.2327
2,16,92,0.413635
1,15,91,0.701765
2,15,98,0.120132
2,14,94,0.471263
1,13,91,1.22816
2,8,99,0.880242
1,7,91,0.97111
2,7,98,0.545983
1,4,91,1.96156
1,2,91,2.63082
1,1,91,2.95446
3,20,99,0.78069
3,16,98,0.10247
2,13,91,0.934459
3,11,95,0.801911
3,11,99,0.408875
3,1,95,2.68645
3,7,99,0.303538
3,6,94,1.19519
4,17,97,0.0174121
4,16,99,0
4,15,99,0
4,9,99,1.17707
4,8,96,0.577987
4,7,99,0
4,7,98,0.0615615
4,3,99,1.00759
2,20,99,0.552452
1,19,90,0.43636
2,18,96,0.413481
1,17,90,0.596436
2,17,93,0.25399
2,16,91,0.464766
1,15,90,0.723532
2,15,97,0.238906
1,13,90,1.07214
1,7,90,1.00899
2,7,94,0.783264
2,7,92,0.796797
1,4,90,1.87002
1,2,90,2.42835
2,2,98,2.43656
2,2,97,2.39897
1,1,90,2.96953
2,1,98,2.90861
3,16,97,0.103172
2,13,90,0.93598
3,11,98,0.505763
3,9,99,1.10409
3,8,99,0.736782
3,5,92,1.52002
3,5,97,1.32689
3,4,91,1.59435
3,2,92,2.26646
4,16,98,0
4,15,98,0
4,5,97,1.19541
4,3,98,1.0597
1,19,89,0.497144
1,17,89,0.692268
2,17,92,0.260167
2,16,90,0.458114
1,15,89,0.825605
2,15,96,0.313335
1,13,89,1.06977
2,10,99,0.497798
1,7,89,1.21133
2,7,93,0.82788
1,14,99,0.225667
2,6,97,1.42472
1,4,89,1.97402
2,4,99,1.72507
1,2,89,2.44989
2,2,95,2.4644
2,2,92,2.55627
1,1,89,2.98897
2,1,97,2.87994
3,16,96,0.081027
2,13,89,0.97204
3,11,97,0.540762
3,10,98,0.415925
3,9,98,1.0501
3,8,98,0.767057
3,5,96,1.35543
4,15,97,0
4,13,98,0.219525
4,12,98,0
4,8,99,0.537969
4,8,98,0.266172
4,5,96,1.22469
2,20,93,0.641159
2,20,92,0.586404
1,19,88,0.460452
1,17,88,0.696891
2,17,91,0.298303
2,16,89,0.43459
1,15,88,0.843749
2,15,94,0.353378
1,13,88,1.03432
2,10,97,0.736245
2,10,95,0.754974
2,10,98,0.691215
1,7,88,1.21718
1,4,88,2.00371
2,3,96,1.8085
1,2,88,2.59767
2,2,99,2.4301
1,1,88,3.01433
2,1,93,2.9603
2,1,96,2.84485
3,20,96,0.724765
3,16,95,0.189474
2,13,88,0.93289
3,10,95,0.63957
3,9,97,1.081
3,4,89,1.50466
4,16,96,0
4,15,96,0
4,13,97,0.511684
4,9,98,1.1911
