Down,Distance,Yardline,EP
1,20,99,-1.59142
1,19,99,-1.47716
1,18,99,-1.12135
1,17,99,-1.46143
1,15,99,-1.15994
1,13,99,-1.05581
1,12,99,-0.869198
1,10,99,-0.768104
1,9,99,-0.42474
1,7,99,-0.510524
1,4,99,-0.757738
1,3,99,-0.31596
1,2,99,-0.348218
1,1,99,-0.702276
2,20,99,-1.93382
2,18,99,-2.21595
2,17,99,-2.24129
2,16,99,-2.13141
2,15,99,-2.01912
2,13,99,-1.82937
2,10,99,-1.79836
2,8,99,-1.03369
2,7,99,-0.798904
2,4,99,-0.397251
2,3,99,-0.998957
2,2,99,-0.486057
2,1,99,-0.498739
3,20,99,-2.85498
3,16,99,-2.9885
3,15,99,-2.91722
3,13,99,-2.84421
3,11,99,-2.7212
3,10,99,-2.55581
3,9,99,-2.27159
3,8,99,-2.14332
3,5,99,-1.17401
3,4,99,-0.851141
3,2,99,-0.745645
3,1,99,-0.81946
4,17,99,-5.33436
4,16,99,-5.20597
4,15,99,-5.27146
4,14,99,-5.25911
4,13,99,-4.75499
4,12,99,-4.69498
4,9,99,-4.8079
4,8,99,-4.11561
4,7,99,-4.37913
4,5,99,-4.26101
4,3,99,-2.50066
4,1,99,-1.39785
1,20,98,-1.57183
1,19,98,-1.27321
1,18,98,-1.08561
1,17,98,-1.1265
1,15,98,-0.975069
1,13,98,-0.757892
1,12,98,-0.494978
1,10,98,-0.604919
1,9,98,-0.433168
1,7,98,-0.392287
1,4,98,-0.00522544
1,3,98,-0.224455
1,2,98,-0.537223
1,1,98,-0.136358
2,20,98,-1.9452
2,18,98,-1.85615
2,17,98,-1.82115
2,16,98,-1.82745
2,15,98,-1.47506
2,13,98,-1.58689
2,10,98,-1.37363
2,7,98,-0.638683
2,4,98,0.0592406
2,3,98,-0.724498
2,2,98,-0.294257
2,1,98,-0.441913
3,20,98,-2.835
3,16,98,-2.88008
3,15,98,-2.79401
3,13,98,-2.59438
3,11,98,-2.32612
3,10,98,-2.25314
3,9,98,-2.17725
3,8,98,-1.84065
3,5,98,-1.35778
3,4,98,-0.745046
3,2,98,-0.491704
3,1,98,-0.479507
4,17,98,-5.35716
4,16,98,-5.05778
4,15,98,-4.91132
4,14,98,-5.2271
4,13,98,-5.17758
4,12,98,-4.86913
4,9,98,-4.83493
4,8,98,-4.21897
4,7,98,-4.07199
4,5,98,-3.93672
4,3,98,-3.13654
4,1,98,-0.931774
1,20,97,-1.24646
1,19,97,-1.11127
1,18,97,-1.03497
1,17,97,-0.99975
1,15,97,-0.46159
1,13,97,-0.446943
1,12,97,-0.573284
1,7,97,-0.0253305
1,4,97,-0.0721957
1,3,97,-0.0730821
1,2,97,-0.054449
1,10,97,-0.482542
1,1,97,-0.225571
2,20,97,-1.97445
2,18,97,-1.776
2,17,97,-1.66088
2,16,97,-1.54845
2,15,97,-1.22712
2,13,97,-1.36598
2,12,97,-1.16027
2,10,97,-1.02484
2,6,99,-0.765458
1,14,97,-0.642321
2,8,97,-0.718384
2,7,97,-0.568601
1,14,99,-0.893153
2,6,97,-0.646818
2,4,97,-0.0142262
2,3,97,-0.326762
2,2,97,-0.19584
2,1,97,-0.121343
3,20,97,-2.51481
3,16,97,-2.60992
3,15,97,-2.48576
3,13,97,-2.33508
3,11,97,-2.28651
3,10,97,-2.05267
3,9,97,-1.91547
3,8,97,-2.12058
3,5,97,-1.34166
3,4,97,-0.537652
3,2,97,-0.324087
3,1,97,-0.260978
4,17,97,-5.26706
4,16,97,-5.07128
4,15,97,-4.76275
4,13,97,-5.03139
4,12,97,-4.86623
4,9,97,-4.82878
4,8,97,-4.47865
4,7,97,-4.05802
4,5,97,-4.1001
4,1,97,-1.14145
1,20,96,-1.28601
1,19,96,-1.04503
1,18,96,-0.91309
1,17,96,-0.756247
1,15,96,-0.706375
2,8,98,-0.685778
2,6,98,-0.696552
1,14,96,-0.537435
1,13,96,-0.401214
1,12,96,-0.314334
1,9,96,-0.13341
1,7,96,-0.0507067
1,4,96,-0.0380194
1,3,96,0.0525644
1,2,96,0.0314326
1,10,96,-0.161938
1,1,96,-0.105902
2,20,96,-1.68471
2,18,96,-1.81822
2,17,96,-1.75788
2,16,96,-1.51471
2,15,96,-1.43951
2,13,96,-1.16929
2,12,96,-0.963402
2,10,96,-1.0121
2,7,96,-0.508526
1,14,98,-0.802775
2,8,96,-0.726695
2,6,96,-0.315711
2,4,96,-0.101564
2,3,96,-0.0832224
2,2,96,-0.0472448
2,1,96,-0.0181102
3,20,96,-2.75156
3,16,96,-2.42413
3,13,96,-2.32423
3,11,96,-1.97294
3,10,96,-1.85691
3,9,96,-2.1712
3,8,96,-1.61776
3,5,96,-0.893328
3,4,96,-0.737187
3,2,96,-0.179153
