Down,Distance,Yardline,EP
1,20,99,1.03667
1,19,99,1.41089
1,18,99,1.02955
1,17,99,1.38795
1,15,99,1.34913
1,13,99,1.70579
1,12,99,1.47128
1,10,99,1.51705
1,9,99,1.56527
1,7,99,1.76832
1,4,99,1.69331
1,3,99,1.6336
1,2,99,1.3655
1,1,99,1.69638
2,20,99,0.87197
2,18,99,0.855808
2,17,99,1.2077
2,16,99,0.582687
2,15,99,0.873164
2,13,99,1.34017
2,10,99,1.25627
2,8,99,1.4571
2,7,99,1.47725
2,4,99,1.79997
2,3,99,1.45638
2,2,99,1.44721
2,1,99,1.38096
3,20,99,0.546067
3,16,99,0.490386
3,15,99,0.148199
3,13,99,0.996658
3,11,99,0.891664
3,10,99,0.765872
3,9,99,0.96657
3,8,99,0.826591
3,5,99,1.32296
3,4,99,1.41903
3,2,99,1.29407
3,1,99,1.53129
4,17,99,0.269218
4,16,99,0.194475
4,15,99,0.0233309
4,14,99,0.562399
4,13,99,0.381091
4,12,99,0.307132
4,9,99,0.380221
4,8,99,0.5331
4,7,99,0.618794
4,5,99,0.717438
4,3,99,0.873253
4,1,99,1.29312
1,20,98,0.988035
1,19,98,1.09717
1,18,98,1.2774
1,17,98,1.28664
1,15,98,0.933689
1,13,98,1.41943
1,12,98,1.56286
1,10,98,1.61301
1,9,98,1.61712
1,7,98,1.68044
1,4,98,1.5624
1,3,98,1.70416
1,2,98,1.73322
1,1,98,1.79062
2,20,98,0.9636
2,18,98,0.904256
2,17,98,1.26791
2,16,98,0.630816
2,15,98,0.927041
2,13,98,1.31562
2,10,98,1.46072
2,7,98,1.35746
2,4,98,1.97684
2,3,98,1.43954
2,2,98,1.64794
2,1,98,1.57593
3,20,98,0.528623
3,16,98,0.583702
3,15,98,0.271686
3,13,98,0.81585
3,11,98,0.895684
3,10,98,0.828232
3,9,98,0.76289
3,8,98,0.940434
3,5,98,1.23065
3,4,98,1.50372
3,2,98,1.28358
3,1,98,1.34046
4,17,98,0.322968
4,16,98,0.169804
4,15,98,-0.0771107
4,14,98,0.591373
4,13,98,0.331494
4,12,98,0.582944
4,9,98,0.435534
4,8,98,0.552745
4,7,98,0.705374
4,5,98,0.79559
4,3,98,0.845939
4,1,98,1.12189
1,20,97,1.27688
1,19,97,1.21808
1,18,97,1.2735
1,17,97,1.55144
1,15,97,1.22566
1,13,97,1.52945
1,12,97,1.51073
1,7,97,1.66574
1,4,97,1.79842
1,3,97,1.7299
1,2,97,1.61143
1,10,97,1.59596
1,1,97,1.77437
2,20,97,0.968575
2,18,97,0.878101
2,17,97,1.22005
2,16,97,0.780736
2,15,97,0.985999
2,13,97,1.31968
2,12,97,1.2063
2,10,97,1.37049
2,6,99,1.32281
