Down,Distance,Yardline,EP
1,20,99,0.990166
1,19,99,0.895406
1,18,99,0.911501
1,17,99,1.34706
1,15,99,1.27588
1,13,99,1.54948
1,12,99,1.45052
1,10,99,1.36763
1,9,99,1.46081
1,7,99,1.47012
1,4,99,1.47642
1,3,99,1.51754
1,2,99,1.4781
1,1,99,1.36683
2,20,99,0.792395
2,18,99,0.721992
2,17,99,0.839308
2,16,99,0.734681
2,15,99,0.870133
2,13,99,0.78225
2,10,99,0.99761
2,8,99,0.872244
2,7,99,1.39847
2,4,99,1.51752
2,3,99,1.13313
2,2,99,1.30838
2,1,99,1.35022
3,20,99,0.243536
3,16,99,0.322821
3,15,99,0.523732
3,13,99,0.566182
3,11,99,0.542232
3,10,99,0.658989
3,9,99,0.777175
3,8,99,0.738815
3,5,99,1.46203
3,4,99,1.33481
3,2,99,1.13746
3,1,99,1.43968
4,17,99,-0.115212
4,16,99,-0.0596187
4,15,99,-0.159757
4,14,99,-0.236031
4,13,99,-0.0518721
4,12,99,-0.301456
4,9,99,0.128633
4,8,99,0.130998
4,7,99,0.142362
4,5,99,0.464945
4,3,99,0.645866
4,1,99,1.14535
1,20,98,0.964319
1,19,98,1.10646
1,18,98,1.20386
1,17,98,1.17387
1,15,98,1.85561
1,13,98,1.37787
1,12,98,1.33207
1,10,98,1.70088
1,9,98,1.41503
1,7,98,1.59054
1,4,98,1.59109
1,3,98,1.50288
1,2,98,1.48474
1,1,98,1.66796
2,20,98,0.65505
2,18,98,0.885932
2,17,98,0.838225
2,16,98,0.984357
2,15,98,0.801384
2,13,98,1.13899
2,10,98,1.20489
2,7,98,1.45572
2,4,98,1.98988
2,3,98,1.27613
2,2,98,1.45783
2,1,98,1.15284
3,20,98,0.152518
3,16,98,0.503345
3,15,98,0.581629
3,13,98,0.478644
3,11,98,0.562882
3,10,98,0.836185
3,9,98,0.812823
3,8,98,0.962177
3,5,98,1.31465
3,4,98,1.74461
3,2,98,1.3793
3,1,98,1.42366
4,17,98,-0.0702514
4,16,98,0.00303845
4,15,98,0.0189
4,14,98,-0.0202559
4,13,98,-0.0789959
4,12,98,0.0995914
4,9,98,0.0911839
4,8,98,0.321757
4,7,98,0.270358
4,5,98,0.606961
4,3,98,0.672459
4,1,98,1.31787
1,20,97,1.11904
1,19,97,1.1447
1,18,97,1.25471
1,17,97,1.43802
1,15,97,1.54107
1,13,97,1.35806
1,12,97,1.44045
1,7,97,1.68374
1,4,97,1.61042
1,3,97,1.67271
1,2,97,1.57921
1,10,97,1.52732
1,1,97,1.55846
2,20,97,0.833468
2,18,97,0.825838
2,17,97,0.954938
2,16,97,0.949161
2,15,97,1.01219
2,13,97,1.16682
2,12,97,0.957586
2,10,97,1.19332
2,6,99,1.24225
1,14,97,1.50221
2,8,97,1.40398
2,7,97,1.44416
1,14,99,1.46118
2,6,97,1.36941
