Down,Distance,Yardline,EP
1,20,99,-0.33826
1,19,99,-0.36786
1,18,99,-0.0862867
1,17,99,-0.236849
1,15,99,0.0767714
1,13,99,0.137148
1,12,99,0.192267
1,10,99,0.230895
1,9,99,0.554819
1,7,99,0.496106
1,4,99,0.688191
1,3,99,0.548219
1,2,99,0.588802
1,1,99,0.634764
2,20,99,-0.736417
2,18,99,-0.621179
2,17,99,-0.72818
2,16,99,-0.565233
2,15,99,-0.254759
2,13,99,-0.348322
2,10,99,-0.101768
2,8,99,0.0607567
2,7,99,0.119753
2,4,99,0.454347
2,3,99,0.233971
2,2,99,0.370622
2,1,99,0.543067
3,20,99,-1.08008
3,16,99,-1.43357
3,15,99,-1.0942
3,13,99,-1.20896
3,11,99,-1.16535
3,10,99,-0.900449
3,9,99,-0.877532
3,8,99,-0.766444
3,5,99,-0.238042
3,4,99,0.0132461
3,2,99,0.165138
3,1,99,0.427587
4,17,99,-3.36214
4,16,99,-3.20996
4,15,99,-3.06873
4,14,99,-3.45548
4,13,99,-3.20858
4,12,99,-2.86354
4,9,99,-3.04057
4,8,99,-2.85717
4,7,99,-2.66123
4,5,99,-2.35554
4,3,99,-1.42638
4,1,99,-0.0622792
1,20,98,-0.0757976
1,19,98,-0.25474
1,18,98,0.0486036
1,17,98,0.084317
1,15,98,0.115049
1,13,98,0.332771
1,12,98,0.249172
1,10,98,0.564374
1,9,98,0.652339
1,7,98,0.664227
1,4,98,0.860475
1,3,98,0.679786
1,2,98,0.918677
1,1,98,0.634415
2,20,98,-0.524137
2,18,98,-0.518156
2,17,98,-0.470058
2,16,98,-0.447996
2,15,98,-0.263572
2,13,98,-0.261428
2,10,98,-0.188495
2,7,98,0.51931
2,4,98,0.822575
2,3,98,0.0585628
2,2,98,0.65622
2,1,98,0.511193
3,20,98,-0.95387
3,16,98,-1.00182
3,15,98,-1.31138
3,13,98,-0.994186
3,11,98,-0.78518
3,10,98,-0.668769
3,9,98,-0.663427
3,8,98,-0.515109
3,5,98,0.0728292
3,4,98,0.248623
