Down,Distance,Yardline,EP
1,20,99,-1.11097
1,19,99,-0.687733
1,18,99,-1.01572
1,17,99,-0.871188
1,15,99,-0.492874
1,13,99,-0.37072
1,12,99,-0.286957
1,10,99,-0.3598
1,9,99,-0.558862
1,7,99,-0.396422
1,4,99,-0.143895
1,3,99,-0.102158
1,2,99,-0.083829
1,1,99,-0.149097
2,20,99,-1.58779
2,18,99,-1.60735
2,17,99,-1.5924
2,16,99,-1.22081
2,15,99,-1.11964
2,13,99,-1.23753
2,10,99,-0.96673
2,8,99,-0.705885
2,7,99,-0.540949
2,4,99,0.0365108
2,3,99,-0.439153
2,2,99,-0.0478484
2,1,99,-0.141854
3,20,99,-2.36421
3,16,99,-2.26659
3,15,99,-2.3413
3,13,99,-2.29565
3,11,99,-2.19811
3,10,99,-1.9495
3,9,99,-1.98951
3,8,99,-1.58577
3,5,99,-1.25182
3,4,99,-0.564819
3,2,99,-0.507204
3,1,99,-0.170605
4,17,99,-4.68142
4,16,99,-4.52584
4,15,99,-4.57396
4,14,99,-4.49132
4,13,99,-4.72386
4,12,99,-4.25028
4,9,99,-4.36545
4,8,99,-4.03652
4,7,99,-3.91539
4,5,99,-3.06381
4,3,99,-2.51589
4,1,99,-0.807707
1,20,98,-1.22894
1,19,98,-0.725491
1,18,98,-0.80462
1,17,98,-0.558581
1,15,98,-0.274318
1,13,98,-0.523708
1,12,98,-0.282648
1,10,98,-0.0385377
1,9,98,-0.113901
1,7,98,0.155817
1,4,98,-0.102058
1,3,98,0.042598
1,2,98,0.101621
1,1,98,0.102711
2,20,98,-1.53848
2,18,98,-1.28611
2,17,98,-1.34428
2,16,98,-1.22105
2,15,98,-1.068
2,13,98,-1.09141
2,10,98,-0.836774
2,7,98,-0.234698
2,4,98,0.109124
2,3,98,-0.503856
2,2,98,-0.0406613
2,1,98,-0.0742361
3,20,98,-2.17179
3,16,98,-2.11245
3,15,98,-2.09079
3,13,98,-2.21214
3,11,98,-1.4862
3,10,98,-1.92374
3,9,98,-1.61321
3,8,98,-1.64909
3,5,98,-0.999858
3,4,98,-0.763651
3,2,98,-0.102236
3,1,98,0.0672745
4,17,98,-4.66513
4,16,98,-4.62069
4,15,98,-4.45991
4,14,98,-4.34011
4,13,98,-4.36137
4,12,98,-4.34101
4,9,98,-4.12588
4,8,98,-4.05147
4,7,98,-3.84952
4,5,98,-3.17506
4,3,98,-2.71598
4,1,98,-0.684952
1,20,97,-0.850709
1,19,97,-0.592628
1,18,97,-0.634322
1,17,97,-0.529309
1,15,97,-0.120381
1,13,97,-0.045877
1,12,97,-0.119632
1,7,97,0.19097
1,4,97,0.247291
1,3,97,0.304934
1,2,97,0.323656
1,10,97,0.156222
1,1,97,0.138454
2,20,97,-1.17137
2,18,97,-1.2924
2,17,97,-1.21228
2,16,97,-1.06075
2,15,97,-0.805501
2,13,97,-0.853039
2,12,97,-1.00229
2,10,97,-0.424466
2,6,99,-0.478194
1,14,97,-0.0988612
2,8,97,-0.14127
2,7,97,-0.295707
1,14,99,-0.489623
2,6,97,-0.259989
2,4,97,0.364179
2,3,97,-0.278633
2,2,97,0.292801
2,1,97,0.24574
3,20,97,-2.06253
3,16,97,-1.86705
3,15,97,-1.7584
3,13,97,-1.98768
3,11,97,-1.45638
3,10,97,-1.56856
3,9,97,-1.7491
3,8,97,-1.42164
3,5,97,-1.03388
3,4,97,-0.625539
3,2,97,-0.0192745
3,1,97,-0.122497
4,17,97,-4.26749
4,16,97,-4.48108
4,15,97,-4.3216
4,13,97,-4.34882
4,12,97,-4.04528
4,9,97,-4.22733
4,8,97,-3.52274
4,7,97,-3.54292
4,5,97,-3.00435
4,1,97,-1.11893
1,20,96,-0.727093
1,19,96,-0.395281
1,18,96,-0.56111
1,17,96,-0.521049
1,15,96,-0.298563
2,8,98,-0.663472
2,6,98,-0.486206
1,14,96,-0.0912829
1,13,96,-0.302724
1,12,96,-0.0881748
1,9,96,0.360509
1,7,96,0.368073
1,4,96,0.418313
1,3,96,0.366909
1,2,96,0.263698
1,10,96,0.325719
1,1,96,0.323949
2,20,96,-1.17979
2,18,96,-1.29143
2,17,96,-1.2703
2,16,96,-0.927078
2,15,96,-0.846229
2,13,96,-0.703039
2,12,96,-0.59627
2,10,96,-0.373587
2,7,96,-0.150778
1,14,98,-0.421959
2,8,96,-0.281977
2,6,96,-0.12608
2,4,96,0.358018
2,3,96,0.085684
2,2,96,0.229891
2,1,96,0.31991
3,20,96,-1.88005
3,16,96,-2.00778
3,13,96,-1.78352
3,11,96,-1.64168
3,10,96,-1.30088
3,9,96,-1.4437
3,8,96,-1.19855
3,5,96,-0.826454
3,4,96,-0.453517
3,2,96,-0.210394
3,1,96,0.180547
4,17,96,-4.19781
4,16,96,-4.31393
4,15,96,-4.26257
4,13,96,-4.16742
4,12,96,-3.93226
4,9,96,-3.9843
4,8,96,-3.71771
4,7,96,-3.57828
4,5,96,-3.14497
4,1,96,-0.9146
1,19,95,-0.378518
1,17,95,-0.415227
1,15,95,0.177887
1,13,95,-0.0363705
1,7,95,0.421715
1,4,95,0.303612
1,2,95,0.340078
1,1,95,0.387423
2,20,95,-1.24572
2,17,95,-1.10161
2,16,95,-1.04298
2,15,95,-0.589165
2,14,95,-0.895436
2,13,95,-0.680694
2,10,95,-0.365322
2,9,95,-0.374204
2,7,95,-0.0910383
2,4,95,0.39146
2,2,95,0.310379
2,1,95,0.287005
3,20,95,-1.87977
3,18,95,-1.84585
3,16,95,-1.93555
3,13,95,-1.92894
3,11,95,-1.71258
3,10,95,-1.58262
3,9,95,-1.58002
3,8,95,-0.758274
3,6,95,-0.843168
3,5,95,-0.775492
3,4,95,-0.282963
3,2,95,0.0553488
3,7,99,-1.6407
3,1,95,0.143204
4,16,95,-4.31161
4,13,95,-4.03053
4,12,95,-4.16739
4,9,95,-4.07213
4,5,95,-3.2153
4,3,95,-2.63371
4,2,95,-0.966603
4,1,95,-1.09796
1,19,94,-0.351751
1,17,94,-0.171279
1,15,94,-0.15067
1,13,94,-0.128981
1,7,94,0.394351
1,4,94,0.324331
1,2,94,0.415038
1,1,94,0.445427
2,20,94,-0.906887
2,17,94,-0.919811
2,16,94,-0.915332
2,15,94,-0.745432
2,14,94,-0.874238
2,13,94,-0.71031
2,10,94,-0.357575
2,9,94,-0.362678
2,7,94,0.00835579
2,4,94,0.203925
2,2,94,0.35948
2,1,94,0.352776
3,20,94,-1.89992
3,18,94,-1.74387
3,16,94,-1.91347
3,13,94,-1.85314
3,11,94,-1.74772
3,10,94,-1.44404
3,9,94,-1.46072
3,8,94,-1.20832
3,6,94,-0.79693
3,5,94,-0.570187
3,4,94,-0.414007
3,2,94,-0.0167498
3,7,98,-1.35955
3,1,94,0.183804
4,18,94,-3.84383
4,16,94,-4.03605
4,13,94,-4.10174
4,12,94,-4.02232
4,9,94,-3.78999
4,5,94,-3.12069
4,3,94,-1.9322
4,1,94,-0.898871
1,19,93,-0.402631
1,17,93,-0.355528
1,15,93,0.119657
1,13,93,0.0283423
1,7,93,0.511239
1,4,93,0.372163
1,2,93,0.606597
1,1,93,0.285056
2,20,93,-0.949068
2,17,93,-0.957974
2,16,93,-0.815256
2,15,93,-0.807734
2,14,93,-0.663115
2,13,93,-0.646657
2,10,93,-0.417684
2,7,93,0.113464
2,4,93,0.431036
2,2,93,0.457021
2,1,93,0.337366
3,20,93,-1.78288
3,18,93,-1.71587
3,16,93,-1.78517
3,13,93,-1.69675
3,11,93,-1.62157
3,10,93,-1.4106
3,9,93,-1.65917
3,8,93,-1.26004
3,6,93,-0.814042
3,5,93,-0.589761
3,4,93,-0.163947
3,2,93,0.252811
3,7,97,-1.35536
3,1,93,0.124559
4,16,93,-4.02061
4,13,93,-4.21614
4,12,93,-3.92712
